depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
2,0,0.025372743606567383,0.0,0.0,0.01962,0,1,1.04,sabre_025_crit,sabre_layout
37,34,0.045744895935058594,0.0,0.0,0.001091,0,1,1.04,sabre_025_crit,sabre_layout
3,0,0.025192975997924805,0.0,0.0,0.0004417,0,1,1.04,sabre_025_crit,sabre_layout
22,14,0.030260324478149414,1.803,3.354,0.0158,0,1,1.04,sabre_025_crit,sabre_layout
5,3,0.02456974983215332,2.598,3.0,0.0009239,0,1,1.04,sabre_025_crit,sabre_layout
5,1,0.022577762603759766,0.0,0.0,0.0002412,0,1,1.04,sabre_025_crit,sabre_layout
5,2,0.02704906463623047,0.0,0.0,0.0006741,0,1,1.04,sabre_025_crit,sabre_layout
29,15,0.030402183532714844,3.571,2.487,0.0146,0,1,1.04,sabre_025_crit,sabre_layout
12,6,0.03353595733642578,0.0,0.0,0.0008509,0,1,1.04,sabre_025_crit,sabre_layout
10,4,0.028288841247558594,3.0,3.897,0.0008379,0,1,1.04,sabre_025_crit,sabre_layout
7,0,0.0306549072265625,0.0,0.0,0.0002576,0,1,1.04,sabre_025_crit,sabre_layout
7,2,0.024904966354370117,0.0,0.0,0.01508,0,1,1.04,sabre_025_crit,sabre_layout
8,2,0.023602724075317383,0.0,0.0,0.0003723,0,1,1.04,sabre_025_crit,sabre_layout
178,84,0.049345970153808594,0.0,0.0,0.001115,0,1,1.04,sabre_025_crit,sabre_layout
103,139,0.12465190887451172,20.36,33.09,0.01656,0,1,1.04,sabre_025_crit,sabre_layout
8,3,0.02453923225402832,0.0,0.0,0.0007377,0,1,1.04,sabre_025_crit,sabre_layout
33,21,0.033720970153808594,2.693,4.5,0.001114,0,1,1.04,sabre_025_crit,sabre_layout
15,10,0.032782793045043945,1.299,1.299,0.0009933,0,1,1.04,sabre_025_crit,sabre_layout
45,35,0.041723012924194336,3.571,2.121,0.01438,0,1,1.04,sabre_025_crit,sabre_layout
10,2,0.025619983673095703,0.0,0.0,0.0005124,0,1,1.04,sabre_025_crit,sabre_layout
10,4,0.028544187545776367,0.0,0.0,0.000204,0,1,1.04,sabre_025_crit,sabre_layout
130,101,0.053197622299194336,12.6,24.77,0.01454,0,1,1.04,sabre_025_crit,sabre_layout
41,27,0.034783124923706055,4.062,3.674,0.001228,0,1,1.04,sabre_025_crit,sabre_layout
16,16,0.028254985809326172,2.5,1.5,0.001358,0,1,1.04,sabre_025_crit,sabre_layout
12,2,0.025788068771362305,0.0,0.0,0.0006973,0,1,1.04,sabre_025_crit,sabre_layout
12,0,0.025137901306152344,0.0,0.0,0.01494,0,1,1.04,sabre_025_crit,sabre_layout
15,9,0.026465892791748047,2.165,1.299,0.0004046,0,1,1.04,sabre_025_crit,sabre_layout
24,17,0.029140949249267578,2.165,1.299,0.0006355,0,1,1.04,sabre_025_crit,sabre_layout
12,4,0.026623964309692383,0.0,0.0,0.0004934,0,1,1.04,sabre_025_crit,sabre_layout
19,9,0.026803970336914062,0.433,2.598,0.0005444,0,1,1.04,sabre_025_crit,sabre_layout
14,7,0.03141283988952637,0.8292,1.299,0.0151,0,1,1.04,sabre_025_crit,sabre_layout
103,105,0.07814908027648926,0.0,3.897,0.007503,0,1,1.04,sabre_025_crit,sabre_layout
103,105,0.08141899108886719,0.0,3.897,0.008906,0,1,1.04,sabre_025_crit,sabre_layout
57,430,1.319796085357666,4.153,31.5,0.04199,0,1,1.04,sabre_025_crit,sabre_layout
32,113,0.23242402076721191,7.141,12.46,0.02106,0,1,1.04,sabre_025_crit,sabre_layout
65,176,0.10671329498291016,13.81,18.55,0.006451,0,1,1.04,sabre_025_crit,sabre_layout
68,587,2.7971959114074707,9.337,51.37,0.1421,0,1,1.04,sabre_025_crit,sabre_layout
40,187,0.6184120178222656,7.562,27.21,0.05929,0,1,1.04,sabre_025_crit,sabre_layout
39,162,0.3713819980621338,6.671,15.79,0.01496,0,1,1.04,sabre_025_crit,sabre_layout
56,67,0.052392005920410156,4.093,14.91,0.002691,0,1,1.04,sabre_025_crit,sabre_layout
127,123,0.0922248363494873,0.0,2.121,0.005468,0,1,1.04,sabre_025_crit,sabre_layout
29,22,0.03261375427246094,3.031,3.674,0.01503,0,1,1.04,sabre_025_crit,sabre_layout
186,192,0.1054680347442627,3.7,4.437,0.003237,0,1,1.04,sabre_025_crit,sabre_layout
140,118,0.07648921012878418,13.65,26.96,0.003091,0,1,1.04,sabre_025_crit,sabre_layout
74,102,0.0836641788482666,12.05,15.95,0.0165,0,1,1.04,sabre_025_crit,sabre_layout
85,123,0.07343411445617676,3.391,8.078,0.001892,0,1,1.04,sabre_025_crit,sabre_layout
38,10,0.034851789474487305,0.0,0.0,0.01531,0,1,1.04,sabre_025_crit,sabre_layout
167,169,0.1569042205810547,4.0,1.299,0.005373,0,1,1.04,sabre_025_crit,sabre_layout
61,102,0.0682060718536377,13.14,19.94,0.003223,0,1,1.04,sabre_025_crit,sabre_layout
167,169,0.19430208206176758,4.0,1.299,0.01678,0,1,1.04,sabre_025_crit,sabre_layout
63,76,0.06797075271606445,8.043,14.6,0.002962,0,1,1.04,sabre_025_crit,sabre_layout
65,56,0.06458306312561035,14.29,23.38,0.01767,0,1,1.04,sabre_025_crit,sabre_layout
374,544,0.27945518493652344,45.64,38.21,0.0033,0,1,1.04,sabre_025_crit,sabre_layout
74,60,0.03640294075012207,3.269,2.487,0.01468,0,1,1.04,sabre_025_crit,sabre_layout
102,69,0.05466008186340332,2.487,5.356,0.001211,0,1,1.04,sabre_025_crit,sabre_layout
44,9,0.05584001541137695,0.0,0.0,0.01585,0,1,1.04,sabre_025_crit,sabre_layout
28,4,0.032000064849853516,0.0,0.0,0.0003527,0,1,1.04,sabre_025_crit,sabre_layout
43,8,0.034240007400512695,0.0,0.0,0.0005053,0,1,1.04,sabre_025_crit,sabre_layout
34,16,0.035981178283691406,3.897,4.975,0.001199,0,1,1.04,sabre_025_crit,sabre_layout
271,276,0.3708322048187256,3.464,6.538,0.03837,0,1,1.04,sabre_025_crit,sabre_layout
155,244,0.10903596878051758,13.09,27.61,0.0191,0,1,1.04,sabre_025_crit,sabre_layout
175,219,0.12988781929016113,15.52,20.83,0.003057,0,1,1.04,sabre_025_crit,sabre_layout
75,75,0.0661308765411377,7.12,5.408,0.002053,0,1,1.04,sabre_025_crit,sabre_layout
432,725,0.32416796684265137,26.94,30.7,0.03052,0,1,1.04,sabre_025_crit,sabre_layout
174,267,0.1848769187927246,20.9,37.53,0.01624,0,1,1.04,sabre_025_crit,sabre_layout
223,437,0.2708420753479004,37.62,25.66,0.02171,0,1,1.04,sabre_025_crit,sabre_layout
173,339,0.12919020652770996,15.06,11.3,0.0198,0,1,1.04,sabre_025_crit,sabre_layout
82,30,0.04306292533874512,0.0,0.0,0.009268,0,1,1.04,sabre_025_crit,sabre_layout
346,582,0.45247817039489746,85.46,66.85,0.006062,0,1,1.04,sabre_025_crit,sabre_layout
335,334,0.5795090198516846,1.732,5.356,0.08782,0,1,1.04,sabre_025_crit,sabre_layout
134,112,0.09797501564025879,16.97,15.59,0.007283,0,1,1.04,sabre_025_crit,sabre_layout
652,867,0.4215221405029297,19.98,39.93,0.02178,0,1,1.04,sabre_025_crit,sabre_layout
839,783,0.37206411361694336,35.16,74.31,0.01216,0,1,1.04,sabre_025_crit,sabre_layout
403,406,0.19308686256408691,19.41,25.75,0.006809,0,1,1.04,sabre_025_crit,sabre_layout
149,217,0.14095497131347656,36.83,45.17,0.02438,0,1,1.04,sabre_025_crit,sabre_layout
65,46,0.04792904853820801,7.794,7.794,0.002024,0,1,1.04,sabre_025_crit,sabre_layout
433,890,0.5165839195251465,20.04,64.74,0.04739,0,1,1.04,sabre_025_crit,sabre_layout
463,486,1.2221417427062988,1.785,7.758,0.04032,0,1,1.04,sabre_025_crit,sabre_layout
333,577,0.1968832015991211,30.24,28.02,0.03173,0,1,1.04,sabre_025_crit,sabre_layout
71,90,0.17235422134399414,38.21,19.09,0.03084,0,1,1.04,sabre_025_crit,sabre_layout
874,1725,1.0525381565093994,56.38,139.1,0.09386,0,1,1.04,sabre_025_crit,sabre_layout
266,409,0.21265101432800293,17.71,31.25,0.009123,0,1,1.04,sabre_025_crit,sabre_layout
101,70,0.05648469924926758,10.59,13.81,0.01639,0,1,1.04,sabre_025_crit,sabre_layout
758,1514,2.6071829795837402,64.21,150.2,0.1505,0,1,1.04,sabre_025_crit,sabre_layout
441,674,0.24512672424316406,26.82,87.71,0.02253,0,1,1.04,sabre_025_crit,sabre_layout
225,251,0.29586195945739746,16.15,37.13,0.006135,0,1,1.04,sabre_025_crit,sabre_layout
