depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp,num_iter
0,0,0.024770021438598633,0.0,0.0,0.0002919,0,5,1.9,sabre_025_crit,sabre_layout,1
23,34,0.044610023498535156,0.0,0.0,0.02152,0,5,1.9,sabre_025_crit,sabre_layout,1
0,0,0.023998022079467773,0.0,0.0,0.0002965,0,5,1.9,sabre_025_crit,sabre_layout,1
14,14,0.030475139617919922,1.479,3.354,0.0004151,0,5,1.9,sabre_025_crit,sabre_layout,1
3,3,0.02367115020751953,2.121,3.0,0.0008682,0,5,1.9,sabre_025_crit,sabre_layout,1
1,1,0.023288965225219727,0.0,0.0,0.02047,0,5,1.9,sabre_025_crit,sabre_layout,1
2,2,0.025636911392211914,0.0,0.0,0.0004149,0,5,1.9,sabre_025_crit,sabre_layout,1
15,15,0.03103494644165039,2.487,2.487,0.0007083,0,5,1.9,sabre_025_crit,sabre_layout,1
2,6,0.03380417823791504,0.0,0.0,0.0008838,0,5,1.9,sabre_025_crit,sabre_layout,1
7,4,0.02697300910949707,3.0,3.897,0.01717,0,5,1.9,sabre_025_crit,sabre_layout,1
0,0,0.03197526931762695,0.0,0.0,0.0006695,0,5,1.9,sabre_025_crit,sabre_layout,1
2,2,0.023726701736450195,0.0,0.0,0.0002081,0,5,1.9,sabre_025_crit,sabre_layout,1
2,2,0.023530960083007812,0.0,0.0,0.0003498,0,5,1.9,sabre_025_crit,sabre_layout,1
84,84,0.08465909957885742,0.0,0.0,0.01581,0,5,1.9,sabre_025_crit,sabre_layout,1
78,139,0.0841219425201416,18.18,33.09,0.004428,0,5,1.9,sabre_025_crit,sabre_layout,1
3,3,0.023576974868774414,0.0,0.0,0.01675,0,5,1.9,sabre_025_crit,sabre_layout,1
18,18,0.03288578987121582,2.773,4.5,0.000785,0,5,1.9,sabre_025_crit,sabre_layout,1
10,10,0.03461313247680664,1.299,1.299,0.001521,0,5,1.9,sabre_025_crit,sabre_layout,1
32,32,0.03967595100402832,2.487,2.121,0.0006224,0,5,1.9,sabre_025_crit,sabre_layout,1
3,2,0.02494502067565918,0.0,0.0,0.01479,0,5,1.9,sabre_025_crit,sabre_layout,1
2,4,0.029434919357299805,0.0,0.0,0.0003372,0,5,1.9,sabre_025_crit,sabre_layout,1
86,101,0.05084586143493652,12.6,24.77,0.003553,0,5,1.9,sabre_025_crit,sabre_layout,1
24,27,0.03426098823547363,4.123,3.674,0.000525,0,5,1.9,sabre_025_crit,sabre_layout,1
