depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp,num_iter
0,0,0.025504112243652344,0.0,0.0,0.0003868,0,5,5,sabre_025_crit,sabre_layout,1
23,34,0.045819997787475586,0.0,0.0,0.0004088,0,5,5,sabre_025_crit,sabre_layout,1
0,0,0.0260770320892334,0.0,0.0,0.02696,0,5,5,sabre_025_crit,sabre_layout,1
14,14,0.031675100326538086,1.479,3.354,0.0002866,0,5,5,sabre_025_crit,sabre_layout,1
3,3,0.025293827056884766,2.121,3.0,0.000586,0,5,5,sabre_025_crit,sabre_layout,1
1,1,0.022822141647338867,0.0,0.0,0.0003538,0,5,5,sabre_025_crit,sabre_layout,1
2,2,0.027016878128051758,0.0,0.0,0.01868,0,5,5,sabre_025_crit,sabre_layout,1
15,15,0.03136110305786133,2.487,2.487,0.0003528,0,5,5,sabre_025_crit,sabre_layout,1
2,6,0.03522515296936035,0.0,0.0,0.0005828,0,5,5,sabre_025_crit,sabre_layout,1
7,4,0.02801799774169922,3.0,3.897,0.0007132,0,5,5,sabre_025_crit,sabre_layout,1
0,0,0.07474207878112793,0.0,0.0,0.0188,0,5,5,sabre_025_crit,sabre_layout,1
2,2,0.0256040096282959,0.0,0.0,0.0004935,0,5,5,sabre_025_crit,sabre_layout,1
2,2,0.024615049362182617,0.0,0.0,0.000349,0,5,5,sabre_025_crit,sabre_layout,1
84,84,0.050737857818603516,0.0,0.0,0.01866,0,5,5,sabre_025_crit,sabre_layout,1
80,139,0.09217715263366699,17.65,21.25,0.00196,0,5,5,sabre_025_crit,sabre_layout,1
3,3,0.025882244110107422,0.0,0.0,0.0007894,0,5,5,sabre_025_crit,sabre_layout,1
18,18,0.07564997673034668,2.773,4.5,0.01743,0,5,5,sabre_025_crit,sabre_layout,1
10,10,0.03444814682006836,1.299,1.299,0.001012,0,5,5,sabre_025_crit,sabre_layout,1
32,32,0.041520118713378906,2.487,2.121,0.0002262,0,5,5,sabre_025_crit,sabre_layout,1
3,2,0.026846885681152344,0.0,0.0,0.0007072,0,5,5,sabre_025_crit,sabre_layout,1
2,4,0.07262182235717773,0.0,0.0,0.01847,0,5,5,sabre_025_crit,sabre_layout,1
86,101,0.05405998229980469,12.4,24.31,0.003075,0,5,5,sabre_025_crit,sabre_layout,1
24,27,0.03685712814331055,4.123,3.674,0.001051,0,5,5,sabre_025_crit,sabre_layout,1
10,16,0.0768892765045166,2.165,1.299,0.0194,0,5,5,sabre_025_crit,sabre_layout,1
2,2,0.02539801597595215,0.0,0.0,0.0002078,0,5,5,sabre_025_crit,sabre_layout,1
3,0,0.02651810646057129,0.0,0.0,0.0005678,0,5,5,sabre_025_crit,sabre_layout,1
9,9,0.026643991470336914,1.299,1.299,0.0006277,0,5,5,sabre_025_crit,sabre_layout,1
17,17,0.029172897338867188,1.299,1.299,0.01913,0,5,5,sabre_025_crit,sabre_layout,1
4,4,0.027617216110229492,0.0,0.0,0.0002617,0,5,5,sabre_025_crit,sabre_layout,1
9,9,0.02893996238708496,2.598,2.598,0.001098,0,5,5,sabre_025_crit,sabre_layout,1
4,7,0.03214693069458008,1.225,1.299,0.0008012,0,5,5,sabre_025_crit,sabre_layout,1
63,105,0.07965993881225586,0.0,3.897,0.02045,0,5,5,sabre_025_crit,sabre_layout,1
63,105,0.07968568801879883,0.0,3.897,0.006788,0,5,5,sabre_025_crit,sabre_layout,1
29,358,1.3114311695098877,9.407,34.69,0.08933,0,5,5,sabre_025_crit,sabre_layout,1
21,128,0.23582172393798828,6.745,15.79,0.02473,0,5,5,sabre_025_crit,sabre_layout,1
82,191,0.11363625526428223,3.64,18.29,0.006612,0,5,5,sabre_025_crit,sabre_layout,1
45,707,3.427922248840332,6.595,21.46,0.1107,0,5,5,sabre_025_crit,sabre_layout,1
32,238,0.558135986328125,3.0,21.05,0.03535,0,5,5,sabre_025_crit,sabre_layout,1
13,138,0.3579890727996826,8.437,26.2,0.03046,0,5,5,sabre_025_crit,sabre_layout,1
52,67,0.05473184585571289,4.093,14.91,0.002182,0,5,5,sabre_025_crit,sabre_layout,1
78,123,0.0946512222290039,0.0,3.674,0.01861,0,5,5,sabre_025_crit,sabre_layout,1
20,22,0.032919883728027344,3.897,3.674,0.0007566,0,5,5,sabre_025_crit,sabre_layout,1
114,162,0.10751104354858398,12.34,8.584,0.004327,0,5,5,sabre_025_crit,sabre_layout,1
96,118,0.07860088348388672,12.18,26.96,0.01948,0,5,5,sabre_025_crit,sabre_layout,1
70,102,0.08698296546936035,12.05,15.95,0.00242,0,5,5,sabre_025_crit,sabre_layout,1
81,123,0.08096194267272949,3.391,8.078,0.002741,0,5,5,sabre_025_crit,sabre_layout,1
10,10,0.03695487976074219,0.0,0.0,0.0008499,0,5,5,sabre_025_crit,sabre_layout,1
103,166,0.15695977210998535,0.433,3.674,0.008002,0,5,5,sabre_025_crit,sabre_layout,1
59,102,0.0686042308807373,13.16,19.94,0.00256,0,5,5,sabre_025_crit,sabre_layout,1
103,166,0.15508413314819336,0.433,3.674,0.008809,0,5,5,sabre_025_crit,sabre_layout,1
61,76,0.07074880599975586,7.918,14.6,0.003562,0,5,5,sabre_025_crit,sabre_layout,1
36,56,0.07477521896362305,9.391,13.48,0.004835,0,5,5,sabre_025_crit,sabre_layout,1
337,607,0.29225873947143555,38.46,48.95,0.02276,0,5,5,sabre_025_crit,sabre_layout,1
50,60,0.08205294609069824,1.581,2.487,0.02005,0,5,5,sabre_025_crit,sabre_layout,1
55,66,0.056836843490600586,3.345,3.674,0.001887,0,5,5,sabre_025_crit,sabre_layout,1
7,9,0.05756187438964844,0.0,0.0,0.02645,0,5,5,sabre_025_crit,sabre_layout,1
10,4,0.036932945251464844,0.0,0.0,0.001881,0,5,5,sabre_025_crit,sabre_layout,1
20,8,0.03721904754638672,0.0,0.0,0.0005626,0,5,5,sabre_025_crit,sabre_layout,1
12,16,0.036750078201293945,3.897,4.975,0.01879,0,5,5,sabre_025_crit,sabre_layout,1
168,279,0.36706089973449707,0.0,7.758,0.03946,0,5,5,sabre_025_crit,sabre_layout,1
154,244,0.11404299736022949,12.79,27.61,0.02089,0,5,5,sabre_025_crit,sabre_layout,1
114,183,0.13731098175048828,28.95,34.3,0.00185,0,5,5,sabre_025_crit,sabre_layout,1
72,75,0.07762718200683594,7.12,5.408,0.003606,0,5,5,sabre_025_crit,sabre_layout,1
261,665,0.4047667980194092,47.57,75.63,0.02064,0,5,5,sabre_025_crit,sabre_layout,1
170,267,0.1880199909210205,20.9,37.53,0.02198,0,5,5,sabre_025_crit,sabre_layout,1
159,410,0.3409910202026367,30.93,60.5,0.01983,0,5,5,sabre_025_crit,sabre_layout,1
171,339,0.14797401428222656,15.11,11.3,0.01738,0,5,5,sabre_025_crit,sabre_layout,1
38,30,0.07216000556945801,0.0,0.0,0.01009,0,5,5,sabre_025_crit,sabre_layout,1
230,510,0.5665738582611084,38.24,75.79,0.06145,0,5,5,sabre_025_crit,sabre_layout,1
208,334,0.6075849533081055,2.598,11.72,0.0881,0,5,5,sabre_025_crit,sabre_layout,1
72,112,0.10076498985290527,28.73,35.65,0.01017,0,5,5,sabre_025_crit,sabre_layout,1
493,918,0.5975468158721924,39.01,83.31,0.05937,0,5,5,sabre_025_crit,sabre_layout,1
621,840,0.39399027824401855,43.53,79.5,0.0302,0,5,5,sabre_025_crit,sabre_layout,1
290,430,0.19869208335876465,18.67,17.15,0.05903,0,5,5,sabre_025_crit,sabre_layout,1
121,250,0.16301488876342773,22.28,25.32,0.02895,0,5,5,sabre_025_crit,sabre_layout,1
32,46,0.051583051681518555,7.794,7.794,0.002541,0,5,5,sabre_025_crit,sabre_layout,1
296,923,0.5639538764953613,40.68,41.02,0.005757,0,5,5,sabre_025_crit,sabre_layout,1
288,486,1.325911045074463,0.433,7.155,0.09532,0,5,5,sabre_025_crit,sabre_layout,1
331,577,0.20214390754699707,30.24,28.02,0.02563,0,5,5,sabre_025_crit,sabre_layout,1
20,90,0.2556650638580322,27.85,37.67,0.02902,0,5,5,sabre_025_crit,sabre_layout,1
635,1539,1.042607069015503,26.31,104.1,0.1058,0,5,5,sabre_025_crit,sabre_layout,1
168,346,0.2210397720336914,40.73,55.2,0.008623,0,5,5,sabre_025_crit,sabre_layout,1
66,70,0.056684017181396484,10.52,13.81,0.02137,0,5,5,sabre_025_crit,sabre_layout,1
568,1613,3.6756699085235596,18.32,55.62,0.3359,0,5,5,sabre_025_crit,sabre_layout,1
439,674,0.3070361614227295,27.14,87.71,0.04865,0,5,5,sabre_025_crit,sabre_layout,1
222,251,0.36893701553344727,16.15,37.13,0.02923,0,5,5,sabre_025_crit,sabre_layout,1
72,102,0.10639476776123047,4.975,4.975,0.0222,0,5,5,sabre_025_crit,sabre_layout,1
911,1569,0.48673510551452637,17.2,65.97,0.03531,0,5,5,sabre_025_crit,sabre_layout,1
1241,3521,23.393404960632324,62.22,94.92,0.4052,0,5,5,sabre_025_crit,sabre_layout,1
340,1023,0.5950031280517578,32.84,98.76,0.02754,0,5,5,sabre_025_crit,sabre_layout,1
87,88,0.0675969123840332,0.0,0.0,0.001721,0,5,5,sabre_025_crit,sabre_layout,1
602,1098,0.5146303176879883,38.73,127.3,0.03985,0,5,5,sabre_025_crit,sabre_layout,1
42,42,0.0694272518157959,0.0,0.0,0.02065,0,5,5,sabre_025_crit,sabre_layout,1
69,252,0.2914419174194336,17.41,5.761,0.03149,0,5,5,sabre_025_crit,sabre_layout,1
527,703,0.9161238670349121,14.01,22.2,0.03867,0,5,5,sabre_025_crit,sabre_layout,1
2367,4078,2.982537031173706,124.4,200.6,0.06577,0,5,5,sabre_025_crit,sabre_layout,1
1073,2034,0.9374949932098389,176.5,298.0,0.03895,0,5,5,sabre_025_crit,sabre_layout,1
