depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
0,0,0.0278928279876709,0.0,0.0,0.01246,0,1,1,sabre_025_depth,sabre_layout
23,34,0.04618501663208008,0.0,0.0,0.0002229,0,1,1,sabre_025_depth,sabre_layout
0,0,0.02796196937561035,0.0,0.0,0.01358,0,1,1,sabre_025_depth,sabre_layout
7,11,0.032295942306518555,1.225,2.121,0.0003007,0,1,1,sabre_025_depth,sabre_layout
3,3,0.028142929077148438,1.5,2.487,0.0007586,0,1,1,sabre_025_depth,sabre_layout
1,1,0.02594923973083496,0.0,0.0,0.01376,0,1,1,sabre_025_depth,sabre_layout
2,2,0.027788639068603516,0.0,0.0,0.0004582,0,1,1,sabre_025_depth,sabre_layout
21,21,0.03220701217651367,1.5,1.5,0.0004437,0,1,1,sabre_025_depth,sabre_layout
2,6,0.03797793388366699,0.0,0.0,0.0156,0,1,1,sabre_025_depth,sabre_layout
7,4,0.02945995330810547,2.278,3.674,0.0001903,0,1,1,sabre_025_depth,sabre_layout
0,0,0.0316011905670166,0.0,0.0,0.0003658,0,1,1,sabre_025_depth,sabre_layout
2,2,0.06319999694824219,1.299,1.299,0.01611,0,1,1,sabre_025_depth,sabre_layout
2,2,0.025975704193115234,0.0,0.0,0.0004089,0,1,1,sabre_025_depth,sabre_layout
84,84,0.04830622673034668,0.0,0.0,0.01481,0,1,1,sabre_025_depth,sabre_layout
92,157,0.08846306800842285,8.378,12.46,0.001619,0,1,1,sabre_025_depth,sabre_layout
3,3,0.027161121368408203,0.0,0.0,0.0004508,0,1,1,sabre_025_depth,sabre_layout
19,24,0.03522515296936035,0.0,0.0,0.0003321,0,1,1,sabre_025_depth,sabre_layout
6,10,0.03324484825134277,0.433,0.0,0.001949,0,1,1,sabre_025_depth,sabre_layout
40,41,0.041480064392089844,1.5,2.487,0.0228,0,1,1,sabre_025_depth,sabre_layout
3,2,0.03102588653564453,1.299,1.299,0.001125,0,1,1,sabre_025_depth,sabre_layout
2,4,0.03226900100708008,2.165,2.598,0.0005627,0,1,1,sabre_025_depth,sabre_layout
103,131,0.04935717582702637,5.148,13.5,0.01575,0,1,1,sabre_025_depth,sabre_layout
24,27,0.036984920501708984,1.5,1.5,0.0006414,0,1,1,sabre_025_depth,sabre_layout
15,19,0.033265113830566406,0.0,0.0,0.01507,0,1,1,sabre_025_depth,sabre_layout
2,2,0.027718305587768555,0.0,0.0,0.0007178,0,1,1,sabre_025_depth,sabre_layout
3,0,0.027260780334472656,0.0,0.0,0.0006469,0,1,1,sabre_025_depth,sabre_layout
15,15,0.0293881893157959,0.0,0.0,0.01701,0,1,1,sabre_025_depth,sabre_layout
20,20,0.031244993209838867,2.598,2.598,0.0004742,0,1,1,sabre_025_depth,sabre_layout
4,4,0.0295870304107666,0.0,0.0,0.0008839,0,1,1,sabre_025_depth,sabre_layout
9,9,0.030415773391723633,0.0,0.0,0.01542,0,1,1,sabre_025_depth,sabre_layout
4,7,0.03294491767883301,2.598,2.487,0.000404,0,1,1,sabre_025_depth,sabre_layout
63,114,0.09440493583679199,3.0,5.761,0.009803,0,1,1,sabre_025_depth,sabre_layout
63,114,0.12898683547973633,3.0,5.761,0.02195,0,1,1,sabre_025_depth,sabre_layout
36,397,1.462669849395752,2.773,6.874,0.09404,0,1,1,sabre_025_depth,sabre_layout
18,170,0.32379698753356934,6.124,13.97,0.03379,0,1,1,sabre_025_depth,sabre_layout
56,218,0.11448812484741211,4.969,11.81,0.0146,0,1,1,sabre_025_depth,sabre_layout
44,638,3.7007031440734863,5.494,44.35,0.122,0,1,1,sabre_025_depth,sabre_layout
21,196,0.6185159683227539,4.71,6.495,0.01318,0,1,1,sabre_025_depth,sabre_layout
17,141,0.4175889492034912,2.872,14.54,0.02542,0,1,1,sabre_025_depth,sabre_layout
33,91,0.0887911319732666,1.299,6.495,0.01627,0,1,1,sabre_025_depth,sabre_layout
78,120,0.09328794479370117,1.732,14.77,0.01337,0,1,1,sabre_025_depth,sabre_layout
22,31,0.03437685966491699,1.299,1.5,0.01496,0,1,1,sabre_025_depth,sabre_layout
159,201,0.08660483360290527,6.423,2.121,0.001616,0,1,1,sabre_025_depth,sabre_layout
78,124,0.06939697265625,7.089,3.674,0.01564,0,1,1,sabre_025_depth,sabre_layout
47,150,0.07538080215454102,2.165,4.743,0.0008514,0,1,1,sabre_025_depth,sabre_layout
43,138,0.06618976593017578,3.767,6.833,0.01507,0,1,1,sabre_025_depth,sabre_layout
