depth,cx gates,time,depth_std,cx_std,time_std,look,beam,heuristic
2,0,0.027550220489501953,0.0,0.0,0.01135,0,1,lookahead
37,34,0.045773983001708984,0.0,0.0,0.0003426,0,1,lookahead
3,0,0.025846004486083984,0.0,0.0,0.0007872,0,1,lookahead
15,11,0.02924633026123047,10.92,10.03,0.01505,0,1,lookahead
5,3,0.024042844772338867,2.121,2.487,0.00141,0,1,lookahead
5,1,0.023333072662353516,0.0,0.0,0.0004303,0,1,lookahead
5,2,0.026234865188598633,0.0,0.0,0.0004655,0,1,lookahead
30,18,0.0315251350402832,0.0,0.0,0.01417,0,1,lookahead
12,6,0.03565502166748047,0.0,0.0,0.001282,0,1,lookahead
13,7,0.0271148681640625,15.35,14.23,0.001546,0,1,lookahead
7,0,0.0321040153503418,0.0,0.0,0.0142,0,1,lookahead
7,2,0.024891138076782227,0.0,0.0,0.000208,0,1,lookahead
8,2,0.02500319480895996,0.0,0.0,0.0005539,0,1,lookahead
178,84,0.05174684524536133,0.0,0.0,0.01559,0,1,lookahead
88,97,0.08127117156982422,5.315,8.874,0.001961,0,1,lookahead
8,3,0.025470972061157227,0.0,0.0,0.0008039,0,1,lookahead
33,21,0.03466391563415527,0.5,1.299,0.0006445,0,1,lookahead
21,16,0.032285213470458984,5.408,5.408,0.01852,0,1,lookahead
46,26,0.03904986381530762,9.833,10.69,0.001136,0,1,lookahead
10,2,0.025575876235961914,0.0,0.0,0.000368,0,1,lookahead
10,4,0.029939889907836914,0.0,0.0,0.01519,0,1,lookahead
139,104,0.046298980712890625,17.08,18.05,0.002108,0,1,lookahead
39,21,0.034195899963378906,1.299,2.598,0.001245,0,1,lookahead
16,16,0.030549049377441406,4.918,1.5,0.001083,0,1,lookahead
12,2,0.024672985076904297,0.0,0.0,0.01554,0,1,lookahead
12,0,0.03161787986755371,0.0,0.0,0.002423,0,1,lookahead
15,9,0.02655482292175293,0.0,0.0,0.0003832,0,1,lookahead
24,17,0.02944779396057129,0.0,0.0,0.0003437,0,1,lookahead
12,4,0.06419086456298828,0.0,0.0,0.01641,0,1,lookahead
19,9,0.027801990509033203,0.0,0.0,0.0004088,0,1,lookahead
14,7,0.03131890296936035,1.299,1.5,0.0007,0,1,lookahead
103,102,0.08665895462036133,3.464,2.487,0.008151,0,1,lookahead
103,102,0.08591389656066895,3.464,2.487,0.007748,0,1,lookahead
57,400,1.4831781387329102,5.717,8.043,0.05313,0,1,lookahead
32,128,0.25403809547424316,6.833,2.487,0.01848,0,1,lookahead
48,119,0.11393880844116211,12.7,14.91,0.00969,0,1,lookahead
64,608,3.16028094291687,6.759,36.21,0.08584,0,1,lookahead
42,202,0.5642502307891846,8.437,19.73,0.05971,0,1,lookahead
43,174,0.38674116134643555,3.64,16.62,0.01525,0,1,lookahead
51,49,0.052195072174072266,7.013,10.71,0.002495,0,1,lookahead
127,129,0.09837985038757324,3.464,2.598,0.007409,0,1,lookahead
21,16,0.031340599060058594,2.121,2.598,0.01563,0,1,lookahead
176,171,0.10063791275024414,7.854,8.318,0.003263,0,1,lookahead
128,97,0.07425785064697266,4.71,10.89,0.002558,0,1,lookahead
59,69,0.07984089851379395,10.33,19.14,0.01846,0,1,lookahead
64,63,0.0637810230255127,4.153,9.605,0.002308,0,1,lookahead
38,10,0.034184932708740234,0.0,0.0,0.01552,0,1,lookahead
167,163,0.16098594665527344,1.732,9.337,0.008538,0,1,lookahead
116,114,0.0616610050201416,42.29,42.29,0.007303,0,1,lookahead
167,163,0.20250797271728516,1.732,9.337,0.01186,0,1,lookahead
153,151,0.0729210376739502,10.69,12.9,0.002917,0,1,lookahead
68,65,0.06444311141967773,7.661,9.337,0.01837,0,1,lookahead
294,334,0.20986104011535645,22.36,34.5,0.007945,0,1,lookahead
69,42,0.06882190704345703,0.8292,2.487,0.0149,0,1,lookahead
96,57,0.052622079849243164,5.701,3.0,0.0006322,0,1,lookahead
44,9,0.05576586723327637,12.56,3.897,0.01496,0,1,lookahead
28,4,0.03181576728820801,0.0,0.0,0.0003443,0,1,lookahead
43,8,0.03580808639526367,0.0,0.0,0.0003059,0,1,lookahead
34,16,0.03721976280212402,6.5,2.487,0.01526,0,1,lookahead
271,273,0.31498289108276367,0.0,7.462,0.03729,0,1,lookahead
147,175,0.09833598136901855,40.21,32.96,0.004762,0,1,lookahead
127,171,0.11658811569213867,14.91,14.15,0.004653,0,1,lookahead
59,42,0.05957794189453125,5.356,7.462,0.01592,0,1,lookahead
306,488,0.3265957832336426,86.28,71.38,0.01074,0,1,lookahead
135,150,0.16863489151000977,13.37,46.11,0.01598,0,1,lookahead
219,422,0.2587161064147949,19.98,18.78,0.01092,0,1,lookahead
200,201,0.11980700492858887,57.98,59.18,0.009219,0,1,lookahead
82,30,0.04468703269958496,0.0,0.0,0.01666,0,1,lookahead
436,534,0.34491801261901855,21.87,34.36,0.01878,0,1,lookahead
335,346,0.49449920654296875,0.0,2.598,0.04721,0,1,lookahead
