depth,cx gates,time,depth_std,cx_std,time_std,look,beam,crit,rp,lp
0,0,0.0254518985748291,0.0,0.0,0.01376,0,1,1,sabre_025_extended,sabre_layout
23,34,0.044667959213256836,0.0,0.0,0.0001868,0,1,1,sabre_025_extended,sabre_layout
0,0,0.025068998336791992,0.0,0.0,0.0003305,0,1,1,sabre_025_extended,sabre_layout
8,11,0.06376028060913086,11.5,10.03,0.01452,0,1,1,sabre_025_extended,sabre_layout
3,3,0.02376389503479004,2.121,2.487,0.001008,0,1,1,sabre_025_extended,sabre_layout
1,1,0.022436141967773438,0.0,0.0,0.0001605,0,1,1,sabre_025_extended,sabre_layout
2,2,0.026221036911010742,0.0,0.0,0.0007991,0,1,1,sabre_025_extended,sabre_layout
18,18,0.029296159744262695,0.0,0.0,0.0005108,0,1,1,sabre_025_extended,sabre_layout
2,6,0.06988096237182617,0.0,0.0,0.01576,0,1,1,sabre_025_extended,sabre_layout
10,7,0.02706313133239746,14.92,14.23,0.001308,0,1,1,sabre_025_extended,sabre_layout
0,0,0.031198978424072266,0.0,0.0,0.0003821,0,1,1,sabre_025_extended,sabre_layout
2,2,0.024487018585205078,0.0,0.0,0.01656,0,1,1,sabre_025_extended,sabre_layout
2,2,0.024724960327148438,0.0,0.0,0.0005369,0,1,1,sabre_025_extended,sabre_layout
84,84,0.049334049224853516,0.0,0.0,0.001307,0,1,1,sabre_025_extended,sabre_layout
62,97,0.08199024200439453,5.679,8.874,0.03499,0,1,1,sabre_025_extended,sabre_layout
3,3,0.02426886558532715,0.0,0.0,0.0004276,0,1,1,sabre_025_extended,sabre_layout
18,18,0.032299041748046875,0.433,1.299,0.0006594,0,1,1,sabre_025_extended,sabre_layout
16,16,0.031507015228271484,5.408,5.408,0.000726,0,1,1,sabre_025_extended,sabre_layout
26,26,0.0387110710144043,10.69,10.69,0.01574,0,1,1,sabre_025_extended,sabre_layout
3,2,0.025257110595703125,0.0,0.0,0.0005012,0,1,1,sabre_025_extended,sabre_layout
2,4,0.030076026916503906,0.0,0.0,0.0003655,0,1,1,sabre_025_extended,sabre_layout
93,104,0.044328927993774414,16.18,18.05,0.01736,0,1,1,sabre_025_extended,sabre_layout
21,21,0.03263115882873535,1.09,2.598,0.001153,0,1,1,sabre_025_extended,sabre_layout
10,16,0.030210018157958984,3.775,1.5,0.0007029,0,1,1,sabre_025_extended,sabre_layout
2,2,0.025072097778320312,0.0,0.0,0.0004143,0,1,1,sabre_025_extended,sabre_layout
3,0,0.025780916213989258,0.0,0.0,0.0149,0,1,1,sabre_025_extended,sabre_layout
9,9,0.02594304084777832,0.0,0.0,0.0007865,0,1,1,sabre_025_extended,sabre_layout
17,17,0.028697729110717773,0.0,0.0,0.0004313,0,1,1,sabre_025_extended,sabre_layout
4,4,0.026326894760131836,0.0,0.0,0.01408,0,1,1,sabre_025_extended,sabre_layout
9,9,0.026340961456298828,0.0,0.0,0.0003684,0,1,1,sabre_025_extended,sabre_layout
4,7,0.032183170318603516,1.5,1.5,0.0007563,0,1,1,sabre_025_extended,sabre_layout
63,102,0.0855097770690918,2.598,2.487,0.007375,0,1,1,sabre_025_extended,sabre_layout
63,102,0.1279280185699463,2.598,2.487,0.02362,0,1,1,sabre_025_extended,sabre_layout
36,400,1.4917919635772705,3.905,8.043,0.05953,0,1,1,sabre_025_extended,sabre_layout
19,125,0.2388598918914795,4.975,2.487,0.01088,0,1,1,sabre_025_extended,sabre_layout
42,119,0.08139967918395996,12.72,14.91,0.007256,0,1,1,sabre_025_extended,sabre_layout
41,608,3.110574722290039,6.796,36.21,0.08329,0,1,1,sabre_025_extended,sabre_layout
23,208,0.5017940998077393,5.309,19.73,0.06595,0,1,1,sabre_025_extended,sabre_layout
22,198,0.40199971199035645,5.523,16.62,0.02803,0,1,1,sabre_025_extended,sabre_layout
47,49,0.05065488815307617,7.013,10.71,0.0024,0,1,1,sabre_025_extended,sabre_layout
78,129,0.12979578971862793,2.598,2.598,0.01715,0,1,1,sabre_025_extended,sabre_layout
14,16,0.03279900550842285,1.09,2.598,0.0009913,0,1,1,sabre_025_extended,sabre_layout
129,171,0.1013491153717041,6.647,8.318,0.002148,0,1,1,sabre_025_extended,sabre_layout
83,94,0.07011723518371582,4.583,10.89,0.01426,0,1,1,sabre_025_extended,sabre_layout
55,69,0.07604002952575684,10.33,19.14,0.00234,0,1,1,sabre_025_extended,sabre_layout
60,63,0.06290292739868164,4.153,9.605,0.01561,0,1,1,sabre_025_extended,sabre_layout
10,10,0.033769845962524414,0.0,0.0,0.0007236,0,1,1,sabre_025_extended,sabre_layout
103,163,0.16029119491577148,1.732,9.337,0.008864,0,1,1,sabre_025_extended,sabre_layout
114,114,0.06167316436767578,42.29,42.29,0.0196,0,1,1,sabre_025_extended,sabre_layout
103,163,0.15995001792907715,1.732,9.337,0.008357,0,1,1,sabre_025_extended,sabre_layout
151,151,0.07191300392150879,10.69,12.9,0.008644,0,1,1,sabre_025_extended,sabre_layout
41,65,0.06763124465942383,5.148,9.337,0.01224,0,1,1,sabre_025_extended,sabre_layout
207,334,0.2075200080871582,19.65,34.5,0.008618,0,1,1,sabre_025_extended,sabre_layout
41,42,0.03247213363647461,2.773,2.487,0.01593,0,1,1,sabre_025_extended,sabre_layout
52,57,0.05147099494934082,4.062,3.0,0.0008994,0,1,1,sabre_025_extended,sabre_layout
7,9,0.05539131164550781,4.763,3.897,0.01514,0,1,1,sabre_025_extended,sabre_layout
10,4,0.03249406814575195,0.0,0.0,7.383e-05,0,1,1,sabre_025_extended,sabre_layout
20,8,0.035624027252197266,0.0,0.0,0.0003483,0,1,1,sabre_025_extended,sabre_layout
12,16,0.03656506538391113,3.5,2.487,0.01679,0,1,1,sabre_025_extended,sabre_layout
168,273,0.3084380626678467,0.866,7.462,0.03788,0,1,1,sabre_025_extended,sabre_layout
146,175,0.09490728378295898,39.83,32.96,0.005862,0,1,1,sabre_025_extended,sabre_layout
88,171,0.1145620346069336,15.98,14.15,0.01797,0,1,1,sabre_025_extended,sabre_layout
56,42,0.05719184875488281,5.356,7.462,0.003052,0,1,1,sabre_025_extended,sabre_layout
190,488,0.3542320728302002,67.47,71.38,0.01429,0,1,1,sabre_025_extended,sabre_layout
131,150,0.16465282440185547,13.37,46.11,0.02104,0,1,1,sabre_025_extended,sabre_layout
139,422,0.28687381744384766,10.76,18.78,0.01813,0,1,1,sabre_025_extended,sabre_layout
198,201,0.11656379699707031,57.98,59.18,0.02593,0,1,1,sabre_025_extended,sabre_layout
38,30,0.043582916259765625,0.0,0.0,0.0002516,0,1,1,sabre_025_extended,sabre_layout
332,534,0.37711405754089355,23.67,34.36,0.02139,0,1,1,sabre_025_extended,sabre_layout
208,346,0.4886019229888916,0.433,2.598,0.06043,0,1,1,sabre_025_extended,sabre_layout
72,112,0.09742403030395508,22.95,18.19,0.006419,0,1,1,sabre_025_extended,sabre_layout
363,645,0.3412506580352783,61.52,82.9,0.03397,0,1,1,sabre_025_extended,sabre_layout
544,714,0.3748443126678467,19.92,22.88,0.01963,0,1,1,sabre_025_extended,sabre_layout
232,292,0.15898609161376953,14.31,14.54,0.01378,0,1,1,sabre_025_extended,sabre_layout
111,202,0.1575160026550293,14.07,32.21,0.0133,0,1,1,sabre_025_extended,sabre_layout
32,46,0.04780697822570801,0.0,0.0,0.0007267,0,1,1,sabre_025_extended,sabre_layout
226,725,0.4694380760192871,15.89,59.51,0.01832,0,1,1,sabre_025_extended,sabre_layout
288,483,0.8160409927368164,2.487,4.437,0.05313,0,1,1,sabre_025_extended,sabre_layout
394,412,0.1948080062866211,39.82,41.89,0.02269,0,1,1,sabre_025_extended,sabre_layout
20,90,0.1902751922607422,14.72,19.49,0.01148,0,1,1,sabre_025_extended,sabre_layout
469,1059,0.7411530017852783,103.0,106.8,0.05862,0,1,1,sabre_025_extended,sabre_layout
166,277,0.21487689018249512,27.4,58.02,0.03087,0,1,1,sabre_025_extended,sabre_layout
54,61,0.05343818664550781,9.093,10.39,0.01534,0,1,1,sabre_025_extended,sabre_layout
557,1244,1.0963358879089355,63.01,101.4,0.06602,0,1,1,sabre_025_extended,sabre_layout
434,461,0.2071998119354248,54.79,58.37,0.01783,0,1,1,sabre_025_extended,sabre_layout
178,131,0.24600505828857422,4.71,37.25,0.01618,0,1,1,sabre_025_extended,sabre_layout
57,90,0.1036992073059082,5.408,2.121,0.01644,0,1,1,sabre_025_extended,sabre_layout
