depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
1,1,0.020807981491088867,0.0,0.0,0.001147463046844616,ghz_2.qasm,SabreLayout,4,3,1,1,1
2,2,0.01880502700805664,1.299038105676658,1.299038105676658,0.0001534493999757513,ghz_3.qasm,SabreLayout,4,3,1,1,1
6,6,0.04637908935546875,0.0,0.0,0.011360902206692202,ghz_4.qasm,SabreLayout,4,3,1,1,1
6,10,0.022372007369995117,3.8078865529319543,3.6742346141747673,0.0013257345271033146,ghz_5.qasm,SabreLayout,4,3,1,1,1
14,17,0.022205829620361328,2.449489742783178,2.598076211353316,0.00047582492081013145,ghz_6.qasm,SabreLayout,4,3,1,1,1
15,24,0.023545265197753906,2.277608394786075,1.299038105676658,0.0007051655891686182,ghz_7.qasm,SabreLayout,4,3,1,1,1
22,28,0.023272037506103516,5.196152422706632,8.215838362577491,0.0011588771226371255,ghz_8.qasm,SabreLayout,4,3,1,1,1
26,35,0.0254361629486084,0.82915619758885,2.48746859276655,0.011463573379941435,ghz_9.qasm,SabreLayout,4,3,1,1,1
33,42,0.031234025955200195,4.9749371855331,19.13602623325961,0.0010448284094878534,ghz_10.qasm,SabreLayout,4,3,1,1,1
39,64,0.031189918518066406,3.905124837953327,7.46240577829965,0.0017492234184804108,ghz_11.qasm,SabreLayout,4,3,1,1,1
37,50,0.03152108192443848,3.832427429188973,11.299889379989523,0.0009124947058052135,ghz_12.qasm,SabreLayout,4,3,1,1,1
43,60,0.03197503089904785,2.7386127875258306,10.473180032826706,0.001997763147336514,ghz_13.qasm,SabreLayout,4,3,1,1,1
48,79,0.030900955200195312,6.869315832017043,4.9749371855331,0.0122534242675477,ghz_14.qasm,SabreLayout,4,3,1,1,1
55,98,0.03532600402832031,5.722761571129799,2.1213203435596424,0.0009531357406718518,ghz_15.qasm,SabreLayout,4,3,1,1,1
51,66,0.0357208251953125,7.693341276714559,16.753730927766508,0.0018923270232249555,ghz_16.qasm,SabreLayout,4,3,1,1,1
59,88,0.042661190032958984,11.453711188955307,23.370654676324325,0.0021278471302073653,ghz_17.qasm,SabreLayout,4,3,1,1,1
74,125,0.03899884223937988,7.562241731127087,10.5,0.0026501609712821957,ghz_18.qasm,SabreLayout,4,3,1,1,1
85,147,0.04763388633728027,4.769696007084728,28.88230427095456,0.014856121324386804,ghz_19.qasm,SabreLayout,4,3,1,1,1
76,115,0.040316104888916016,9.12071817347735,18.12456896039186,0.001944225139656559,ghz_20.qasm,SabreLayout,4,3,1,1,1
88,128,0.04869508743286133,11.166355717063647,13.24764129949177,0.0014646842620280782,ghz_21.qasm,SabreLayout,4,3,1,1,1
83,111,0.04178500175476074,10.23474474522936,22.18529918662356,0.002215882131874355,ghz_22.qasm,SabreLayout,4,3,1,1,1
99,154,0.05571627616882324,7.0710678118654755,11.022703842524301,0.00260216359908197,ghz_23.qasm,SabreLayout,4,3,1,1,1
107,164,0.05154109001159668,7.582875444051551,20.068632240389476,0.0005167371937068285,ghz_24.qasm,SabreLayout,4,3,1,1,1
127,207,0.0532839298248291,9.013878188659973,20.402205763103165,0.0018220341574163587,ghz_25.qasm,SabreLayout,4,3,1,1,1
107,160,0.054083824157714844,17.297037318569906,41.318125562517956,0.0031450290245091275,ghz_26.qasm,SabreLayout,4,3,1,1,1
126,200,0.05509209632873535,13.97318861248212,27.90161285660741,0.00359768545684409,ghz_27.qasm,SabreLayout,4,3,1,1,1
125,180,0.06239485740661621,13.729530217745982,38.27205246651922,0.014393688852465286,ghz_28.qasm,SabreLayout,4,3,1,1,1
127,214,0.05929207801818848,17.783419243778738,30.37268509697488,0.005087690058364056,ghz_29.qasm,SabreLayout,4,3,1,1,1
143,224,0.0668039321899414,7.46240577829965,21.37171027316251,0.005196201202079768,ghz_30.qasm,SabreLayout,4,3,1,1,1
151,270,0.06883907318115234,16.990806337546196,44.41494680847879,0.001817478425774371,ghz_31.qasm,SabreLayout,4,3,1,1,1
166,274,0.07920312881469727,8.407585860400118,19.8997487421324,0.011502489842622062,ghz_32.qasm,SabreLayout,4,3,1,1,1
167,251,0.07645797729492188,3.112474899497183,18.171062159378575,0.0018149754869374228,ghz_33.qasm,SabreLayout,4,3,1,1,1
175,255,0.07643508911132812,8.98262211161084,42.12704000995085,0.002010538309497605,ghz_34.qasm,SabreLayout,4,3,1,1,1
149,235,0.06801676750183105,16.98528775146303,39.36607041603213,0.018737563827393305,ghz_35.qasm,SabreLayout,4,3,1,1,1
