depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
1,1,0.022162199020385742,0.0,0.0,0.010747812557511381,ghz_2.qasm,SabreLayout,4,3,1,1,1
2,2,0.021268129348754883,0.0,0.0,0.0003444822328550781,ghz_3.qasm,SabreLayout,4,3,1,1,1
3,3,0.022071123123168945,0.8660254037844386,1.299038105676658,0.00017568847955091045,ghz_4.qasm,SabreLayout,4,3,1,1,1
7,10,0.021717071533203125,0.8660254037844386,0.0,0.011373183063881714,ghz_5.qasm,SabreLayout,4,3,1,1,1
7,11,0.023229360580444336,2.9154759474226504,4.743416490252569,0.0006110684112583133,ghz_6.qasm,SabreLayout,4,3,1,1,1
13,24,0.025084972381591797,1.7853571071357126,3.897114317029974,0.00038046185895115485,ghz_7.qasm,SabreLayout,4,3,1,1,1
14,25,0.02559685707092285,2.5,6.139014578904337,0.011935839917176517,ghz_8.qasm,SabreLayout,4,3,1,1,1
16,32,0.027711868286132812,2.8722813232690143,5.612486080160912,0.0004054637362142318,ghz_9.qasm,SabreLayout,4,3,1,1,1
23,45,0.029430866241455078,1.479019945774904,8.042853971072706,0.0011003000554762044,ghz_10.qasm,SabreLayout,4,3,1,1,1
23,55,0.0319979190826416,1.479019945774904,8.74642784226795,0.012404590291311763,ghz_11.qasm,SabreLayout,4,3,1,1,1
26,56,0.03280806541442871,1.920286436967152,5.356071321407137,0.0005497772273344958,ghz_12.qasm,SabreLayout,4,3,1,1,1
31,75,0.03312420845031738,2.0,3.0,0.0013833672541421476,ghz_13.qasm,SabreLayout,4,3,1,1,1
30,76,0.03301191329956055,4.301162633521313,10.920164833920778,0.012311266886429131,ghz_14.qasm,SabreLayout,4,3,1,1,1
35,92,0.03960895538330078,1.5,12.43734296383275,0.0009089644932134959,ghz_15.qasm,SabreLayout,4,3,1,1,1
39,120,0.043161869049072266,1.0897247358851685,7.648529270389178,0.001904115757130509,ghz_16.qasm,SabreLayout,4,3,1,1,1
36,112,0.06574487686157227,4.769696007084728,12.616952880945542,0.010697711783880882,ghz_17.qasm,SabreLayout,4,3,1,1,1
42,131,0.04341888427734375,2.8613807855648994,3.6742346141747673,0.0009450863381319878,ghz_18.qasm,SabreLayout,4,3,1,1,1
47,123,0.04462075233459473,1.118033988749895,11.022703842524301,0.00082063815842615,ghz_19.qasm,SabreLayout,4,3,1,1,1
46,151,0.04828906059265137,3.2015621187164243,11.324751652906125,0.0015490793439007487,ghz_20.qasm,SabreLayout,4,3,1,1,1
56,167,0.04787397384643555,2.165063509461097,9.33742469849155,0.0011145775709537607,ghz_21.qasm,SabreLayout,4,3,1,1,1
60,195,0.051477909088134766,1.299038105676658,2.598076211353316,0.0011705383754916157,ghz_22.qasm,SabreLayout,4,3,1,1,1
56,187,0.0532069206237793,3.344772040064913,19.13602623325961,0.013989560260421906,ghz_23.qasm,SabreLayout,4,3,1,1,1
57,182,0.05291891098022461,5.80409338312195,9.807522622966516,0.0003381236326402959,ghz_24.qasm,SabreLayout,4,3,1,1,1
61,222,0.05932283401489258,2.165063509461097,16.015617378046965,0.013264584393899322,ghz_25.qasm,SabreLayout,4,3,1,1,1
65,229,0.05891823768615723,4.031128874149275,20.838665984174707,0.004059760374156928,ghz_26.qasm,SabreLayout,4,3,1,1,1
73,296,0.0684659481048584,3.0413812651491097,21.529050141610984,0.004518393525908207,ghz_27.qasm,SabreLayout,4,3,1,1,1
73,252,0.06151866912841797,3.766629793329841,19.209372712298546,0.010387369874177044,ghz_28.qasm,SabreLayout,4,3,1,1,1
78,280,0.06924796104431152,3.344772040064913,19.253246479490155,0.0013745747960680669,ghz_29.qasm,SabreLayout,4,3,1,1,1
76,308,0.07242178916931152,4.031128874149275,16.5,0.000600103092031673,ghz_30.qasm,SabreLayout,4,3,1,1,1
83,285,0.07202410697937012,4.968651728587948,6.832825184358224,0.012307731286093955,ghz_31.qasm,SabreLayout,4,3,1,1,1
80,283,0.0728139877319336,6.609652033201143,47.172555580549165,0.0023874703521666674,ghz_32.qasm,SabreLayout,4,3,1,1,1
87,287,0.07220983505249023,5.123475382979799,30.400452299266863,0.012412231770685806,ghz_33.qasm,SabreLayout,4,3,1,1,1
87,363,0.08148789405822754,5.123475382979799,32.48461174156157,0.004175232919653965,ghz_34.qasm,SabreLayout,4,3,1,1,1
93,391,0.08467507362365723,6.49519052838329,36.64270050091832,0.0029670325626173747,ghz_35.qasm,SabreLayout,4,3,1,1,1
95,398,0.08768105506896973,6.363961030678928,24.372115213907882,0.015434252910285367,ghz_36.qasm,SabreLayout,4,3,1,1,1
98,399,0.09041714668273926,4.02336923485777,15.443445211480501,0.0018213792987726836,ghz_37.qasm,SabreLayout,4,3,1,1,1
107,421,0.09060811996459961,1.5,24.23324163210527,0.013710261707994711,ghz_38.qasm,SabreLayout,4,3,1,1,1
109,455,0.09280633926391602,3.112474899497183,35.78058132562969,0.0047154072194258234,ghz_39.qasm,SabreLayout,4,3,1,1,1
106,372,0.09067106246948242,4.085033659592048,57.197027894812855,0.014353053629407385,ghz_40.qasm,SabreLayout,4,3,1,1,1
113,475,0.0967259407043457,4.493050188902857,38.615896985568,0.003176022790710182,ghz_41.qasm,SabreLayout,4,3,1,1,1
119,425,0.1002202033996582,5.0,30.400452299266863,0.0016767835355423128,ghz_42.qasm,SabreLayout,4,3,1,1,1
123,441,0.09543800354003906,2.680951323690902,53.76511415406834,0.004787020415038543,ghz_43.qasm,SabreLayout,4,3,1,1,1
123,496,0.10428118705749512,3.9370039370059056,32.48461174156157,0.0010492894709225934,ghz_44.qasm,SabreLayout,4,3,1,1,1
126,548,0.13930702209472656,3.24037034920393,43.077691442323136,0.01512258733751615,ghz_45.qasm,SabreLayout,4,3,1,1,1
133,555,0.12121105194091797,5.448623679425842,32.12767498590584,0.001581779616901713,ghz_46.qasm,SabreLayout,4,3,1,1,1
131,652,0.1293010711669922,3.2015621187164243,76.42643521714199,0.013675046258509323,ghz_47.qasm,SabreLayout,4,3,1,1,1
134,701,0.12116599082946777,2.277608394786075,69.91914973739311,0.0049479359907091324,ghz_48.qasm,SabreLayout,4,3,1,1,1
131,612,0.157027006149292,6.264982043070834,34.16412592179112,0.014996132845779732,ghz_49.qasm,SabreLayout,4,3,1,1,1
139,562,0.13083386421203613,8.215838362577491,26.196373794859472,0.006265822507035904,ghz_50.qasm,SabreLayout,4,3,1,1,1
139,695,0.13605785369873047,4.153311931459037,22.64950330581225,0.01070456855364184,ghz_51.qasm,SabreLayout,4,3,1,1,1
141,591,0.12917780876159668,9.01041064547005,51.37363136863112,0.001799060802806726,ghz_52.qasm,SabreLayout,4,3,1,1,1
146,520,0.12700963020324707,5.5,91.54609494675347,0.013703449195833437,ghz_53.qasm,SabreLayout,4,3,1,1,1
151,680,0.13665986061096191,3.5,86.23369411082886,0.007557871929054925,ghz_54.qasm,SabreLayout,4,3,1,1,1
159,726,0.14292001724243164,5.7608593109014565,38.14691992808856,0.015476177403996826,ghz_55.qasm,SabreLayout,4,3,1,1,1
152,823,0.15227222442626953,8.261355820929152,82.25075987490936,0.007825825739016828,ghz_56.qasm,SabreLayout,4,3,1,1,1
152,674,0.1491408348083496,8.803408430829505,72.20283927935245,0.007622793563258184,ghz_57.qasm,SabreLayout,4,3,1,1,1
164,654,0.1620941162109375,7.75806032459145,88.7760525141775,0.015909918541346466,ghz_58.qasm,SabreLayout,4,3,1,1,1
169,907,0.1652989387512207,4.9180788932265,69.95132236062446,0.01213176269612103,ghz_59.qasm,SabreLayout,4,3,1,1,1
172,740,0.15438389778137207,4.47213595499958,49.76632897853729,0.0028916244600368088,ghz_60.qasm,SabreLayout,4,3,1,1,1
165,927,0.16840291023254395,6.34428877022476,75.32927717693832,0.012299368220073744,ghz_61.qasm,SabreLayout,4,3,1,1,1
184,733,0.1469249725341797,1.7853571071357126,79.7825168818332,0.008766632944707501,ghz_62.qasm,SabreLayout,4,3,1,1,1
178,848,0.17119789123535156,10.615436872781073,78.66066361276137,0.01940301771692566,ghz_63.qasm,SabreLayout,4,3,1,1,1
184,834,0.16637897491455078,8.699856320652657,184.47560814373264,0.004905152778593552,ghz_64.qasm,SabreLayout,4,3,1,1,1
184,928,0.17818880081176758,4.330127018922194,31.846310618343217,0.0030379719640994023,ghz_65.qasm,SabreLayout,4,3,1,1,1
192,839,0.16791915893554688,5.5,32.47595264191645,0.010289040026222055,ghz_66.qasm,SabreLayout,4,3,1,1,1
183,927,0.20862722396850586,4.14578098794425,84.62379984377917,0.01305074001427778,ghz_67.qasm,SabreLayout,4,3,1,1,1
197,1042,0.17958712577819824,3.344772040064913,78.31666489323968,0.005740126689772953,ghz_68.qasm,SabreLayout,4,3,1,1,1
197,1166,0.19989490509033203,4.815340071064556,121.38652108039014,0.01886027324032,ghz_69.qasm,SabreLayout,4,3,1,1,1
204,999,0.19219303131103516,4.866980583482946,26.099568961957974,0.009377881338560361,ghz_70.qasm,SabreLayout,4,3,1,1,1
202,1042,0.19068002700805664,4.949747468305833,69.49955035825772,0.006323423820616186,ghz_71.qasm,SabreLayout,4,3,1,1,1
205,998,0.19978690147399902,6.020797289396148,72.26124479968499,0.0057418054283860055,ghz_72.qasm,SabreLayout,4,3,1,1,1
203,1032,0.19553112983703613,10.27131929208707,45.645372164108814,0.010993582423934958,ghz_73.qasm,SabreLayout,4,3,1,1,1
220,1021,0.20383810997009277,2.7726341266023544,83.70483856982223,0.008417645522290499,ghz_74.qasm,SabreLayout,4,3,1,1,1
208,1217,0.21854686737060547,7.5,57.039460025494634,0.015614050479303058,ghz_75.qasm,SabreLayout,4,3,1,1,1
212,1032,0.2490699291229248,7.258615570478987,109.17073783757257,0.021853070833029484,ghz_76.qasm,SabreLayout,4,3,1,1,1
217,1282,0.24218988418579102,7.361215932167728,129.6437426179914,0.017181694818482356,ghz_77.qasm,SabreLayout,4,3,1,1,1
220,1118,0.259091854095459,8.671072598012312,36.88749788207381,0.021781158008840357,ghz_78.qasm,SabreLayout,4,3,1,1,1
223,1215,0.267193078994751,4.9180788932265,81.47085368400161,0.016964104997981677,ghz_79.qasm,SabreLayout,4,3,1,1,1
227,973,0.20621490478515625,9.669539802906858,60.01874707122767,0.00849470171231034,ghz_80.qasm,SabreLayout,4,3,1,1,1
238,1211,0.22840499877929688,7.084313657652377,190.21484563513962,0.011189267364023306,ghz_81.qasm,SabreLayout,4,3,1,1,1
226,1329,0.25562381744384766,11.755317945508747,93.68697881776315,0.012909802154586378,ghz_82.qasm,SabreLayout,4,3,1,1,1
246,1129,0.22780418395996094,8.411301920630361,155.7022398682819,0.026588332285843855,ghz_83.qasm,SabreLayout,4,3,1,1,1
231,1022,0.21559596061706543,9.192388155425117,120.54952301855035,0.010644939532972006,ghz_84.qasm,SabreLayout,4,3,1,1,1
254,1179,0.2466728687286377,2.7386127875258306,88.42369591913697,0.022340586138235558,ghz_85.qasm,SabreLayout,4,3,1,1,1
259,1507,0.26489686965942383,5.973901572674261,96.75581377881124,0.018325269558235636,ghz_86.qasm,SabreLayout,4,3,1,1,1
248,1046,0.22542309761047363,14.341809509263467,172.3434071846092,0.021789797888163213,ghz_87.qasm,SabreLayout,4,3,1,1,1
256,1533,0.3069498538970947,7.697402159170326,151.60206957690255,0.020603077423825736,ghz_88.qasm,SabreLayout,4,3,1,1,1
263,1447,0.26432013511657715,7.516648189186454,109.29432739168122,0.011063255235128447,ghz_89.qasm,SabreLayout,4,3,1,1,1
265,1445,0.2882270812988281,5.385164807134504,44.01420225336363,0.014727155660219116,ghz_90.qasm,SabreLayout,4,3,1,1,1
264,1200,0.2847568988800049,8.455767262643882,240.9765289400609,0.02611137035364682,ghz_91.qasm,SabreLayout,4,3,1,1,1
269,1579,0.278867244720459,8.257572282456872,130.65292763654398,0.0172876713204303,ghz_92.qasm,SabreLayout,4,3,1,1,1
266,1190,0.30199289321899414,8.437268515343103,242.45308824595327,0.01072968276494208,ghz_93.qasm,SabreLayout,4,3,1,1,1
277,1476,0.29322385787963867,9.67923034130297,48.80765821057183,0.015817134403975298,ghz_94.qasm,SabreLayout,4,3,1,1,1
286,1474,0.27263808250427246,3.24037034920393,147.16062652761437,0.02159652167458478,ghz_95.qasm,SabreLayout,4,3,1,1,1
290,1664,0.2847249507904053,1.5811388300841898,140.6384993520622,0.014389316937312503,ghz_96.qasm,SabreLayout,4,3,1,1,1
279,1680,0.2996652126312256,11.4755174175285,63.88661831714056,0.008009840586409302,ghz_97.qasm,SabreLayout,4,3,1,1,1
291,1936,0.3415029048919678,7.660776723022281,282.8792807895269,0.02534573813875759,ghz_98.qasm,SabreLayout,4,3,1,1,1
294,1223,0.24632811546325684,4.493050188902857,244.91261196598268,0.0265436637071462,ghz_99.qasm,SabreLayout,4,3,1,1,1
288,1500,0.2950279712677002,6.977642868476432,114.18488297493674,0.016159121428048,ghz_100.qasm,SabreLayout,4,3,1,1,1
297,1768,0.3088047504425049,7.46240577829965,177.56319297647246,0.016995717962011773,ghz_101.qasm,SabreLayout,4,3,1,1,1
301,1559,0.3461620807647705,5.744562646538029,117.83118220573024,0.018588151147435717,ghz_102.qasm,SabreLayout,4,3,1,1,1
302,1911,0.33028388023376465,5.431390245600108,90.30884508175265,0.015194404981330758,ghz_103.qasm,SabreLayout,4,3,1,1,1
301,1987,0.3536210060119629,11.734031702701335,219.46184178576465,0.013494413500498249,ghz_104.qasm,SabreLayout,4,3,1,1,1
307,1862,0.35457897186279297,8.1967981553775,93.17825658381895,0.02997669253035483,ghz_105.qasm,SabreLayout,4,3,1,1,1
