depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
1,1,0.023802757263183594,0.0,0.0,0.0,ghz_2.qasm,SabreLayout,1,3,3,1,1
2,2,0.02153301239013672,0.0,0.0,0.0,ghz_3.qasm,SabreLayout,1,3,3,1,1
9,15,0.027622222900390625,0.0,0.0,0.0,ghz_4.qasm,SabreLayout,1,3,3,1,1
5,7,0.021309852600097656,0.0,0.0,0.0,ghz_5.qasm,SabreLayout,1,3,3,1,1
14,26,0.03849220275878906,0.0,0.0,0.0,ghz_6.qasm,SabreLayout,1,3,3,1,1
15,15,0.03876686096191406,0.0,0.0,0.0,ghz_7.qasm,SabreLayout,1,3,3,1,1
16,28,0.0362398624420166,0.0,0.0,0.0,ghz_8.qasm,SabreLayout,1,3,3,1,1
21,35,0.05772900581359863,0.0,0.0,0.0,ghz_9.qasm,SabreLayout,1,3,3,1,1
24,45,0.062367916107177734,0.0,0.0,0.0,ghz_10.qasm,SabreLayout,1,3,3,1,1
29,76,0.13573122024536133,0.0,0.0,0.0,ghz_11.qasm,SabreLayout,1,3,3,1,1
35,83,0.16988897323608398,0.0,0.0,0.0,ghz_12.qasm,SabreLayout,1,3,3,1,1
33,84,0.19051814079284668,0.0,0.0,0.0,ghz_13.qasm,SabreLayout,1,3,3,1,1
42,187,0.4673457145690918,0.0,0.0,0.0,ghz_14.qasm,SabreLayout,1,3,3,1,1
47,164,0.4281740188598633,0.0,0.0,0.0,ghz_15.qasm,SabreLayout,1,3,3,1,1
44,96,0.21824073791503906,0.0,0.0,0.0,ghz_16.qasm,SabreLayout,1,3,3,1,1
51,121,0.35608887672424316,0.0,0.0,0.0,ghz_17.qasm,SabreLayout,1,3,3,1,1
50,212,0.5346438884735107,0.0,0.0,0.0,ghz_18.qasm,SabreLayout,1,3,3,1,1
65,249,0.9123241901397705,0.0,0.0,0.0,ghz_19.qasm,SabreLayout,1,3,3,1,1
74,232,0.928415060043335,0.0,0.0,0.0,ghz_20.qasm,SabreLayout,1,3,3,1,1
69,224,0.8716630935668945,0.0,0.0,0.0,ghz_21.qasm,SabreLayout,1,3,3,1,1
68,198,0.6748690605163574,0.0,0.0,0.0,ghz_22.qasm,SabreLayout,1,3,3,1,1
72,205,0.8907229900360107,0.0,0.0,0.0,ghz_23.qasm,SabreLayout,1,3,3,1,1
77,188,0.804196834564209,0.0,0.0,0.0,ghz_24.qasm,SabreLayout,1,3,3,1,1
82,339,1.6853928565979004,0.0,0.0,0.0,ghz_25.qasm,SabreLayout,1,3,3,1,1
84,274,1.3640000820159912,0.0,0.0,0.0,ghz_26.qasm,SabreLayout,1,3,3,1,1
88,329,1.7034249305725098,0.0,0.0,0.0,ghz_27.qasm,SabreLayout,1,3,3,1,1
88,279,1.6715538501739502,0.0,0.0,0.0,ghz_28.qasm,SabreLayout,1,3,3,1,1
99,313,1.8592779636383057,0.0,0.0,0.0,ghz_29.qasm,SabreLayout,1,3,3,1,1
92,293,1.5078787803649902,0.0,0.0,0.0,ghz_30.qasm,SabreLayout,1,3,3,1,1
103,357,2.1300463676452637,0.0,0.0,0.0,ghz_31.qasm,SabreLayout,1,3,3,1,1
86,310,1.9372427463531494,0.0,0.0,0.0,ghz_32.qasm,SabreLayout,1,3,3,1,1
98,383,2.3704922199249268,0.0,0.0,0.0,ghz_33.qasm,SabreLayout,1,3,3,1,1
110,462,3.088592052459717,0.0,0.0,0.0,ghz_34.qasm,SabreLayout,1,3,3,1,1
119,508,3.673912763595581,0.0,0.0,0.0,ghz_35.qasm,SabreLayout,1,3,3,1,1
122,602,4.244782209396362,0.0,0.0,0.0,ghz_36.qasm,SabreLayout,1,3,3,1,1
122,495,3.358905076980591,0.0,0.0,0.0,ghz_37.qasm,SabreLayout,1,3,3,1,1
117,475,3.5124971866607666,0.0,0.0,0.0,ghz_38.qasm,SabreLayout,1,3,3,1,1
128,656,4.940008163452148,0.0,0.0,0.0,ghz_39.qasm,SabreLayout,1,3,3,1,1
123,492,3.9741528034210205,0.0,0.0,0.0,ghz_40.qasm,SabreLayout,1,3,3,1,1
137,679,5.503207206726074,0.0,0.0,0.0,ghz_41.qasm,SabreLayout,1,3,3,1,1
131,581,4.912678956985474,0.0,0.0,0.0,ghz_42.qasm,SabreLayout,1,3,3,1,1
140,591,4.226049184799194,0.0,0.0,0.0,ghz_43.qasm,SabreLayout,1,3,3,1,1
137,616,5.469725847244263,0.0,0.0,0.0,ghz_44.qasm,SabreLayout,1,3,3,1,1
