depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
26,42,0.04135394096374512,0.0,0.0,0.0,ghz_10.qasm,SabreLayout,1,3,1,1,1
68,280,0.2036118507385254,0.0,0.0,0.0,ghz_20.qasm,SabreLayout,1,3,1,1,1
101,347,0.4585752487182617,0.0,0.0,0.0,ghz_30.qasm,SabreLayout,1,3,1,1,1
136,570,0.8634109497070312,0.0,0.0,0.0,ghz_40.qasm,SabreLayout,1,3,1,1,1
169,784,1.4500279426574707,0.0,0.0,0.0,ghz_50.qasm,SabreLayout,1,3,1,1,1
199,881,1.9906601905822754,0.0,0.0,0.0,ghz_60.qasm,SabreLayout,1,3,1,1,1
234,1365,3.7071480751037598,0.0,0.0,0.0,ghz_70.qasm,SabreLayout,1,3,1,1,1
269,1630,5.281692981719971,0.0,0.0,0.0,ghz_80.qasm,SabreLayout,1,3,1,1,1
300,2069,6.784251928329468,0.0,0.0,0.0,ghz_90.qasm,SabreLayout,1,3,1,1,1
342,2076,8.102380990982056,0.0,0.0,0.0,ghz_100.qasm,SabreLayout,1,3,1,1,1
