depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
23,36,0.11391878128051758,0.0,0.0,0.0,ghz_10.qasm,SabreLayout,1,3,10,1,1
67,277,1.5512020587921143,0.0,0.0,0.0,ghz_20.qasm,SabreLayout,1,3,10,1,1
92,335,3.6664860248565674,0.0,0.0,0.0,ghz_30.qasm,SabreLayout,1,3,10,1,1
136,570,7.492078065872192,0.0,0.0,0.0,ghz_40.qasm,SabreLayout,1,3,10,1,1
169,784,12.681020736694336,0.0,0.0,0.0,ghz_50.qasm,SabreLayout,1,3,10,1,1
199,881,18.240637063980103,0.0,0.0,0.0,ghz_60.qasm,SabreLayout,1,3,10,1,1
232,1362,34.50656723976135,0.0,0.0,0.0,ghz_70.qasm,SabreLayout,1,3,10,1,1
270,1651,47.84949707984924,0.0,0.0,0.0,ghz_80.qasm,SabreLayout,1,3,10,1,1
300,2063,65.92014789581299,0.0,0.0,0.0,ghz_90.qasm,SabreLayout,1,3,10,1,1
341,2097,74.26168704032898,0.0,0.0,0.0,ghz_100.qasm,SabreLayout,1,3,10,1,1
