depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
9,21,0.014045000076293945,0.0,0.0,0.0,qvol_10_1_0655.qasm,SabreLayout,1,3,1,1,1
12,42,0.020261049270629883,0.0,0.0,0.0,qvol_10_2_0115.qasm,SabreLayout,1,3,1,1,1
42,84,0.036112070083618164,0.0,0.0,0.0,qvol_10_3_0026.qasm,SabreLayout,1,3,1,1,1
39,117,0.04060006141662598,0.0,0.0,0.0,qvol_10_4_0760.qasm,SabreLayout,1,3,1,1,1
60,183,0.053832054138183594,0.0,0.0,0.0,qvol_10_5_0282.qasm,SabreLayout,1,3,1,1,1
63,216,0.06316518783569336,0.0,0.0,0.0,qvol_10_6_0251.qasm,SabreLayout,1,3,1,1,1
108,249,0.07905316352844238,0.0,0.0,0.0,qvol_10_7_0229.qasm,SabreLayout,1,3,1,1,1
144,270,0.08130502700805664,0.0,0.0,0.0,qvol_10_8_0143.qasm,SabreLayout,1,3,1,1,1
117,324,0.10103106498718262,0.0,0.0,0.0,qvol_10_9_0755.qasm,SabreLayout,1,3,1,1,1
132,396,0.13306021690368652,0.0,0.0,0.0,qvol_10_10_0105.qasm,SabreLayout,1,3,1,1,1
120,417,0.1268610954284668,0.0,0.0,0.0,qvol_10_11_0693.qasm,SabreLayout,1,3,1,1,1
171,462,0.12204694747924805,0.0,0.0,0.0,qvol_10_12_0759.qasm,SabreLayout,1,3,1,1,1
141,441,0.13225293159484863,0.0,0.0,0.0,qvol_10_13_0914.qasm,SabreLayout,1,3,1,1,1
168,528,1.0878069400787354,0.0,0.0,0.0,qvol_10_14_0559.qasm,SabreLayout,1,3,1,1,1
210,549,0.158782958984375,0.0,0.0,0.0,qvol_10_15_0090.qasm,SabreLayout,1,3,1,1,1
198,621,0.17362689971923828,0.0,0.0,0.0,qvol_10_16_0605.qasm,SabreLayout,1,3,1,1,1
216,663,0.18200993537902832,0.0,0.0,0.0,qvol_10_17_0433.qasm,SabreLayout,1,3,1,1,1
204,648,0.18263816833496094,0.0,0.0,0.0,qvol_10_18_0033.qasm,SabreLayout,1,3,1,1,1
234,711,0.19508600234985352,0.0,0.0,0.0,qvol_10_19_0031.qasm,SabreLayout,1,3,1,1,1
234,756,0.2091200351715088,0.0,0.0,0.0,qvol_10_20_0096.qasm,SabreLayout,1,3,1,1,1
252,765,0.2165229320526123,0.0,0.0,0.0,qvol_10_21_0224.qasm,SabreLayout,1,3,1,1,1
246,786,0.2175769805908203,0.0,0.0,0.0,qvol_10_22_0239.qasm,SabreLayout,1,3,1,1,1
273,837,0.22993803024291992,0.0,0.0,0.0,qvol_10_23_0518.qasm,SabreLayout,1,3,1,1,1
291,873,0.24687409400939941,0.0,0.0,0.0,qvol_10_24_0617.qasm,SabreLayout,1,3,1,1,1
327,957,0.25418710708618164,0.0,0.0,0.0,qvol_10_25_0028.qasm,SabreLayout,1,3,1,1,1
333,1002,0.2742760181427002,0.0,0.0,0.0,qvol_10_26_0575.qasm,SabreLayout,1,3,1,1,1
282,945,0.27261900901794434,0.0,0.0,0.0,qvol_10_27_0204.qasm,SabreLayout,1,3,1,1,1
357,1083,0.29346275329589844,0.0,0.0,0.0,qvol_10_28_0734.qasm,SabreLayout,1,3,1,1,1
333,1092,0.29978394508361816,0.0,0.0,0.0,qvol_10_29_0666.qasm,SabreLayout,1,3,1,1,1
489,1227,0.3102281093597412,0.0,0.0,0.0,qvol_10_30_0719.qasm,SabreLayout,1,3,1,1,1
405,1188,1.4735867977142334,0.0,0.0,0.0,qvol_10_31_0986.qasm,SabreLayout,1,3,1,1,1
390,1209,0.34044981002807617,0.0,0.0,0.0,qvol_10_32_0430.qasm,SabreLayout,1,3,1,1,1
399,1275,0.3504178524017334,0.0,0.0,0.0,qvol_10_33_0226.qasm,SabreLayout,1,3,1,1,1
417,1395,0.3663771152496338,0.0,0.0,0.0,qvol_10_34_0460.qasm,SabreLayout,1,3,1,1,1
447,1401,0.3705329895019531,0.0,0.0,0.0,qvol_10_35_0604.qasm,SabreLayout,1,3,1,1,1
393,1302,0.36854100227355957,0.0,0.0,0.0,qvol_10_36_0285.qasm,SabreLayout,1,3,1,1,1
459,1470,0.3889658451080322,0.0,0.0,0.0,qvol_10_37_0829.qasm,SabreLayout,1,3,1,1,1
435,1419,0.3942420482635498,0.0,0.0,0.0,qvol_10_38_0891.qasm,SabreLayout,1,3,1,1,1
492,1527,0.40344691276550293,0.0,0.0,0.0,qvol_10_39_0007.qasm,SabreLayout,1,3,1,1,1
495,1668,0.43468809127807617,0.0,0.0,0.0,qvol_10_40_0778.qasm,SabreLayout,1,3,1,1,1
504,1584,1.6388981342315674,0.0,0.0,0.0,qvol_10_41_0826.qasm,SabreLayout,1,3,1,1,1
498,1557,0.45824694633483887,0.0,0.0,0.0,qvol_10_42_0164.qasm,SabreLayout,1,3,1,1,1
519,1644,0.45333385467529297,0.0,0.0,0.0,qvol_10_43_0715.qasm,SabreLayout,1,3,1,1,1
504,1668,0.4706399440765381,0.0,0.0,0.0,qvol_10_44_0983.qasm,SabreLayout,1,3,1,1,1
564,1695,0.4701681137084961,0.0,0.0,0.0,qvol_10_45_0349.qasm,SabreLayout,1,3,1,1,1
561,1740,0.47544097900390625,0.0,0.0,0.0,qvol_10_46_0964.qasm,SabreLayout,1,3,1,1,1
597,1806,0.49302005767822266,0.0,0.0,0.0,qvol_10_47_0160.qasm,SabreLayout,1,3,1,1,1
588,1857,0.5036370754241943,0.0,0.0,0.0,qvol_10_48_0221.qasm,SabreLayout,1,3,1,1,1
594,1875,1.7719759941101074,0.0,0.0,0.0,qvol_10_49_0782.qasm,SabreLayout,1,3,1,1,1
585,1899,0.5323970317840576,0.0,0.0,0.0,qvol_10_50_0345.qasm,SabreLayout,1,3,1,1,1
954,2052,0.510699987411499,0.0,0.0,0.0,qvol_10_51_0990.qasm,SabreLayout,1,3,1,1,1
615,1989,0.5384178161621094,0.0,0.0,0.0,qvol_10_52_0095.qasm,SabreLayout,1,3,1,1,1
657,2028,0.5441479682922363,0.0,0.0,0.0,qvol_10_53_0390.qasm,SabreLayout,1,3,1,1,1
1041,1938,0.48832225799560547,0.0,0.0,0.0,qvol_10_54_0100.qasm,SabreLayout,1,3,1,1,1
642,2127,0.5555069446563721,0.0,0.0,0.0,qvol_10_55_0368.qasm,SabreLayout,1,3,1,1,1
708,2211,1.7389471530914307,0.0,0.0,0.0,qvol_10_56_0868.qasm,SabreLayout,1,3,1,1,1
681,2082,0.5594370365142822,0.0,0.0,0.0,qvol_10_57_0353.qasm,SabreLayout,1,3,1,1,1
696,2229,0.5858790874481201,0.0,0.0,0.0,qvol_10_58_0619.qasm,SabreLayout,1,3,1,1,1
