depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
3,15,0.012968778610229492,0.0,0.0,0.0,qvol_10_1_0655.qasm,SabreLayout,1,3,1,1,1
27,69,0.022758007049560547,0.0,0.0,0.0,qvol_10_2_0115.qasm,SabreLayout,1,3,1,1,1
30,93,0.032439231872558594,0.0,0.0,0.0,qvol_10_3_0026.qasm,SabreLayout,1,3,1,1,1
42,117,0.03963494300842285,0.0,0.0,0.0,qvol_10_4_0760.qasm,SabreLayout,1,3,1,1,1
42,138,0.047811031341552734,0.0,0.0,0.0,qvol_10_5_0282.qasm,SabreLayout,1,3,1,1,1
66,222,0.06568479537963867,0.0,0.0,0.0,qvol_10_6_0251.qasm,SabreLayout,1,3,1,1,1
75,240,0.0694580078125,0.0,0.0,0.0,qvol_10_7_0229.qasm,SabreLayout,1,3,1,1,1
123,264,0.0802450180053711,0.0,0.0,0.0,qvol_10_8_0143.qasm,SabreLayout,1,3,1,1,1
108,327,0.09774208068847656,0.0,0.0,0.0,qvol_10_9_0755.qasm,SabreLayout,1,3,1,1,1
105,366,0.10004782676696777,0.0,0.0,0.0,qvol_10_10_0105.qasm,SabreLayout,1,3,1,1,1
180,435,0.10813426971435547,0.0,0.0,0.0,qvol_10_11_0693.qasm,SabreLayout,1,3,1,1,1
156,426,0.12337017059326172,0.0,0.0,0.0,qvol_10_12_0759.qasm,SabreLayout,1,3,1,1,1
132,444,0.13350725173950195,0.0,0.0,0.0,qvol_10_13_0914.qasm,SabreLayout,1,3,1,1,1
150,492,0.15368199348449707,0.0,0.0,0.0,qvol_10_14_0559.qasm,SabreLayout,1,3,1,1,1
219,555,0.160200834274292,0.0,0.0,0.0,qvol_10_15_0090.qasm,SabreLayout,1,3,1,1,1
159,564,0.16849398612976074,0.0,0.0,0.0,qvol_10_16_0605.qasm,SabreLayout,1,3,1,1,1
183,693,0.18641901016235352,0.0,0.0,0.0,qvol_10_17_0433.qasm,SabreLayout,1,3,1,1,1
183,633,0.1799609661102295,0.0,0.0,0.0,qvol_10_18_0033.qasm,SabreLayout,1,3,1,1,1
204,747,0.20332002639770508,0.0,0.0,0.0,qvol_10_19_0031.qasm,SabreLayout,1,3,1,1,1
273,714,0.2070319652557373,0.0,0.0,0.0,qvol_10_20_0096.qasm,SabreLayout,1,3,1,1,1
210,756,0.2045450210571289,0.0,0.0,0.0,qvol_10_21_0224.qasm,SabreLayout,1,3,1,1,1
222,768,0.21730470657348633,0.0,0.0,0.0,qvol_10_22_0239.qasm,SabreLayout,1,3,1,1,1
