depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
3,15,0.012367725372314453,0.0,0.0,0.0,qvol_10_1_0655.qasm,SabreLayout,1,3,2,1,1
15,60,0.05561971664428711,0.0,0.0,0.0,qvol_10_2_0115.qasm,SabreLayout,1,3,2,1,1
24,87,0.12274003028869629,0.0,0.0,0.0,qvol_10_3_0026.qasm,SabreLayout,1,3,2,1,1
27,114,0.17184901237487793,0.0,0.0,0.0,qvol_10_4_0760.qasm,SabreLayout,1,3,2,1,1
42,150,0.2502458095550537,0.0,0.0,0.0,qvol_10_5_0282.qasm,SabreLayout,1,3,2,1,1
75,195,0.24292206764221191,0.0,0.0,0.0,qvol_10_6_0251.qasm,SabreLayout,1,3,2,1,1
72,234,0.5961971282958984,0.0,0.0,0.0,qvol_10_7_0229.qasm,SabreLayout,1,3,2,1,1
93,267,0.81685471534729,0.0,0.0,0.0,qvol_10_8_0143.qasm,SabreLayout,1,3,2,1,1
84,306,1.1624529361724854,0.0,0.0,0.0,qvol_10_9_0755.qasm,SabreLayout,1,3,2,1,1
126,360,1.0570507049560547,0.0,0.0,0.0,qvol_10_10_0105.qasm,SabreLayout,1,3,2,1,1
141,369,1.6044299602508545,0.0,0.0,0.0,qvol_10_11_0693.qasm,SabreLayout,1,3,2,1,1
147,477,2.3741519451141357,0.0,0.0,0.0,qvol_10_12_0759.qasm,SabreLayout,1,3,2,1,1
117,444,2.4129772186279297,0.0,0.0,0.0,qvol_10_13_0914.qasm,SabreLayout,1,3,2,1,1
129,489,2.846235752105713,0.0,0.0,0.0,qvol_10_14_0559.qasm,SabreLayout,1,3,2,1,1
216,555,2.547664165496826,0.0,0.0,0.0,qvol_10_15_0090.qasm,SabreLayout,1,3,2,1,1
210,540,3.5563600063323975,0.0,0.0,0.0,qvol_10_16_0605.qasm,SabreLayout,1,3,2,1,1
171,600,5.1516642570495605,0.0,0.0,0.0,qvol_10_17_0433.qasm,SabreLayout,1,3,2,1,1
159,639,5.3966991901397705,0.0,0.0,0.0,qvol_10_18_0033.qasm,SabreLayout,1,3,2,1,1
213,702,4.111684083938599,0.0,0.0,0.0,qvol_10_19_0031.qasm,SabreLayout,1,3,2,1,1
177,705,6.71825098991394,0.0,0.0,0.0,qvol_10_20_0096.qasm,SabreLayout,1,3,2,1,1
