depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
19,25,0.012251138687133789,2.598076211353316,1.299038105676658,0.00023647944319444238,qec_en_n5.qasm,SabreLayout,4,3,1,1,1
10,10,0.010673046112060547,6.0,6.0,0.0011980284859082087,basis_change_n3.qasm,SabreLayout,4,3,1,1,1
24,27,0.012650012969970703,3.6742346141747673,2.48746859276655,0.0004943537336440164,qpe.qasm,SabreLayout,4,3,1,1,1
19,21,0.013058185577392578,1.299038105676658,1.299038105676658,0.0004892733920542856,qft_n4.qasm,SabreLayout,4,3,1,1,1
12,16,0.01273488998413086,4.380353866983808,9.486832980505138,0.001567604215424786,variational_n4.qasm,SabreLayout,4,3,1,1,1
57,108,0.029010772705078125,2.947456530637899,25.675864152935535,0.0029803974600531315,cat_state_n22.qasm,SabreLayout,4,3,1,1,1
60,184,0.03780508041381836,3.418698582794336,8.584142356694699,0.0013636509751061736,ghz_state_n23.qasm,SabreLayout,4,3,1,1,1
37,41,0.018255233764648438,4.437059837324712,3.897114317029974,0.0006537047997310006,simon_n6.qasm,SabreLayout,4,3,1,1,1
31,76,0.024084091186523438,2.23606797749979,4.437059837324712,0.0006396173403276562,bv_n14.qasm,SabreLayout,4,3,1,1,1
54,60,0.027350902557373047,2.8722813232690143,7.75806032459145,0.00042149887610569366,cc_n12.qasm,SabreLayout,4,3,1,1,1
47,185,0.06865096092224121,7.084313657652377,17.541023345289748,0.0034464987539062045,qec9xz_n17.qasm,SabreLayout,4,3,1,1,1
48,135,0.03628706932067871,1.0,7.5,0.00101287462603086,bv_n19.qasm,SabreLayout,4,3,1,1,1
67,175,0.05062413215637207,11.031205736455105,12.459935794377111,0.0021250832984612673,multiply_n13.qasm,SabreLayout,4,3,1,1,1
91,115,0.03601574897766113,2.692582403567252,9.9498743710662,0.0013977586889452002,error_correctiond3_n5.qasm,SabreLayout,4,3,1,1,1
80,127,0.03982377052307129,7.106335201775948,4.743416490252569,0.0033226869748738536,qpe_n9.qasm,SabreLayout,4,3,1,1,1
97,220,0.07147908210754395,11.113055385446435,41.379342672401165,0.004948564489475399,wstate_n27.qasm,SabreLayout,4,3,1,1,1
168,221,0.05537819862365723,10.198039027185569,23.092206477510977,0.0013425261948958067,adder_n10.qasm,SabreLayout,4,3,1,1,1
36,56,0.02962517738342285,17.755280904564703,25.675864152935535,0.005624033685937876,ft_2.qasm,SabreLayout,4,3,1,1,1
87,88,0.0400090217590332,66.52067347825036,81.81190316818207,0.00812777564600622,vqe_uccsd_n4.qasm,SabreLayout,4,3,1,1,1
141,210,0.05481696128845215,14.042346669983617,6.49519052838329,0.0007920871717281164,sat_n7.qasm,SabreLayout,4,3,1,1,1
57,111,0.044996023178100586,9.807522622966516,5.356071321407137,0.0016230667669573982,qaoa_n6.qasm,SabreLayout,4,3,1,1,1
266,297,0.06418395042419434,6.34428877022476,3.897114317029974,0.00048322730238342654,grover.qasm,SabreLayout,4,3,1,1,1
141,282,0.09525609016418457,10.709224995301948,13.162446581088183,0.003564030851468317,seca_n11.qasm,SabreLayout,4,3,1,1,1
147,267,0.09460973739624023,5.356071321407137,25.839649765428323,0.00480237009946372,knn_n25.qasm,SabreLayout,4,3,1,1,1
145,384,0.11504507064819336,7.5,51.63574343417552,0.010439502929899803,swap_test_n25.qasm,SabreLayout,4,3,1,1,1
20,90,0.0630960464477539,22.967368155711704,47.10095540432275,0.008342221242881458,ising_n10.qasm,SabreLayout,4,3,1,1,1
72,112,0.0522608757019043,44.86855803343807,77.5806032459145,0.015664102958013307,ft_1.qasm,SabreLayout,4,3,1,1,1
253,484,0.14517617225646973,22.135943621178654,47.077064479425644,0.054237744316570816,bigadder_n18.qasm,SabreLayout,4,3,1,1,1
252,538,0.17535996437072754,25.723287114985908,44.91867651656714,0.0041178616523649845,qram_n20.qasm,SabreLayout,4,3,1,1,1
228,430,0.10219693183898926,5.220153254455275,56.0245481909493,0.0063463552750834965,qf21_n15.qasm,SabreLayout,4,3,1,1,1
465,1005,0.3011188507080078,31.056400306539068,16.345871038277526,0.006864706529152214,multiplier_n15.qasm,SabreLayout,4,3,1,1,1
673,927,0.2360241413116455,7.516648189186454,27.207535720825582,0.004652132670277844,sat_n11.qasm,SabreLayout,4,3,1,1,1
261,939,0.5265753269195557,27.53179979587241,47.40450927918145,0.05892262409885017,qft_n18.qasm,SabreLayout,4,3,1,1,1
