depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
21,25,0.013740062713623047,0.0,0.0,0.0,qec_en_n5.qasm,SabreLayout,1,3,1,1,1
10,10,0.013304948806762695,0.0,0.0,0.0,basis_change_n3.qasm,SabreLayout,1,3,1,1,1
24,27,0.037841081619262695,0.0,0.0,0.0,qpe.qasm,SabreLayout,1,3,1,1,1
19,24,0.01772904396057129,0.0,0.0,0.0,qft_n4.qasm,SabreLayout,1,3,1,1,1
12,16,0.014652013778686523,0.0,0.0,0.0,variational_n4.qasm,SabreLayout,1,3,1,1,1
60,159,0.02798295021057129,0.0,0.0,0.0,cat_state_n22.qasm,SabreLayout,1,3,1,1,1
66,211,0.027039051055908203,0.0,0.0,0.0,ghz_state_n23.qasm,SabreLayout,1,3,1,1,1
39,47,0.017783164978027344,0.0,0.0,0.0,simon_n6.qasm,SabreLayout,1,3,1,1,1
47,91,0.020617961883544922,0.0,0.0,0.0,bv_n14.qasm,SabreLayout,1,3,1,1,1
65,78,0.027827978134155273,0.0,0.0,0.0,cc_n12.qasm,SabreLayout,1,3,1,1,1
66,206,0.03056192398071289,0.0,0.0,0.0,qec9xz_n17.qasm,SabreLayout,1,3,1,1,1
63,138,0.02806711196899414,0.0,0.0,0.0,bv_n19.qasm,SabreLayout,1,3,1,1,1
100,166,0.03296303749084473,0.0,0.0,0.0,multiply_n13.qasm,SabreLayout,1,3,1,1,1
98,121,0.0293729305267334,0.0,0.0,0.0,error_correctiond3_n5.qasm,SabreLayout,1,3,1,1,1
91,121,0.03383326530456543,0.0,0.0,0.0,qpe_n9.qasm,SabreLayout,1,3,1,1,1
95,397,0.05943036079406738,0.0,0.0,0.0,wstate_n27.qasm,SabreLayout,1,3,1,1,1
148,206,0.04104304313659668,0.0,0.0,0.0,adder_n10.qasm,SabreLayout,1,3,1,1,1
73,113,0.061203956604003906,0.0,0.0,0.0,ft_2.qasm,SabreLayout,1,3,1,1,1
87,88,0.029601097106933594,0.0,0.0,0.0,vqe_uccsd_n4.qasm,SabreLayout,1,3,1,1,1
151,204,0.04259610176086426,0.0,0.0,0.0,sat_n7.qasm,SabreLayout,1,3,1,1,1
78,132,0.036271095275878906,0.0,0.0,0.0,qaoa_n6.qasm,SabreLayout,1,3,1,1,1
294,312,0.05261635780334473,0.0,0.0,0.0,grover.qasm,SabreLayout,1,3,1,1,1
186,294,0.05845522880554199,0.0,0.0,0.0,seca_n11.qasm,SabreLayout,1,3,1,1,1
154,390,0.06214594841003418,0.0,0.0,0.0,knn_n25.qasm,SabreLayout,1,3,1,1,1
144,381,0.06097722053527832,0.0,0.0,0.0,swap_test_n25.qasm,SabreLayout,1,3,1,1,1
79,180,0.05367898941040039,0.0,0.0,0.0,ising_n10.qasm,SabreLayout,1,3,1,1,1
72,112,0.07825779914855957,0.0,0.0,0.0,ft_1.qasm,SabreLayout,1,3,1,1,1
251,436,0.0793769359588623,0.0,0.0,0.0,bigadder_n18.qasm,SabreLayout,1,3,1,1,1
254,604,0.09615087509155273,0.0,0.0,0.0,qram_n20.qasm,SabreLayout,1,3,1,1,1
223,409,0.07893013954162598,0.0,0.0,0.0,qf21_n15.qasm,SabreLayout,1,3,1,1,1
478,948,0.15875625610351562,0.0,0.0,0.0,multiplier_n15.qasm,SabreLayout,1,3,1,1,1
658,876,0.18532133102416992,0.0,0.0,0.0,sat_n11.qasm,SabreLayout,1,3,1,1,1
260,834,0.22016477584838867,0.0,0.0,0.0,qft_n18.qasm,SabreLayout,1,3,1,1,1
