depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
19,22,0.012964010238647461,4.031128874149275,4.9180788932265,0.0004428293779231758,qec_en_n5.qasm,SabreLayout,4,3,1,1,1
10,10,0.01146388053894043,0.0,0.0,0.00028826179207442856,basis_change_n3.qasm,SabreLayout,4,3,1,1,1
22,27,0.013292074203491211,5.0682837331783235,4.5,0.00034773962252018586,qpe.qasm,SabreLayout,4,3,1,1,1
19,24,0.013100862503051758,0.4330127018922193,0.0,0.0003972346173710732,qft_n4.qasm,SabreLayout,4,3,1,1,1
12,16,0.01189422607421875,3.0,3.0,0.0006766978506283671,variational_n4.qasm,SabreLayout,4,3,1,1,1
67,114,0.0366060733795166,10.280442597476044,9.604686356149273,0.00035763757911055726,cat_state_n22.qasm,SabreLayout,4,3,1,1,1
73,88,0.03395509719848633,4.815340071064556,35.52815784698103,0.001781274767940392,ghz_state_n23.qasm,SabreLayout,4,3,1,1,1
26,26,0.016587018966674805,4.9749371855331,6.139014578904337,0.000953788869653567,simon_n6.qasm,SabreLayout,4,3,1,1,1
47,97,0.02639007568359375,7.1545440106270926,6.18465843842649,0.0011123446387314101,bv_n14.qasm,SabreLayout,4,3,1,1,1
63,45,0.032095909118652344,7.0710678118654755,16.887495373796554,0.0007950397108494521,cc_n12.qasm,SabreLayout,4,3,1,1,1
46,143,0.049881696701049805,14.446020213193666,33.633130987167995,0.005342671673946843,qec9xz_n17.qasm,SabreLayout,4,3,1,1,1
79,144,0.04081225395202637,11.01135777277262,14.465476141489432,0.001333599266605038,bv_n19.qasm,SabreLayout,4,3,1,1,1
82,157,0.045352935791015625,8.98262211161084,18.89940475253123,0.0012262448648914562,multiply_n13.qasm,SabreLayout,4,3,1,1,1
54,58,0.026731014251708984,12.376893794486563,15.149257407543116,0.0023199515856185318,error_correctiond3_n5.qasm,SabreLayout,4,3,1,1,1
91,121,0.04351997375488281,8.78564169540279,6.49519052838329,0.0015811036721770238,qpe_n9.qasm,SabreLayout,4,3,1,1,1
130,286,0.08315539360046387,7.365459931328117,18.614510468986285,0.005512661257567655,wstate_n27.qasm,SabreLayout,4,3,1,1,1
119,161,0.047955989837646484,11.412712210513327,13.311179511974137,0.0015691777658402822,adder_n10.qasm,SabreLayout,4,3,1,1,1
36,56,0.030953168869018555,15.833114033569013,31.275989192989563,0.003611832526016886,ft_2.qasm,SabreLayout,4,3,1,1,1
87,88,0.029841899871826172,0.0,0.0,0.000484269879085167,vqe_uccsd_n4.qasm,SabreLayout,4,3,1,1,1
126,156,0.05211687088012695,8.631338250816034,21.37171027316251,0.05344476343245429,sat_n7.qasm,SabreLayout,4,3,1,1,1
66,93,0.039227962493896484,4.743416490252569,3.897114317029974,0.0015978321027501513,qaoa_n6.qasm,SabreLayout,4,3,1,1,1
207,231,0.06680607795715332,11.895377253370318,12.99038105676658,0.0006626029013959433,grover.qasm,SabreLayout,4,3,1,1,1
128,222,0.07173919677734375,6.2048368229954285,7.46240577829965,0.0008415524302839398,seca_n11.qasm,SabreLayout,4,3,1,1,1
188,300,0.08859896659851074,17.340343133859836,24.221632892932714,0.0018382117519372884,knn_n25.qasm,SabreLayout,4,3,1,1,1
194,273,0.0872807502746582,40.49922838771129,101.5246275541063,0.0034353203322327647,swap_test_n25.qasm,SabreLayout,4,3,1,1,1
20,90,0.05857515335083008,14.439529078193651,17.03672503740082,0.005086116754946759,ising_n10.qasm,SabreLayout,4,3,1,1,1
78,118,0.051154136657714844,28.481353549296074,27.37243138634199,0.0052972888019210814,ft_1.qasm,SabreLayout,4,3,1,1,1
221,364,0.10756301879882812,9.01041064547005,17.55704986607944,0.002835408015348474,bigadder_n18.qasm,SabreLayout,4,3,1,1,1
334,658,0.1536247730255127,9.848857801796104,26.947866334832522,0.005174923674731084,qram_n20.qasm,SabreLayout,4,3,1,1,1
288,373,0.11001801490783691,25.563646062328434,47.31543088676251,0.0029543397842472546,qf21_n15.qasm,SabreLayout,4,3,1,1,1
453,768,0.20864224433898926,15.35211711784404,20.932928605429293,0.0034285563925518453,multiplier_n15.qasm,SabreLayout,4,3,1,1,1
570,780,0.2072157859802246,43.76285525419931,55.37316588384666,0.0037827240484291915,sat_n11.qasm,SabreLayout,4,3,1,1,1
294,1020,0.3649160861968994,47.96613388631608,77.44998386055352,0.05992378737657377,qft_n18.qasm,SabreLayout,4,3,1,1,1
