depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
51,189,0.05629301071166992,0.0,0.0,0.0,_10_prob.qasm,SabreLayout,1,3,1,1,1
104,402,0.05590105056762695,0.0,0.0,0.0,_20_prob.qasm,SabreLayout,1,3,1,1,1
129,553,0.08022594451904297,0.0,0.0,0.0,_30_prob.qasm,SabreLayout,1,3,1,1,1
219,779,0.10331177711486816,0.0,0.0,0.0,_40_prob.qasm,SabreLayout,1,3,1,1,1
141,687,0.1132972240447998,0.0,0.0,0.0,_50_prob.qasm,SabreLayout,1,3,1,1,1
291,1273,0.16332411766052246,0.0,0.0,0.0,_60_prob.qasm,SabreLayout,1,3,1,1,1
501,1999,0.24957919120788574,0.0,0.0,0.0,_70_prob.qasm,SabreLayout,1,3,1,1,1
396,1747,0.248687744140625,0.0,0.0,0.0,_80_prob.qasm,SabreLayout,1,3,1,1,1
526,2443,0.2759392261505127,0.0,0.0,0.0,_90_prob.qasm,SabreLayout,1,3,1,1,1
696,2677,0.29048705101013184,0.0,0.0,0.0,_100_prob.qasm,SabreLayout,1,3,1,1,1
