depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
46,207,0.032533884048461914,0.0,0.0,0.0,_10_prob.qasm,SabreLayout,1,3,1,1,1
85,447,0.0644838809967041,0.0,0.0,0.0,_20_prob.qasm,SabreLayout,1,3,1,1,1
141,715,0.09859895706176758,0.0,0.0,0.0,_30_prob.qasm,SabreLayout,1,3,1,1,1
164,815,0.12422609329223633,0.0,0.0,0.0,_40_prob.qasm,SabreLayout,1,3,1,1,1
189,894,0.13271498680114746,0.0,0.0,0.0,_50_prob.qasm,SabreLayout,1,3,1,1,1
269,1363,0.18950676918029785,0.0,0.0,0.0,_60_prob.qasm,SabreLayout,1,3,1,1,1
433,2053,0.2725088596343994,0.0,0.0,0.0,_70_prob.qasm,SabreLayout,1,3,1,1,1
385,1885,0.26194000244140625,0.0,0.0,0.0,_80_prob.qasm,SabreLayout,1,3,1,1,1
559,2815,0.35001492500305176,0.0,0.0,0.0,_90_prob.qasm,SabreLayout,1,3,1,1,1
633,2968,0.39035534858703613,0.0,0.0,0.0,_100_prob.qasm,SabreLayout,1,3,1,1,1
