depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
34,186,1.9255449771881104,0.0,0.0,0.0,_10_prob.qasm,SabreLayout,1,3,4,1,1
60,357,7.746835947036743,0.0,0.0,0.0,_20_prob.qasm,SabreLayout,1,3,4,1,1
116,631,24.434449195861816,0.0,0.0,0.0,_30_prob.qasm,SabreLayout,1,3,4,1,1
157,809,54.90160083770752,0.0,0.0,0.0,_40_prob.qasm,SabreLayout,1,3,4,1,1
145,690,37.52157402038574,0.0,0.0,0.0,_50_prob.qasm,SabreLayout,1,3,4,1,1
234,1285,161.01771306991577,0.0,0.0,0.0,_60_prob.qasm,SabreLayout,1,3,4,1,1
349,1777,288.3149390220642,0.0,0.0,0.0,_70_prob.qasm,SabreLayout,1,3,4,1,1
295,1732,263.84884786605835,0.0,0.0,0.0,_80_prob.qasm,SabreLayout,1,3,4,1,1
449,2497,496.4269938468933,0.0,0.0,0.0,_90_prob.qasm,SabreLayout,1,3,4,1,1
492,2602,524.4885768890381,0.0,0.0,0.0,_100_prob.qasm,SabreLayout,1,3,4,1,1
