depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
18,105,0.0017910003662109375,0.0,0.0,0.0,_10.qasm,TrivialLayout,1,1,1,1,1
32,216,0.0026590824127197266,0.0,0.0,0.0,_20.qasm,TrivialLayout,1,1,1,1,1
54,313,0.003515958786010742,0.0,0.0,0.0,_30.qasm,TrivialLayout,1,1,1,1,1
74,428,0.004796028137207031,0.0,0.0,0.0,_40.qasm,TrivialLayout,1,1,1,1,1
96,534,0.0059511661529541016,0.0,0.0,0.0,_50.qasm,TrivialLayout,1,1,1,1,1
106,652,0.006854057312011719,0.0,0.0,0.0,_60.qasm,TrivialLayout,1,1,1,1,1
115,745,0.007864713668823242,0.0,0.0,0.0,_70.qasm,TrivialLayout,1,1,1,1,1
146,868,0.008856058120727539,0.0,0.0,0.0,_80.qasm,TrivialLayout,1,1,1,1,1
144,988,0.010331869125366211,0.0,0.0,0.0,_90.qasm,TrivialLayout,1,1,1,1,1
170,1123,0.01278996467590332,0.0,0.0,0.0,_100.qasm,TrivialLayout,1,1,1,1,1
