depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
59,312,0.06637382507324219,0.0,0.0,0.0,_10_prob.qasm,SabreLayout,1,3,1,1,1
37,250,0.044476985931396484,0.0,0.0,0.0,_20_prob.qasm,SabreLayout,1,3,1,1,1
83,426,0.07515597343444824,0.0,0.0,0.0,_30_prob.qasm,SabreLayout,1,3,1,1,1
106,628,0.08725595474243164,0.0,0.0,0.0,_40_prob.qasm,SabreLayout,1,3,1,1,1
164,815,0.13253998756408691,0.0,0.0,0.0,_50_prob.qasm,SabreLayout,1,3,1,1,1
154,834,0.12241005897521973,0.0,0.0,0.0,_60_prob.qasm,SabreLayout,1,3,1,1,1
330,2053,0.2572453022003174,0.0,0.0,0.0,_70_prob.qasm,SabreLayout,1,3,1,1,1
434,2711,0.28249692916870117,0.0,0.0,0.0,_80_prob.qasm,SabreLayout,1,3,1,1,1
481,2893,0.30488133430480957,0.0,0.0,0.0,_90_prob.qasm,SabreLayout,1,3,1,1,1
240,1437,0.3258981704711914,0.0,0.0,0.0,_100_prob.qasm,SabreLayout,1,3,1,1,1
