depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
49,282,0.05901694297790527,0.0,0.0,0.0,_10_prob.qasm,SabreLayout,1,3,1,1,1
30,226,0.05441403388977051,0.0,0.0,0.0,_20_prob.qasm,SabreLayout,1,3,1,1,1
86,459,0.08856391906738281,0.0,0.0,0.0,_30_prob.qasm,SabreLayout,1,3,1,1,1
127,718,0.10568618774414062,0.0,0.0,0.0,_40_prob.qasm,SabreLayout,1,3,1,1,1
241,1511,0.22684192657470703,0.0,0.0,0.0,_50_prob.qasm,SabreLayout,1,3,1,1,1
149,933,0.15737438201904297,0.0,0.0,0.0,_60_prob.qasm,SabreLayout,1,3,1,1,1
341,2335,0.33767199516296387,0.0,0.0,0.0,_70_prob.qasm,SabreLayout,1,3,1,1,1
351,2663,0.42268800735473633,0.0,0.0,0.0,_80_prob.qasm,SabreLayout,1,3,1,1,1
396,2938,0.46915102005004883,0.0,0.0,0.0,_90_prob.qasm,SabreLayout,1,3,1,1,1
292,1743,0.3063507080078125,0.0,0.0,0.0,_100_prob.qasm,SabreLayout,1,3,1,1,1
