depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
42,306,6.189228057861328,0.0,0.0,0.0,_10_prob.qasm,SabreLayout,1,3,7,1,1
31,232,2.22302508354187,0.0,0.0,0.0,_20_prob.qasm,SabreLayout,1,3,7,1,1
77,453,16.684628009796143,0.0,0.0,0.0,_30_prob.qasm,SabreLayout,1,3,7,1,1
77,532,16.797037839889526,0.0,0.0,0.0,_40_prob.qasm,SabreLayout,1,3,7,1,1
128,746,62.17863488197327,0.0,0.0,0.0,_50_prob.qasm,SabreLayout,1,3,7,1,1
155,918,82.06464004516602,0.0,0.0,0.0,_60_prob.qasm,SabreLayout,1,3,7,1,1
278,2104,483.19693994522095,0.0,0.0,0.0,_70_prob.qasm,SabreLayout,1,3,7,1,1
337,2582,768.5210947990417,0.0,0.0,0.0,_80_prob.qasm,SabreLayout,1,3,7,1,1
297,2020,875.2741482257843,0.0,0.0,0.0,_90_prob.qasm,SabreLayout,1,3,7,1,1
216,1485,221.56867814064026,0.0,0.0,0.0,_100_prob.qasm,SabreLayout,1,3,7,1,1
