depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
16,114,0.02531719207763672,0.0,0.0,0.0,_10.qasm,TrivialLayout,1,1,1,1,1
32,241,0.0029320716857910156,0.0,0.0,0.0,_20.qasm,TrivialLayout,1,1,1,1,1
56,354,0.0040531158447265625,0.0,0.0,0.0,_30.qasm,TrivialLayout,1,1,1,1,1
66,487,0.005602121353149414,0.0,0.0,0.0,_40.qasm,TrivialLayout,1,1,1,1,1
84,599,0.0064008235931396484,0.0,0.0,0.0,_50.qasm,TrivialLayout,1,1,1,1,1
102,744,0.007821798324584961,0.0,0.0,0.0,_60.qasm,TrivialLayout,1,1,1,1,1
109,835,0.00890803337097168,0.0,0.0,0.0,_70.qasm,TrivialLayout,1,1,1,1,1
127,977,0.010156631469726562,0.0,0.0,0.0,_80.qasm,TrivialLayout,1,1,1,1,1
140,1099,0.011467695236206055,0.0,0.0,0.0,_90.qasm,TrivialLayout,1,1,1,1,1
163,1275,0.013490915298461914,0.0,0.0,0.0,_100.qasm,TrivialLayout,1,1,1,1,1
