depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
43,210,0.04373002052307129,0.0,0.0,0.0,_10_prob.qasm,SabreLayout,1,3,1,1,1
81,437,0.08802914619445801,0.0,0.0,0.0,_20_prob.qasm,SabreLayout,1,3,1,1,1
145,818,0.15349411964416504,0.0,0.0,0.0,_30_prob.qasm,SabreLayout,1,3,1,1,1
297,1406,0.23794198036193848,0.0,0.0,0.0,_40_prob.qasm,SabreLayout,1,3,1,1,1
296,1602,0.36417603492736816,0.0,0.0,0.0,_50_prob.qasm,SabreLayout,1,3,1,1,1
345,1904,0.35274696350097656,0.0,0.0,0.0,_60_prob.qasm,SabreLayout,1,3,1,1,1
404,2160,0.4065389633178711,0.0,0.0,0.0,_70_prob.qasm,SabreLayout,1,3,1,1,1
454,2436,0.5069088935852051,0.0,0.0,0.0,_80_prob.qasm,SabreLayout,1,3,1,1,1
616,3337,0.6088211536407471,0.0,0.0,0.0,_90_prob.qasm,SabreLayout,1,3,1,1,1
711,3744,0.7254457473754883,0.0,0.0,0.0,_100_prob.qasm,SabreLayout,1,3,1,1,1
