depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
37,198,0.09822201728820801,0.0,0.0,0.0,_10_prob.qasm,SabreLayout,1,3,1,1,1
86,431,0.09266901016235352,0.0,0.0,0.0,_20_prob.qasm,SabreLayout,1,3,1,1,1
154,839,0.16049909591674805,0.0,0.0,0.0,_30_prob.qasm,SabreLayout,1,3,1,1,1
251,1349,0.24499011039733887,0.0,0.0,0.0,_40_prob.qasm,SabreLayout,1,3,1,1,1
333,1797,0.32297182083129883,0.0,0.0,0.0,_50_prob.qasm,SabreLayout,1,3,1,1,1
429,2147,0.374006986618042,0.0,0.0,0.0,_60_prob.qasm,SabreLayout,1,3,1,1,1
515,2565,0.512061357498169,0.0,0.0,0.0,_70_prob.qasm,SabreLayout,1,3,1,1,1
505,2601,0.5273001194000244,0.0,0.0,0.0,_80_prob.qasm,SabreLayout,1,3,1,1,1
573,3034,0.6857399940490723,0.0,0.0,0.0,_90_prob.qasm,SabreLayout,1,3,1,1,1
647,3345,0.7430219650268555,0.0,0.0,0.0,_100_prob.qasm,SabreLayout,1,3,1,1,1
