depth,cx,time,depth_std,cx_std,time_std,circuit,layout_pass,num_times,max_iter,beam,look,crit
21,114,0.001851797103881836,0.0,0.0,0.0,_10.qasm,TrivialLayout,1,1,1,1,1
36,233,0.0033311843872070312,0.0,0.0,0.0,_20.qasm,TrivialLayout,1,1,1,1,1
58,347,0.004250764846801758,0.0,0.0,0.0,_30.qasm,TrivialLayout,1,1,1,1,1
73,467,0.0056040287017822266,0.0,0.0,0.0,_40.qasm,TrivialLayout,1,1,1,1,1
97,591,0.007193803787231445,0.0,0.0,0.0,_50.qasm,TrivialLayout,1,1,1,1,1
108,719,0.007980108261108398,0.0,0.0,0.0,_60.qasm,TrivialLayout,1,1,1,1,1
135,816,0.00929403305053711,0.0,0.0,0.0,_70.qasm,TrivialLayout,1,1,1,1,1
155,954,0.010120391845703125,0.0,0.0,0.0,_80.qasm,TrivialLayout,1,1,1,1,1
177,1072,0.011208057403564453,0.0,0.0,0.0,_90.qasm,TrivialLayout,1,1,1,1,1
199,1233,0.01335287094116211,0.0,0.0,0.0,_100.qasm,TrivialLayout,1,1,1,1,1
