best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.00609588623046875, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.001122, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_v0.20,sabre_0.20,hex_27,2
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.009208917617797852, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.003061, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_v0.20,sabre_0.20,hex_27,3
"{'depth': 6, 'depth_ratio': 1.5, 'time': 0.005181312561035156, 'cx_gates': 6, 'num_gates': 7}","{'depth': 0.4899, 'depth_ratio': 0.1225, 'time': 0.0005458, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_v0.20,sabre_0.20,hex_27,4
"{'depth': 8, 'depth_ratio': 1.6, 'time': 0.005839109420776367, 'cx_gates': 7, 'num_gates': 8}","{'depth': 2.482, 'depth_ratio': 0.4964, 'time': 0.0002872, 'cx_gates': 2.245, 'num_gates': 2.245}",sabre_extended_v0.20,sabre_0.20,hex_27,5
"{'depth': 11, 'depth_ratio': 1.83, 'time': 0.005779266357421875, 'cx_gates': 11, 'num_gates': 12}","{'depth': 2.638, 'depth_ratio': 0.4406, 'time': 0.0002922, 'cx_gates': 2.4, 'num_gates': 2.4}",sabre_extended_v0.20,sabre_0.20,hex_27,6
"{'depth': 16, 'depth_ratio': 2.29, 'time': 0.006730079650878906, 'cx_gates': 15, 'num_gates': 16}","{'depth': 1.2, 'depth_ratio': 0.168, 'time': 0.0004153, 'cx_gates': 1.897, 'num_gates': 1.897}",sabre_extended_v0.20,sabre_0.20,hex_27,7
"{'depth': 19, 'depth_ratio': 2.38, 'time': 0.0074920654296875, 'cx_gates': 19, 'num_gates': 20}","{'depth': 5.748, 'depth_ratio': 0.7191, 'time': 0.0003782, 'cx_gates': 5.499, 'num_gates': 5.499}",sabre_extended_v0.20,sabre_0.20,hex_27,8
"{'depth': 23, 'depth_ratio': 2.56, 'time': 0.008536100387573242, 'cx_gates': 26, 'num_gates': 27}","{'depth': 2.728, 'depth_ratio': 0.3, 'time': 0.000514, 'cx_gates': 3.059, 'num_gates': 3.059}",sabre_extended_v0.20,sabre_0.20,hex_27,9
"{'depth': 25, 'depth_ratio': 2.5, 'time': 0.009739875793457031, 'cx_gates': 33, 'num_gates': 34}","{'depth': 2.683, 'depth_ratio': 0.2683, 'time': 0.01169, 'cx_gates': 2.683, 'num_gates': 2.683}",sabre_extended_v0.20,sabre_0.20,hex_27,10
"{'depth': 28, 'depth_ratio': 2.55, 'time': 0.010641098022460938, 'cx_gates': 40, 'num_gates': 41}","{'depth': 2.653, 'depth_ratio': 0.2388, 'time': 0.0006166, 'cx_gates': 6.946, 'num_gates': 6.946}",sabre_extended_v0.20,sabre_0.20,hex_27,11
"{'depth': 31, 'depth_ratio': 2.58, 'time': 0.011330842971801758, 'cx_gates': 47, 'num_gates': 48}","{'depth': 5.851, 'depth_ratio': 0.489, 'time': 0.0006021, 'cx_gates': 7.25, 'num_gates': 7.25}",sabre_extended_v0.20,sabre_0.20,hex_27,12
