best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.005803823471069336, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.001393, 'cx_gates': 0, 'num_gates': 0}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.006025075912475586, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0005013, 'cx_gates': 0, 'num_gates': 0}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,1
"{'depth': 4, 'depth_ratio': 1.0, 'time': 0.006412982940673828, 'cx_gates': 3, 'num_gates': 4}","{'depth': 1.166, 'depth_ratio': 0.2915, 'time': 0.00104, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,2
"{'depth': 7, 'depth_ratio': 1.4, 'time': 0.010040044784545898, 'cx_gates': 7, 'num_gates': 8}","{'depth': 1.2, 'depth_ratio': 0.24, 'time': 0.000996, 'cx_gates': 1.897, 'num_gates': 1.897}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,3
"{'depth': 8, 'depth_ratio': 1.33, 'time': 0.01371002197265625, 'cx_gates': 11, 'num_gates': 12}","{'depth': 2.683, 'depth_ratio': 0.4472, 'time': 0.002536, 'cx_gates': 2.683, 'num_gates': 2.683}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,4
"{'depth': 12, 'depth_ratio': 1.71, 'time': 0.026463985443115234, 'cx_gates': 21, 'num_gates': 22}","{'depth': 2.577, 'depth_ratio': 0.3681, 'time': 0.01664, 'cx_gates': 2.939, 'num_gates': 2.939}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,5
"{'depth': 17, 'depth_ratio': 2.12, 'time': 0.04201865196228027, 'cx_gates': 28, 'num_gates': 29}","{'depth': 1.939, 'depth_ratio': 0.243, 'time': 0.009328, 'cx_gates': 4.874, 'num_gates': 4.874}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,6
"{'depth': 16, 'depth_ratio': 1.78, 'time': 0.0577239990234375, 'cx_gates': 26, 'num_gates': 27}","{'depth': 2.449, 'depth_ratio': 0.2719, 'time': 0.01149, 'cx_gates': 5.367, 'num_gates': 5.367}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,7
"{'depth': 20, 'depth_ratio': 2.0, 'time': 0.1006321907043457, 'cx_gates': 39, 'num_gates': 40}","{'depth': 2.757, 'depth_ratio': 0.2757, 'time': 0.0135, 'cx_gates': 4.874, 'num_gates': 4.874}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,8
"{'depth': 22, 'depth_ratio': 2.0, 'time': 0.15879392623901367, 'cx_gates': 49, 'num_gates': 50}","{'depth': 2.332, 'depth_ratio': 0.213, 'time': 0.01825, 'cx_gates': 8.485, 'num_gates': 8.485}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,9
"{'depth': 22, 'depth_ratio': 1.83, 'time': 0.26372790336608887, 'cx_gates': 62, 'num_gates': 63}","{'depth': 3.2, 'depth_ratio': 0.2666, 'time': 0.01803, 'cx_gates': 5.692, 'num_gates': 5.692}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,10
"{'depth': 31, 'depth_ratio': 2.38, 'time': 0.23774409294128418, 'cx_gates': 57, 'num_gates': 58}","{'depth': 2.683, 'depth_ratio': 0.2072, 'time': 0.04772, 'cx_gates': 10.83, 'num_gates': 10.83}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,11
"{'depth': 30, 'depth_ratio': 2.14, 'time': 0.43248414993286133, 'cx_gates': 73, 'num_gates': 74}","{'depth': 3.37, 'depth_ratio': 0.2419, 'time': 0.008014, 'cx_gates': 8.777, 'num_gates': 8.777}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,12
"{'depth': 34, 'depth_ratio': 2.27, 'time': 0.6032021045684814, 'cx_gates': 98, 'num_gates': 99}","{'depth': 2.561, 'depth_ratio': 0.1695, 'time': 0.03049, 'cx_gates': 6.997, 'num_gates': 6.997}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,13
"{'depth': 35, 'depth_ratio': 2.19, 'time': 0.8060357570648193, 'cx_gates': 93, 'num_gates': 94}","{'depth': 3.578, 'depth_ratio': 0.2219, 'time': 0.06185, 'cx_gates': 10.5, 'num_gates': 10.5}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,14
"{'depth': 42, 'depth_ratio': 2.47, 'time': 0.9729368686676025, 'cx_gates': 112, 'num_gates': 113}","{'depth': 1.855, 'depth_ratio': 0.1087, 'time': 0.03862, 'cx_gates': 3.98, 'num_gates': 3.98}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,15
"{'depth': 37, 'depth_ratio': 2.06, 'time': 1.1975488662719727, 'cx_gates': 119, 'num_gates': 120}","{'depth': 4.409, 'depth_ratio': 0.2437, 'time': 0.06896, 'cx_gates': 6.735, 'num_gates': 6.735}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,16
"{'depth': 46, 'depth_ratio': 2.42, 'time': 1.5832171440124512, 'cx_gates': 135, 'num_gates': 136}","{'depth': 2.154, 'depth_ratio': 0.1125, 'time': 0.1004, 'cx_gates': 8.818, 'num_gates': 8.818}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,17
"{'depth': 49, 'depth_ratio': 2.45, 'time': 1.8199999332427979, 'cx_gates': 139, 'num_gates': 140}","{'depth': 3.868, 'depth_ratio': 0.1934, 'time': 0.09904, 'cx_gates': 11.13, 'num_gates': 11.13}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,18
"{'depth': 57, 'depth_ratio': 2.71, 'time': 2.419480085372925, 'cx_gates': 164, 'num_gates': 165}","{'depth': 2.857, 'depth_ratio': 0.1384, 'time': 0.06862, 'cx_gates': 10.29, 'num_gates': 10.29}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,19
"{'depth': 61, 'depth_ratio': 2.77, 'time': 3.0882508754730225, 'cx_gates': 180, 'num_gates': 181}","{'depth': 0.7483, 'depth_ratio': 0.03323, 'time': 0.1324, 'cx_gates': 12.95, 'num_gates': 12.95}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,20
"{'depth': 52, 'depth_ratio': 2.26, 'time': 3.361187219619751, 'cx_gates': 169, 'num_gates': 170}","{'depth': 6.782, 'depth_ratio': 0.2958, 'time': 0.1249, 'cx_gates': 20.22, 'num_gates': 20.22}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,21
"{'depth': 65, 'depth_ratio': 2.71, 'time': 4.043075799942017, 'cx_gates': 200, 'num_gates': 201}","{'depth': 1.96, 'depth_ratio': 0.08232, 'time': 0.1916, 'cx_gates': 13.06, 'num_gates': 13.06}",sabre_look_0_fdlg_v0.20,sabre_0.20,heavy_hex_27,22
