best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.5635373592376709, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.04052, 'cx_gates': 0, 'num_gates': 0}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.007021903991699219, 'cx_gates': 2, 'num_gates': 3}","{'depth': 1.96, 'depth_ratio': 0.6528, 'time': 1.649, 'cx_gates': 4.409, 'num_gates': 4.409}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,1
"{'depth': 6, 'depth_ratio': 1.5, 'time': 3.106966972351074, 'cx_gates': 6, 'num_gates': 7}","{'depth': 8.579, 'depth_ratio': 2.145, 'time': 0.4528, 'cx_gates': 16.37, 'num_gates': 16.37}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,2
"{'depth': 17, 'depth_ratio': 3.4, 'time': 3.7912368774414062, 'cx_gates': 22, 'num_gates': 23}","{'depth': 3.007, 'depth_ratio': 0.6013, 'time': 0.4397, 'cx_gates': 5.161, 'num_gates': 5.161}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,3
"{'depth': 14, 'depth_ratio': 2.33, 'time': 3.261078119277954, 'cx_gates': 14, 'num_gates': 15}","{'depth': 12.78, 'depth_ratio': 2.132, 'time': 0.4628, 'cx_gates': 22.56, 'num_gates': 22.56}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,4
"{'depth': 25, 'depth_ratio': 3.57, 'time': 3.1955811977386475, 'cx_gates': 27, 'num_gates': 28}","{'depth': 10.63, 'depth_ratio': 1.518, 'time': 0.522, 'cx_gates': 17.33, 'num_gates': 17.33}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,5
"{'depth': 29, 'depth_ratio': 3.62, 'time': 4.3358142375946045, 'cx_gates': 31, 'num_gates': 32}","{'depth': 12.81, 'depth_ratio': 1.601, 'time': 0.5504, 'cx_gates': 16.97, 'num_gates': 16.97}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,6
"{'depth': 36, 'depth_ratio': 4.0, 'time': 0.7847297191619873, 'cx_gates': 38, 'num_gates': 39}","{'depth': 9.372, 'depth_ratio': 1.043, 'time': 1.474, 'cx_gates': 16.61, 'num_gates': 16.61}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,7
"{'depth': 48, 'depth_ratio': 4.8, 'time': 2.7808170318603516, 'cx_gates': 72, 'num_gates': 73}","{'depth': 12.71, 'depth_ratio': 1.271, 'time': 0.8011, 'cx_gates': 20.4, 'num_gates': 20.4}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,8
"{'depth': 53, 'depth_ratio': 4.82, 'time': 3.9559879302978516, 'cx_gates': 70, 'num_gates': 71}","{'depth': 7.833, 'depth_ratio': 0.7118, 'time': 0.4033, 'cx_gates': 11.6, 'num_gates': 11.6}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,9
"{'depth': 54, 'depth_ratio': 4.5, 'time': 4.977839946746826, 'cx_gates': 65, 'num_gates': 66}","{'depth': 8.139, 'depth_ratio': 0.6769, 'time': 0.5197, 'cx_gates': 25.36, 'num_gates': 25.36}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,10
"{'depth': 55, 'depth_ratio': 4.23, 'time': 4.932998895645142, 'cx_gates': 90, 'num_gates': 91}","{'depth': 10.32, 'depth_ratio': 0.7956, 'time': 0.628, 'cx_gates': 19.12, 'num_gates': 19.12}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,11
"{'depth': 77, 'depth_ratio': 5.5, 'time': 5.149231910705566, 'cx_gates': 130, 'num_gates': 131}","{'depth': 7.756, 'depth_ratio': 0.5545, 'time': 0.09019, 'cx_gates': 14.45, 'num_gates': 14.45}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,12
"{'depth': 81, 'depth_ratio': 5.4, 'time': 4.394873142242432, 'cx_gates': 110, 'num_gates': 111}","{'depth': 6.369, 'depth_ratio': 0.4253, 'time': 0.4716, 'cx_gates': 13.34, 'num_gates': 13.34}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,13
"{'depth': 97, 'depth_ratio': 6.06, 'time': 5.586326837539673, 'cx_gates': 132, 'num_gates': 133}","{'depth': 6.512, 'depth_ratio': 0.4085, 'time': 0.08503, 'cx_gates': 13.01, 'num_gates': 13.01}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,14
"{'depth': 89, 'depth_ratio': 5.24, 'time': 4.2050461769104, 'cx_gates': 118, 'num_gates': 119}","{'depth': 10.67, 'depth_ratio': 0.6276, 'time': 0.8479, 'cx_gates': 24.34, 'num_gates': 24.34}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,15
"{'depth': 99, 'depth_ratio': 5.5, 'time': 4.203909158706665, 'cx_gates': 146, 'num_gates': 147}","{'depth': 15.55, 'depth_ratio': 0.8649, 'time': 0.7136, 'cx_gates': 33.43, 'num_gates': 33.43}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,16
"{'depth': 97, 'depth_ratio': 5.11, 'time': 4.189985036849976, 'cx_gates': 147, 'num_gates': 148}","{'depth': 19.26, 'depth_ratio': 1.012, 'time': 0.7232, 'cx_gates': 22.66, 'num_gates': 22.66}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,17
"{'depth': 129, 'depth_ratio': 6.45, 'time': 6.08376407623291, 'cx_gates': 178, 'num_gates': 179}","{'depth': 7.44, 'depth_ratio': 0.372, 'time': 0.3002, 'cx_gates': 14.12, 'num_gates': 14.12}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,18
"{'depth': 117, 'depth_ratio': 5.57, 'time': 6.281881809234619, 'cx_gates': 170, 'num_gates': 171}","{'depth': 7.96, 'depth_ratio': 0.3789, 'time': 0.3482, 'cx_gates': 22.01, 'num_gates': 22.01}",sabre_look_2_v0.20,sabre_0.20,heavy_hex_27,19
