best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 292, 'depth_ratio': 2.92, 'time': 0.3317558765411377, 'cx_gates': 1977, 'num_gates': 1978}","{'depth': 10.67, 'depth_ratio': 0.1067, 'time': 0.02459, 'cx_gates': 251.4, 'num_gates': 251.4}",sabre_v020_dive_001,sabre_v020,hex_127,0,1,0
"{'depth': 287, 'depth_ratio': 2.87, 'time': 0.5150620937347412, 'cx_gates': 1800, 'num_gates': 1801}","{'depth': 10.46, 'depth_ratio': 0.1046, 'time': 0.04556, 'cx_gates': 183.1, 'num_gates': 183.1}",sabre_v020_dive_002,sabre_v020,hex_127,0,2,0
"{'depth': 299, 'depth_ratio': 2.99, 'time': 0.7249529361724854, 'cx_gates': 1533, 'num_gates': 1534}","{'depth': 4.561, 'depth_ratio': 0.04561, 'time': 0.05132, 'cx_gates': 186.3, 'num_gates': 186.3}",sabre_v020_dive_003,sabre_v020,hex_127,0,3,0
"{'depth': 291, 'depth_ratio': 2.91, 'time': 1.1852619647979736, 'cx_gates': 1536, 'num_gates': 1537}","{'depth': 8.4, 'depth_ratio': 0.084, 'time': 0.08914, 'cx_gates': 146.9, 'num_gates': 146.9}",sabre_v020_dive_004,sabre_v020,hex_127,0,4,0
"{'depth': 297, 'depth_ratio': 2.97, 'time': 1.183941125869751, 'cx_gates': 1752, 'num_gates': 1753}","{'depth': 8.868, 'depth_ratio': 0.08868, 'time': 0.08154, 'cx_gates': 144.6, 'num_gates': 144.6}",sabre_v020_dive_005,sabre_v020,hex_127,0,5,0
"{'depth': 295, 'depth_ratio': 2.95, 'time': 1.5210628509521484, 'cx_gates': 1653, 'num_gates': 1654}","{'depth': 9.239, 'depth_ratio': 0.09239, 'time': 0.05434, 'cx_gates': 79.39, 'num_gates': 79.39}",sabre_v020_dive_006,sabre_v020,hex_127,0,6,0
"{'depth': 296, 'depth_ratio': 2.96, 'time': 1.7664780616760254, 'cx_gates': 1728, 'num_gates': 1729}","{'depth': 9.13, 'depth_ratio': 0.0913, 'time': 0.1083, 'cx_gates': 75.4, 'num_gates': 75.4}",sabre_v020_dive_007,sabre_v020,hex_127,0,7,0
"{'depth': 296, 'depth_ratio': 2.96, 'time': 1.9493119716644287, 'cx_gates': 1728, 'num_gates': 1729}","{'depth': 9.13, 'depth_ratio': 0.0913, 'time': 0.07539, 'cx_gates': 75.4, 'num_gates': 75.4}",sabre_v020_dive_008,sabre_v020,hex_127,0,8,0
"{'depth': 296, 'depth_ratio': 2.96, 'time': 2.2264068126678467, 'cx_gates': 1728, 'num_gates': 1729}","{'depth': 7.172, 'depth_ratio': 0.07172, 'time': 0.08239, 'cx_gates': 115.8, 'num_gates': 115.8}",sabre_v020_dive_009,sabre_v020,hex_127,0,9,0
"{'depth': 296, 'depth_ratio': 2.96, 'time': 2.4059720039367676, 'cx_gates': 1728, 'num_gates': 1729}","{'depth': 7.172, 'depth_ratio': 0.07172, 'time': 0.05737, 'cx_gates': 115.8, 'num_gates': 115.8}",sabre_v020_dive_010,sabre_v020,hex_127,0,10,0
"{'depth': 293, 'depth_ratio': 2.93, 'time': 2.495610237121582, 'cx_gates': 1533, 'num_gates': 1534}","{'depth': 6.946, 'depth_ratio': 0.06946, 'time': 0.06261, 'cx_gates': 85.37, 'num_gates': 85.37}",sabre_v020_dive_011,sabre_v020,hex_127,0,11,0
"{'depth': 293, 'depth_ratio': 2.93, 'time': 2.732487916946411, 'cx_gates': 1533, 'num_gates': 1534}","{'depth': 8.518, 'depth_ratio': 0.08518, 'time': 0.07289, 'cx_gates': 117.4, 'num_gates': 117.4}",sabre_v020_dive_012,sabre_v020,hex_127,0,12,0
"{'depth': 293, 'depth_ratio': 2.93, 'time': 2.928544044494629, 'cx_gates': 1533, 'num_gates': 1534}","{'depth': 8.518, 'depth_ratio': 0.08518, 'time': 0.08129, 'cx_gates': 117.4, 'num_gates': 117.4}",sabre_v020_dive_013,sabre_v020,hex_127,0,13,0
"{'depth': 293, 'depth_ratio': 2.93, 'time': 3.210923910140991, 'cx_gates': 1533, 'num_gates': 1534}","{'depth': 6.946, 'depth_ratio': 0.06946, 'time': 0.07997, 'cx_gates': 85.37, 'num_gates': 85.37}",sabre_v020_dive_014,sabre_v020,hex_127,0,14,0
"{'depth': 293, 'depth_ratio': 2.93, 'time': 3.3461320400238037, 'cx_gates': 1533, 'num_gates': 1534}","{'depth': 6.946, 'depth_ratio': 0.06946, 'time': 0.1203, 'cx_gates': 85.37, 'num_gates': 85.37}",sabre_v020_dive_015,sabre_v020,hex_127,0,15,0
"{'depth': 293, 'depth_ratio': 2.93, 'time': 3.560591220855713, 'cx_gates': 1533, 'num_gates': 1534}","{'depth': 6.946, 'depth_ratio': 0.06946, 'time': 0.1125, 'cx_gates': 85.37, 'num_gates': 85.37}",sabre_v020_dive_016,sabre_v020,hex_127,0,16,0
"{'depth': 293, 'depth_ratio': 2.93, 'time': 3.868389129638672, 'cx_gates': 1533, 'num_gates': 1534}","{'depth': 6.946, 'depth_ratio': 0.06946, 'time': 0.08718, 'cx_gates': 85.37, 'num_gates': 85.37}",sabre_v020_dive_017,sabre_v020,hex_127,0,17,0
"{'depth': 293, 'depth_ratio': 2.93, 'time': 4.0244460105896, 'cx_gates': 1533, 'num_gates': 1534}","{'depth': 6.946, 'depth_ratio': 0.06946, 'time': 0.1577, 'cx_gates': 85.37, 'num_gates': 85.37}",sabre_v020_dive_018,sabre_v020,hex_127,0,18,0
