best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 340, 'depth_ratio': 3.4, 'time': 0.635181188583374, 'cx_gates': 1716, 'num_gates': 1717}","{'depth': 8.0, 'depth_ratio': 0.08, 'time': 0.09819, 'cx_gates': 328.5, 'num_gates': 328.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_127,0,1,10
"{'depth': 346, 'depth_ratio': 3.46, 'time': 1.4009697437286377, 'cx_gates': 1926, 'num_gates': 1927}","{'depth': 5.0, 'depth_ratio': 0.05, 'time': 0.05882, 'cx_gates': 240.0, 'num_gates': 240.0}",sabre_v020_look_010_beam_002,sabre_v020,hex_127,0,2,10
"{'depth': 346, 'depth_ratio': 3.46, 'time': 1.760885238647461, 'cx_gates': 1926, 'num_gates': 1927}","{'depth': 5.0, 'depth_ratio': 0.05, 'time': 0.219, 'cx_gates': 240.0, 'num_gates': 240.0}",sabre_v020_look_010_beam_003,sabre_v020,hex_127,0,3,10
"{'depth': 346, 'depth_ratio': 3.46, 'time': 2.443575143814087, 'cx_gates': 1917, 'num_gates': 1918}","{'depth': 5.0, 'depth_ratio': 0.05, 'time': 0.2918, 'cx_gates': 244.5, 'num_gates': 244.5}",sabre_v020_look_010_beam_004,sabre_v020,hex_127,0,4,10
"{'depth': 346, 'depth_ratio': 3.46, 'time': 3.035858631134033, 'cx_gates': 1917, 'num_gates': 1918}","{'depth': 5.0, 'depth_ratio': 0.05, 'time': 0.3786, 'cx_gates': 244.5, 'num_gates': 244.5}",sabre_v020_look_010_beam_005,sabre_v020,hex_127,0,5,10
"{'depth': 346, 'depth_ratio': 3.46, 'time': 3.6683335304260254, 'cx_gates': 1917, 'num_gates': 1918}","{'depth': 5.0, 'depth_ratio': 0.05, 'time': 0.484, 'cx_gates': 244.5, 'num_gates': 244.5}",sabre_v020_look_010_beam_006,sabre_v020,hex_127,0,6,10
"{'depth': 346, 'depth_ratio': 3.46, 'time': 4.618381977081299, 'cx_gates': 1917, 'num_gates': 1918}","{'depth': 5.0, 'depth_ratio': 0.05, 'time': 0.5142, 'cx_gates': 244.5, 'num_gates': 244.5}",sabre_v020_look_010_beam_007,sabre_v020,hex_127,0,7,10
"{'depth': 341, 'depth_ratio': 3.41, 'time': 6.769525051116943, 'cx_gates': 2451, 'num_gates': 2452}","{'depth': 2.5, 'depth_ratio': 0.025, 'time': 0.8031, 'cx_gates': 282.0, 'num_gates': 282.0}",sabre_v020_look_010_beam_008,sabre_v020,hex_127,0,8,10
"{'depth': 356, 'depth_ratio': 3.56, 'time': 7.200731039047241, 'cx_gates': 2502, 'num_gates': 2503}","{'depth': 4.0, 'depth_ratio': 0.04, 'time': 0.6142, 'cx_gates': 321.0, 'num_gates': 321.0}",sabre_v020_look_010_beam_009,sabre_v020,hex_127,0,9,10
"{'depth': 356, 'depth_ratio': 3.56, 'time': 8.244129180908203, 'cx_gates': 2502, 'num_gates': 2503}","{'depth': 1.0, 'depth_ratio': 0.01, 'time': 1.307, 'cx_gates': 418.5, 'num_gates': 418.5}",sabre_v020_look_010_beam_010,sabre_v020,hex_127,0,10,10
