best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.029336929321289062, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.002549, 'cx_gates': 0, 'num_gates': 0}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.029411792755126953, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.003, 'cx_gates': 0, 'num_gates': 0}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,1
"{'depth': 6, 'depth_ratio': 1.5, 'time': 0.03562021255493164, 'cx_gates': 6, 'num_gates': 7}","{'depth': 0.4899, 'depth_ratio': 0.1225, 'time': 0.01364, 'cx_gates': 0, 'num_gates': 0}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,2
"{'depth': 7, 'depth_ratio': 1.4, 'time': 0.03607988357543945, 'cx_gates': 10, 'num_gates': 11}","{'depth': 1.47, 'depth_ratio': 0.2939, 'time': 0.004091, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,3
"{'depth': 8, 'depth_ratio': 1.33, 'time': 0.04031682014465332, 'cx_gates': 11, 'num_gates': 12}","{'depth': 1.96, 'depth_ratio': 0.3282, 'time': 0.004508, 'cx_gates': 3.6, 'num_gates': 3.6}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,4
"{'depth': 14, 'depth_ratio': 2.0, 'time': 0.07073283195495605, 'cx_gates': 27, 'num_gates': 28}","{'depth': 2.059, 'depth_ratio': 0.2924, 'time': 0.008906, 'cx_gates': 3.6, 'num_gates': 3.6}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,5
"{'depth': 15, 'depth_ratio': 1.88, 'time': 0.05728292465209961, 'cx_gates': 25, 'num_gates': 26}","{'depth': 1.6, 'depth_ratio': 0.201, 'time': 0.01581, 'cx_gates': 5.817, 'num_gates': 5.817}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,6
"{'depth': 18, 'depth_ratio': 2.0, 'time': 0.0690150260925293, 'cx_gates': 29, 'num_gates': 30}","{'depth': 2.577, 'depth_ratio': 0.2875, 'time': 0.002946, 'cx_gates': 4.874, 'num_gates': 4.874}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,7
"{'depth': 18, 'depth_ratio': 1.8, 'time': 0.08124995231628418, 'cx_gates': 36, 'num_gates': 37}","{'depth': 1.939, 'depth_ratio': 0.1939, 'time': 0.002823, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,8
"{'depth': 23, 'depth_ratio': 2.09, 'time': 0.0979452133178711, 'cx_gates': 58, 'num_gates': 59}","{'depth': 2.786, 'depth_ratio': 0.2542, 'time': 0.01657, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,9
"{'depth': 27, 'depth_ratio': 2.25, 'time': 0.10626769065856934, 'cx_gates': 59, 'num_gates': 60}","{'depth': 3.429, 'depth_ratio': 0.2845, 'time': 0.01633, 'cx_gates': 11.6, 'num_gates': 11.6}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,10
"{'depth': 30, 'depth_ratio': 2.31, 'time': 0.12906289100646973, 'cx_gates': 69, 'num_gates': 70}","{'depth': 2.04, 'depth_ratio': 0.1573, 'time': 0.003407, 'cx_gates': 7.684, 'num_gates': 7.684}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,11
"{'depth': 31, 'depth_ratio': 2.21, 'time': 0.15102505683898926, 'cx_gates': 88, 'num_gates': 89}","{'depth': 1.96, 'depth_ratio': 0.1409, 'time': 0.01467, 'cx_gates': 9.487, 'num_gates': 9.487}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,12
"{'depth': 38, 'depth_ratio': 2.53, 'time': 0.20000696182250977, 'cx_gates': 104, 'num_gates': 105}","{'depth': 3.487, 'depth_ratio': 0.2324, 'time': 0.01895, 'cx_gates': 7.589, 'num_gates': 7.589}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,13
"{'depth': 32, 'depth_ratio': 2.0, 'time': 0.14728093147277832, 'cx_gates': 96, 'num_gates': 97}","{'depth': 4.964, 'depth_ratio': 0.3093, 'time': 0.009808, 'cx_gates': 10.83, 'num_gates': 10.83}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,14
"{'depth': 35, 'depth_ratio': 2.06, 'time': 0.17809486389160156, 'cx_gates': 112, 'num_gates': 113}","{'depth': 4.587, 'depth_ratio': 0.2696, 'time': 0.0135, 'cx_gates': 12.92, 'num_gates': 12.92}",sabre_depth_new_3_5_v0.20,sabre_0.20,hex_127,15
