best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.0250091552734375, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.001494, 'cx_gates': 0, 'num_gates': 0}",sabre_depth_v0.20,sabre_0.20,hex_127,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.02136397361755371, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.00148, 'cx_gates': 0, 'num_gates': 0}",sabre_depth_v0.20,sabre_0.20,hex_127,1
"{'depth': 6, 'depth_ratio': 1.5, 'time': 0.02327108383178711, 'cx_gates': 6, 'num_gates': 7}","{'depth': 0.4899, 'depth_ratio': 0.1225, 'time': 0.0007635, 'cx_gates': 0, 'num_gates': 0}",sabre_depth_v0.20,sabre_0.20,hex_127,2
"{'depth': 7, 'depth_ratio': 1.4, 'time': 0.023952722549438477, 'cx_gates': 10, 'num_gates': 11}","{'depth': 0.4, 'depth_ratio': 0.08, 'time': 0.01303, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_depth_v0.20,sabre_0.20,hex_127,3
"{'depth': 9, 'depth_ratio': 1.5, 'time': 0.02875518798828125, 'cx_gates': 11, 'num_gates': 12}","{'depth': 1.6, 'depth_ratio': 0.2658, 'time': 0.001248, 'cx_gates': 2.683, 'num_gates': 2.683}",sabre_depth_v0.20,sabre_0.20,hex_127,4
"{'depth': 13, 'depth_ratio': 1.86, 'time': 0.02633976936340332, 'cx_gates': 21, 'num_gates': 22}","{'depth': 1.02, 'depth_ratio': 0.1455, 'time': 0.00323, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_depth_v0.20,sabre_0.20,hex_127,5
"{'depth': 17, 'depth_ratio': 2.12, 'time': 0.03276538848876953, 'cx_gates': 28, 'num_gates': 29}","{'depth': 1.6, 'depth_ratio': 0.201, 'time': 0.001246, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_depth_v0.20,sabre_0.20,hex_127,6
"{'depth': 18, 'depth_ratio': 2.0, 'time': 0.03685116767883301, 'cx_gates': 35, 'num_gates': 36}","{'depth': 3.323, 'depth_ratio': 0.3695, 'time': 0.00156, 'cx_gates': 5.02, 'num_gates': 5.02}",sabre_depth_v0.20,sabre_0.20,hex_127,7
"{'depth': 22, 'depth_ratio': 2.2, 'time': 0.04314899444580078, 'cx_gates': 42, 'num_gates': 43}","{'depth': 1.855, 'depth_ratio': 0.1855, 'time': 0.01579, 'cx_gates': 5.367, 'num_gates': 5.367}",sabre_depth_v0.20,sabre_0.20,hex_127,8
"{'depth': 22, 'depth_ratio': 2.0, 'time': 0.0518951416015625, 'cx_gates': 52, 'num_gates': 53}","{'depth': 3.544, 'depth_ratio': 0.3238, 'time': 0.005452, 'cx_gates': 6.177, 'num_gates': 6.177}",sabre_depth_v0.20,sabre_0.20,hex_127,9
