best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.022637128829956055, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0006211, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_fast_v0.20,sabre_0.20,hex_127,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.0172579288482666, 'cx_gates': 2, 'num_gates': 3}","{'depth': 2.4, 'depth_ratio': 0.8, 'time': 0.0005038, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_extended_fast_v0.20,sabre_0.20,hex_127,1
"{'depth': 4, 'depth_ratio': 1.0, 'time': 0.017562150955200195, 'cx_gates': 3, 'num_gates': 4}","{'depth': 3.059, 'depth_ratio': 0.7649, 'time': 0.0001538, 'cx_gates': 4.409, 'num_gates': 4.409}",sabre_extended_fast_v0.20,sabre_0.20,hex_127,2
"{'depth': 7, 'depth_ratio': 1.4, 'time': 0.017769813537597656, 'cx_gates': 7, 'num_gates': 8}","{'depth': 4.29, 'depth_ratio': 0.8579, 'time': 0.0002617, 'cx_gates': 4.069, 'num_gates': 4.069}",sabre_extended_fast_v0.20,sabre_0.20,hex_127,3
"{'depth': 18, 'depth_ratio': 3.0, 'time': 0.018069982528686523, 'cx_gates': 20, 'num_gates': 21}","{'depth': 2.683, 'depth_ratio': 0.4472, 'time': 0.0001026, 'cx_gates': 2.245, 'num_gates': 2.245}",sabre_extended_fast_v0.20,sabre_0.20,hex_127,4
"{'depth': 16, 'depth_ratio': 2.29, 'time': 0.01772022247314453, 'cx_gates': 15, 'num_gates': 16}","{'depth': 8.06, 'depth_ratio': 1.149, 'time': 0.0002482, 'cx_gates': 9.02, 'num_gates': 9.02}",sabre_extended_fast_v0.20,sabre_0.20,hex_127,5
"{'depth': 22, 'depth_ratio': 2.75, 'time': 0.019283771514892578, 'cx_gates': 22, 'num_gates': 23}","{'depth': 2.939, 'depth_ratio': 0.3662, 'time': 0.0003662, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_extended_fast_v0.20,sabre_0.20,hex_127,6
"{'depth': 24, 'depth_ratio': 2.67, 'time': 0.019112825393676758, 'cx_gates': 23, 'num_gates': 24}","{'depth': 4.147, 'depth_ratio': 0.4596, 'time': 0.0004905, 'cx_gates': 4.49, 'num_gates': 4.49}",sabre_extended_fast_v0.20,sabre_0.20,hex_127,7
"{'depth': 28, 'depth_ratio': 2.8, 'time': 0.01817011833190918, 'cx_gates': 27, 'num_gates': 28}","{'depth': 5.528, 'depth_ratio': 0.5528, 'time': 0.000314, 'cx_gates': 10.15, 'num_gates': 10.15}",sabre_extended_fast_v0.20,sabre_0.20,hex_127,8
"{'depth': 34, 'depth_ratio': 3.09, 'time': 0.01992201805114746, 'cx_gates': 34, 'num_gates': 35}","{'depth': 5.748, 'depth_ratio': 0.5216, 'time': 0.0134, 'cx_gates': 5.161, 'num_gates': 5.161}",sabre_extended_fast_v0.20,sabre_0.20,hex_127,9
