best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.02461528778076172, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0009903, 'cx_gates': 0, 'num_gates': 0}",sabre_v0.20,sabre_0.20,hex_127,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.019575119018554688, 'cx_gates': 2, 'num_gates': 3}","{'depth': 2.4, 'depth_ratio': 0.8, 'time': 0.000435, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_v0.20,sabre_0.20,hex_127,1
"{'depth': 4, 'depth_ratio': 1.0, 'time': 0.018655061721801758, 'cx_gates': 3, 'num_gates': 4}","{'depth': 2.939, 'depth_ratio': 0.7348, 'time': 0.0002435, 'cx_gates': 5.367, 'num_gates': 5.367}",sabre_v0.20,sabre_0.20,hex_127,2
"{'depth': 8, 'depth_ratio': 1.6, 'time': 0.018965959548950195, 'cx_gates': 7, 'num_gates': 8}","{'depth': 3.6, 'depth_ratio': 0.72, 'time': 0.0126, 'cx_gates': 5.367, 'num_gates': 5.367}",sabre_v0.20,sabre_0.20,hex_127,3
"{'depth': 18, 'depth_ratio': 3.0, 'time': 0.019381046295166016, 'cx_gates': 23, 'num_gates': 24}","{'depth': 1.2, 'depth_ratio': 0.2, 'time': 0.0002098, 'cx_gates': 6.177, 'num_gates': 6.177}",sabre_v0.20,sabre_0.20,hex_127,4
"{'depth': 19, 'depth_ratio': 2.71, 'time': 0.01948380470275879, 'cx_gates': 27, 'num_gates': 28}","{'depth': 6.651, 'depth_ratio': 0.9519, 'time': 0.0002431, 'cx_gates': 11.29, 'num_gates': 11.29}",sabre_v0.20,sabre_0.20,hex_127,5
"{'depth': 22, 'depth_ratio': 2.75, 'time': 0.01951003074645996, 'cx_gates': 31, 'num_gates': 32}","{'depth': 4.02, 'depth_ratio': 0.5033, 'time': 0.0005475, 'cx_gates': 7.25, 'num_gates': 7.25}",sabre_v0.20,sabre_0.20,hex_127,6
"{'depth': 25, 'depth_ratio': 2.78, 'time': 0.020663022994995117, 'cx_gates': 32, 'num_gates': 33}","{'depth': 3.795, 'depth_ratio': 0.4216, 'time': 0.000361, 'cx_gates': 4.874, 'num_gates': 4.874}",sabre_v0.20,sabre_0.20,hex_127,7
"{'depth': 33, 'depth_ratio': 3.3, 'time': 0.019309043884277344, 'cx_gates': 45, 'num_gates': 46}","{'depth': 4.534, 'depth_ratio': 0.4534, 'time': 0.0002973, 'cx_gates': 11.94, 'num_gates': 11.94}",sabre_v0.20,sabre_0.20,hex_127,8
"{'depth': 38, 'depth_ratio': 3.45, 'time': 0.05157017707824707, 'cx_gates': 52, 'num_gates': 53}","{'depth': 3.162, 'depth_ratio': 0.2878, 'time': 0.01235, 'cx_gates': 15.18, 'num_gates': 15.18}",sabre_v0.20,sabre_0.20,hex_127,9
"{'depth': 42, 'depth_ratio': 3.5, 'time': 0.020409822463989258, 'cx_gates': 47, 'num_gates': 48}","{'depth': 4.923, 'depth_ratio': 0.4113, 'time': 0.0004106, 'cx_gates': 17.45, 'num_gates': 17.45}",sabre_v0.20,sabre_0.20,hex_127,10
"{'depth': 43, 'depth_ratio': 3.31, 'time': 0.02267003059387207, 'cx_gates': 87, 'num_gates': 88}","{'depth': 5.748, 'depth_ratio': 0.4413, 'time': 0.0006793, 'cx_gates': 10.15, 'num_gates': 10.15}",sabre_v0.20,sabre_0.20,hex_127,11
"{'depth': 45, 'depth_ratio': 3.21, 'time': 0.0211029052734375, 'cx_gates': 79, 'num_gates': 80}","{'depth': 9.972, 'depth_ratio': 0.714, 'time': 0.0002788, 'cx_gates': 6.406, 'num_gates': 6.406}",sabre_v0.20,sabre_0.20,hex_127,12
"{'depth': 60, 'depth_ratio': 4.0, 'time': 0.02322697639465332, 'cx_gates': 122, 'num_gates': 123}","{'depth': 3.286, 'depth_ratio': 0.2191, 'time': 0.0009556, 'cx_gates': 11.54, 'num_gates': 11.54}",sabre_v0.20,sabre_0.20,hex_127,13
