best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.024441242218017578, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0005032, 'cx_gates': 0, 'num_gates': 0}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.018898963928222656, 'cx_gates': 2, 'num_gates': 3}","{'depth': 1.744, 'depth_ratio': 0.5802, 'time': 0.000554, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,1
"{'depth': 4, 'depth_ratio': 1.0, 'time': 0.019517898559570312, 'cx_gates': 3, 'num_gates': 4}","{'depth': 2.04, 'depth_ratio': 0.5099, 'time': 0.0002888, 'cx_gates': 5.817, 'num_gates': 5.817}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,2
"{'depth': 7, 'depth_ratio': 1.4, 'time': 0.019016027450561523, 'cx_gates': 7, 'num_gates': 8}","{'depth': 2.926, 'depth_ratio': 0.5851, 'time': 0.0134, 'cx_gates': 7.494, 'num_gates': 7.494}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,3
"{'depth': 15, 'depth_ratio': 2.5, 'time': 0.019405126571655273, 'cx_gates': 26, 'num_gates': 27}","{'depth': 1.095, 'depth_ratio': 0.1826, 'time': 0.0002872, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,4
"{'depth': 15, 'depth_ratio': 2.14, 'time': 0.01992011070251465, 'cx_gates': 39, 'num_gates': 40}","{'depth': 3.868, 'depth_ratio': 0.5511, 'time': 0.001072, 'cx_gates': 21.83, 'num_gates': 21.83}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,5
"{'depth': 19, 'depth_ratio': 2.38, 'time': 0.02001786231994629, 'cx_gates': 34, 'num_gates': 35}","{'depth': 2.332, 'depth_ratio': 0.29, 'time': 0.000242, 'cx_gates': 9.02, 'num_gates': 9.02}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,6
"{'depth': 24, 'depth_ratio': 2.67, 'time': 0.020233869552612305, 'cx_gates': 41, 'num_gates': 42}","{'depth': 1.47, 'depth_ratio': 0.1617, 'time': 0.0003238, 'cx_gates': 6.735, 'num_gates': 6.735}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,7
"{'depth': 28, 'depth_ratio': 2.8, 'time': 0.024859905242919922, 'cx_gates': 102, 'num_gates': 103}","{'depth': 0.6325, 'depth_ratio': 0.06325, 'time': 0.001341, 'cx_gates': 17.24, 'num_gates': 17.24}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,8
"{'depth': 32, 'depth_ratio': 2.91, 'time': 0.0632162094116211, 'cx_gates': 109, 'num_gates': 110}","{'depth': 1.497, 'depth_ratio': 0.1347, 'time': 0.01559, 'cx_gates': 25.48, 'num_gates': 25.48}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,9
"{'depth': 32, 'depth_ratio': 2.67, 'time': 0.02221989631652832, 'cx_gates': 59, 'num_gates': 60}","{'depth': 3.72, 'depth_ratio': 0.3092, 'time': 0.002201, 'cx_gates': 30.81, 'num_gates': 30.81}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,10
"{'depth': 37, 'depth_ratio': 2.85, 'time': 0.02277207374572754, 'cx_gates': 63, 'num_gates': 64}","{'depth': 2.482, 'depth_ratio': 0.1884, 'time': 0.002268, 'cx_gates': 33.27, 'num_gates': 33.27}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,11
"{'depth': 39, 'depth_ratio': 2.79, 'time': 0.025229930877685547, 'cx_gates': 103, 'num_gates': 104}","{'depth': 3.187, 'depth_ratio': 0.2268, 'time': 0.00191, 'cx_gates': 27.67, 'num_gates': 27.67}",sabre_look_0_fast_v0.20,sabre_0.20,hex_127,12
