best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.027595043182373047, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.002625, 'cx_gates': 0, 'num_gates': 0}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.028120756149291992, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.003034, 'cx_gates': 0, 'num_gates': 0}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,1
"{'depth': 4, 'depth_ratio': 1.0, 'time': 0.030608177185058594, 'cx_gates': 3, 'num_gates': 4}","{'depth': 1.166, 'depth_ratio': 0.2915, 'time': 0.01542, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,2
"{'depth': 8, 'depth_ratio': 1.6, 'time': 0.04219698905944824, 'cx_gates': 10, 'num_gates': 11}","{'depth': 1.625, 'depth_ratio': 0.325, 'time': 0.002957, 'cx_gates': 3.6, 'num_gates': 3.6}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,3
"{'depth': 11, 'depth_ratio': 1.83, 'time': 0.04100990295410156, 'cx_gates': 11, 'num_gates': 12}","{'depth': 1.549, 'depth_ratio': 0.2595, 'time': 0.003281, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,4
"{'depth': 14, 'depth_ratio': 2.0, 'time': 0.051383018493652344, 'cx_gates': 18, 'num_gates': 19}","{'depth': 2.608, 'depth_ratio': 0.372, 'time': 0.01002, 'cx_gates': 5.161, 'num_gates': 5.161}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,5
"{'depth': 22, 'depth_ratio': 2.75, 'time': 0.0659019947052002, 'cx_gates': 34, 'num_gates': 35}","{'depth': 1.356, 'depth_ratio': 0.1687, 'time': 0.003871, 'cx_gates': 6.406, 'num_gates': 6.406}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,6
"{'depth': 20, 'depth_ratio': 2.22, 'time': 0.06736087799072266, 'cx_gates': 32, 'num_gates': 33}","{'depth': 1.356, 'depth_ratio': 0.1534, 'time': 0.01842, 'cx_gates': 5.499, 'num_gates': 5.499}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,7
"{'depth': 26, 'depth_ratio': 2.6, 'time': 0.08986806869506836, 'cx_gates': 42, 'num_gates': 43}","{'depth': 3.555, 'depth_ratio': 0.3555, 'time': 0.008479, 'cx_gates': 6.841, 'num_gates': 6.841}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,8
"{'depth': 29, 'depth_ratio': 2.64, 'time': 0.09621882438659668, 'cx_gates': 52, 'num_gates': 53}","{'depth': 4.587, 'depth_ratio': 0.4175, 'time': 0.01362, 'cx_gates': 6.841, 'num_gates': 6.841}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,9
"{'depth': 31, 'depth_ratio': 2.58, 'time': 0.12602901458740234, 'cx_gates': 68, 'num_gates': 69}","{'depth': 5.044, 'depth_ratio': 0.4206, 'time': 0.009278, 'cx_gates': 7.73, 'num_gates': 7.73}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,10
"{'depth': 37, 'depth_ratio': 2.85, 'time': 0.1442570686340332, 'cx_gates': 75, 'num_gates': 76}","{'depth': 3.2, 'depth_ratio': 0.2435, 'time': 0.02319, 'cx_gates': 13.99, 'num_gates': 13.99}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,11
"{'depth': 35, 'depth_ratio': 2.5, 'time': 0.17431330680847168, 'cx_gates': 97, 'num_gates': 98}","{'depth': 4.841, 'depth_ratio': 0.3468, 'time': 0.02141, 'cx_gates': 9.411, 'num_gates': 9.411}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,12
"{'depth': 41, 'depth_ratio': 2.73, 'time': 0.1861119270324707, 'cx_gates': 101, 'num_gates': 102}","{'depth': 3.124, 'depth_ratio': 0.2092, 'time': 0.008132, 'cx_gates': 16.21, 'num_gates': 16.21}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,13
"{'depth': 43, 'depth_ratio': 2.69, 'time': 0.23100900650024414, 'cx_gates': 132, 'num_gates': 133}","{'depth': 3.072, 'depth_ratio': 0.1913, 'time': 0.02734, 'cx_gates': 19.03, 'num_gates': 19.03}",sabre_look_2_1_v0.20,sabre_0.20,hex_127,14
