best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.03300189971923828, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.004409, 'cx_gates': 0, 'num_gates': 0}",sabre_look_2_size_2_start_1_v0.20,sabre_0.20,hex_127,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.06750988960266113, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.01546, 'cx_gates': 0, 'num_gates': 0}",sabre_look_2_size_2_start_1_v0.20,sabre_0.20,hex_127,1
"{'depth': 4, 'depth_ratio': 1.0, 'time': 0.0426180362701416, 'cx_gates': 3, 'num_gates': 4}","{'depth': 0.9798, 'depth_ratio': 0.2449, 'time': 0.005297, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_look_2_size_2_start_1_v0.20,sabre_0.20,hex_127,2
"{'depth': 7, 'depth_ratio': 1.4, 'time': 0.0576930046081543, 'cx_gates': 10, 'num_gates': 11}","{'depth': 0.4, 'depth_ratio': 0.08, 'time': 0.003321, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_look_2_size_2_start_1_v0.20,sabre_0.20,hex_127,3
"{'depth': 8, 'depth_ratio': 1.33, 'time': 0.0803217887878418, 'cx_gates': 11, 'num_gates': 12}","{'depth': 1.855, 'depth_ratio': 0.3108, 'time': 0.01239, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_look_2_size_2_start_1_v0.20,sabre_0.20,hex_127,4
"{'depth': 15, 'depth_ratio': 2.14, 'time': 0.06331181526184082, 'cx_gates': 15, 'num_gates': 16}","{'depth': 1.356, 'depth_ratio': 0.1941, 'time': 0.02117, 'cx_gates': 2.245, 'num_gates': 2.245}",sabre_look_2_size_2_start_1_v0.20,sabre_0.20,hex_127,5
"{'depth': 14, 'depth_ratio': 1.75, 'time': 0.08789324760437012, 'cx_gates': 22, 'num_gates': 23}","{'depth': 1.356, 'depth_ratio': 0.1675, 'time': 0.017, 'cx_gates': 3.98, 'num_gates': 3.98}",sabre_look_2_size_2_start_1_v0.20,sabre_0.20,hex_127,6
"{'depth': 18, 'depth_ratio': 2.0, 'time': 0.1189119815826416, 'cx_gates': 26, 'num_gates': 27}","{'depth': 3.826, 'depth_ratio': 0.4257, 'time': 0.02131, 'cx_gates': 9.178, 'num_gates': 9.178}",sabre_look_2_size_2_start_1_v0.20,sabre_0.20,hex_127,7
"{'depth': 21, 'depth_ratio': 2.1, 'time': 0.2118687629699707, 'cx_gates': 39, 'num_gates': 40}","{'depth': 3.709, 'depth_ratio': 0.3709, 'time': 0.02291, 'cx_gates': 6.681, 'num_gates': 6.681}",sabre_look_2_size_2_start_1_v0.20,sabre_0.20,hex_127,8
"{'depth': 26, 'depth_ratio': 2.36, 'time': 0.13018298149108887, 'cx_gates': 52, 'num_gates': 53}","{'depth': 3.124, 'depth_ratio': 0.2836, 'time': 0.03097, 'cx_gates': 6.119, 'num_gates': 6.119}",sabre_look_2_size_2_start_1_v0.20,sabre_0.20,hex_127,9
