best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.04352736473083496, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0002644, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_05_beam_010,sabre_v020,hex_127,0,10,5
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.03751540184020996, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0002576, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_05_beam_010,sabre_v020,hex_127,1,10,5
"{'depth': 7, 'depth_ratio': 1.75, 'time': 0.04900217056274414, 'cx_gates': 6, 'num_gates': 7}","{'depth': 0.5, 'depth_ratio': 0.125, 'time': 0.004259, 'cx_gates': 3.0, 'num_gates': 3.0}",sabre_v020_look_05_beam_010,sabre_v020,hex_127,2,10,5
"{'depth': 7, 'depth_ratio': 1.4, 'time': 0.04552769660949707, 'cx_gates': 7, 'num_gates': 8}","{'depth': 2.0, 'depth_ratio': 0.4, 'time': 0.0002636, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_v020_look_05_beam_010,sabre_v020,hex_127,3,10,5
"{'depth': 12, 'depth_ratio': 2.0, 'time': 0.04806113243103027, 'cx_gates': 14, 'num_gates': 15}","{'depth': 0, 'depth_ratio': 0, 'time': 0.001031, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_v020_look_05_beam_010,sabre_v020,hex_127,4,10,5
"{'depth': 13, 'depth_ratio': 1.86, 'time': 0.049530029296875, 'cx_gates': 21, 'num_gates': 22}","{'depth': 0, 'depth_ratio': 0, 'time': 0.001238, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_v020_look_05_beam_010,sabre_v020,hex_127,5,10,5
"{'depth': 20, 'depth_ratio': 2.5, 'time': 0.06500816345214844, 'cx_gates': 34, 'num_gates': 35}","{'depth': 1.5, 'depth_ratio': 0.19, 'time': 0.00224, 'cx_gates': 4.5, 'num_gates': 4.5}",sabre_v020_look_05_beam_010,sabre_v020,hex_127,6,10,5
"{'depth': 20, 'depth_ratio': 2.22, 'time': 0.07208657264709473, 'cx_gates': 32, 'num_gates': 33}","{'depth': 1.5, 'depth_ratio': 0.17, 'time': 0.009982, 'cx_gates': 7.5, 'num_gates': 7.5}",sabre_v020_look_05_beam_010,sabre_v020,hex_127,7,10,5
"{'depth': 21, 'depth_ratio': 2.1, 'time': 0.13053131103515625, 'cx_gates': 39, 'num_gates': 40}","{'depth': 6.5, 'depth_ratio': 0.65, 'time': 0.022, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_v020_look_05_beam_010,sabre_v020,hex_127,8,10,5
"{'depth': 26, 'depth_ratio': 2.36, 'time': 0.0915217399597168, 'cx_gates': 40, 'num_gates': 41}","{'depth': 5.5, 'depth_ratio': 0.5, 'time': 0.019, 'cx_gates': 13.5, 'num_gates': 13.5}",sabre_v020_look_05_beam_010,sabre_v020,hex_127,9,10,5
"{'depth': 31, 'depth_ratio': 2.58, 'time': 0.10921120643615723, 'cx_gates': 53, 'num_gates': 54}","{'depth': 0.5, 'depth_ratio': 0.045, 'time': 0.001158, 'cx_gates': 4.5, 'num_gates': 4.5}",sabre_v020_look_05_beam_010,sabre_v020,hex_127,10,10,5
"{'depth': 42, 'depth_ratio': 3.23, 'time': 0.11851763725280762, 'cx_gates': 63, 'num_gates': 64}","{'depth': 0.5, 'depth_ratio': 0.04, 'time': 0.02551, 'cx_gates': 19.5, 'num_gates': 19.5}",sabre_v020_look_05_beam_010,sabre_v020,hex_127,11,10,5
