best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.02511286735534668, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0007285, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_dive_001,sabre_v020,hex_127,0,1,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.02171492576599121, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0006102, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_dive_001,sabre_v020,hex_127,1,1,0
"{'depth': 6, 'depth_ratio': 1.5, 'time': 0.02250528335571289, 'cx_gates': 6, 'num_gates': 7}","{'depth': 0.4899, 'depth_ratio': 0.1225, 'time': 0.0005133, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_dive_001,sabre_v020,hex_127,2,1,0
"{'depth': 7, 'depth_ratio': 1.4, 'time': 0.023437023162841797, 'cx_gates': 10, 'num_gates': 11}","{'depth': 1.166, 'depth_ratio': 0.2332, 'time': 0.0004063, 'cx_gates': 1.897, 'num_gates': 1.897}",sabre_v020_dive_001,sabre_v020,hex_127,3,1,0
"{'depth': 8, 'depth_ratio': 1.33, 'time': 0.022836923599243164, 'cx_gates': 11, 'num_gates': 12}","{'depth': 1.47, 'depth_ratio': 0.246, 'time': 0.0006115, 'cx_gates': 2.4, 'num_gates': 2.4}",sabre_v020_dive_001,sabre_v020,hex_127,4,1,0
"{'depth': 12, 'depth_ratio': 1.71, 'time': 0.025494098663330078, 'cx_gates': 15, 'num_gates': 16}","{'depth': 1.6, 'depth_ratio': 0.2313, 'time': 0.001023, 'cx_gates': 4.409, 'num_gates': 4.409}",sabre_v020_dive_001,sabre_v020,hex_127,5,1,0
"{'depth': 15, 'depth_ratio': 1.88, 'time': 0.02514195442199707, 'cx_gates': 28, 'num_gates': 29}","{'depth': 2.786, 'depth_ratio': 0.3491, 'time': 0.01527, 'cx_gates': 4.8, 'num_gates': 4.8}",sabre_v020_dive_001,sabre_v020,hex_127,6,1,0
"{'depth': 18, 'depth_ratio': 2.0, 'time': 0.028454065322875977, 'cx_gates': 38, 'num_gates': 39}","{'depth': 2.8, 'depth_ratio': 0.3124, 'time': 0.0004524, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_v020_dive_001,sabre_v020,hex_127,7,1,0
"{'depth': 20, 'depth_ratio': 2.0, 'time': 0.029116153717041016, 'cx_gates': 42, 'num_gates': 43}","{'depth': 2.786, 'depth_ratio': 0.2786, 'time': 0.0008131, 'cx_gates': 5.231, 'num_gates': 5.231}",sabre_v020_dive_001,sabre_v020,hex_127,8,1,0
"{'depth': 24, 'depth_ratio': 2.18, 'time': 0.03069901466369629, 'cx_gates': 49, 'num_gates': 50}","{'depth': 1.855, 'depth_ratio': 0.171, 'time': 0.001559, 'cx_gates': 5.499, 'num_gates': 5.499}",sabre_v020_dive_001,sabre_v020,hex_127,9,1,0
"{'depth': 27, 'depth_ratio': 2.25, 'time': 0.03321194648742676, 'cx_gates': 56, 'num_gates': 57}","{'depth': 2.926, 'depth_ratio': 0.246, 'time': 0.01437, 'cx_gates': 11.63, 'num_gates': 11.63}",sabre_v020_dive_001,sabre_v020,hex_127,10,1,0
"{'depth': 30, 'depth_ratio': 2.31, 'time': 0.036187171936035156, 'cx_gates': 75, 'num_gates': 76}","{'depth': 1.789, 'depth_ratio': 0.1387, 'time': 0.0009089, 'cx_gates': 6.0, 'num_gates': 6.0}",sabre_v020_dive_001,sabre_v020,hex_127,11,1,0
"{'depth': 28, 'depth_ratio': 2.0, 'time': 0.038162946701049805, 'cx_gates': 85, 'num_gates': 86}","{'depth': 1.744, 'depth_ratio': 0.126, 'time': 0.004191, 'cx_gates': 9.411, 'num_gates': 9.411}",sabre_v020_dive_001,sabre_v020,hex_127,12,1,0
"{'depth': 39, 'depth_ratio': 2.6, 'time': 0.042922019958496094, 'cx_gates': 110, 'num_gates': 111}","{'depth': 1.855, 'depth_ratio': 0.1227, 'time': 0.01472, 'cx_gates': 4.49, 'num_gates': 4.49}",sabre_v020_dive_001,sabre_v020,hex_127,13,1,0
"{'depth': 32, 'depth_ratio': 2.0, 'time': 0.04034590721130371, 'cx_gates': 96, 'num_gates': 97}","{'depth': 5.636, 'depth_ratio': 0.3526, 'time': 0.001493, 'cx_gates': 11.54, 'num_gates': 11.54}",sabre_v020_dive_001,sabre_v020,hex_127,14,1,0
"{'depth': 37, 'depth_ratio': 2.18, 'time': 0.04129195213317871, 'cx_gates': 115, 'num_gates': 116}","{'depth': 4.454, 'depth_ratio': 0.2599, 'time': 0.001478, 'cx_gates': 10.83, 'num_gates': 10.83}",sabre_v020_dive_001,sabre_v020,hex_127,15,1,0
"{'depth': 44, 'depth_ratio': 2.44, 'time': 0.0417020320892334, 'cx_gates': 119, 'num_gates': 120}","{'depth': 1.939, 'depth_ratio': 0.1073, 'time': 0.01046, 'cx_gates': 16.37, 'num_gates': 16.37}",sabre_v020_dive_001,sabre_v020,hex_127,16,1,0
"{'depth': 44, 'depth_ratio': 2.32, 'time': 0.04520606994628906, 'cx_gates': 144, 'num_gates': 145}","{'depth': 4.833, 'depth_ratio': 0.2529, 'time': 0.04339, 'cx_gates': 12.0, 'num_gates': 12.0}",sabre_v020_dive_001,sabre_v020,hex_127,17,1,0
"{'depth': 46, 'depth_ratio': 2.3, 'time': 0.04845094680786133, 'cx_gates': 154, 'num_gates': 155}","{'depth': 5.036, 'depth_ratio': 0.2518, 'time': 0.001774, 'cx_gates': 11.91, 'num_gates': 11.91}",sabre_v020_dive_001,sabre_v020,hex_127,18,1,0
"{'depth': 53, 'depth_ratio': 2.52, 'time': 0.04952383041381836, 'cx_gates': 164, 'num_gates': 165}","{'depth': 1.855, 'depth_ratio': 0.08823, 'time': 0.00109, 'cx_gates': 11.94, 'num_gates': 11.94}",sabre_v020_dive_001,sabre_v020,hex_127,19,1,0
"{'depth': 49, 'depth_ratio': 2.23, 'time': 0.09350800514221191, 'cx_gates': 171, 'num_gates': 172}","{'depth': 3.611, 'depth_ratio': 0.164, 'time': 0.01717, 'cx_gates': 3.795, 'num_gates': 3.795}",sabre_v020_dive_001,sabre_v020,hex_127,20,1,0
