best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.5322270393371582, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.1329, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_dive_500,sabre_v020,hex_127,0,500,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.7793068885803223, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.194, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_dive_500,sabre_v020,hex_127,1,500,0
"{'depth': 4, 'depth_ratio': 1.0, 'time': 0.7386870384216309, 'cx_gates': 3, 'num_gates': 4}","{'depth': 0.9798, 'depth_ratio': 0.2449, 'time': 0.2374, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_v020_dive_500,sabre_v020,hex_127,2,500,0
"{'depth': 7, 'depth_ratio': 1.4, 'time': 1.6592319011688232, 'cx_gates': 10, 'num_gates': 11}","{'depth': 1.549, 'depth_ratio': 0.3098, 'time': 0.1029, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_v020_dive_500,sabre_v020,hex_127,3,500,0
"{'depth': 8, 'depth_ratio': 1.33, 'time': 1.6650381088256836, 'cx_gates': 11, 'num_gates': 12}","{'depth': 1.47, 'depth_ratio': 0.246, 'time': 0.1841, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_dive_500,sabre_v020,hex_127,4,500,0
"{'depth': 9, 'depth_ratio': 1.29, 'time': 2.5244100093841553, 'cx_gates': 15, 'num_gates': 16}","{'depth': 2.713, 'depth_ratio': 0.3845, 'time': 0.2845, 'cx_gates': 3.795, 'num_gates': 3.795}",sabre_v020_dive_500,sabre_v020,hex_127,5,500,0
"{'depth': 12, 'depth_ratio': 1.5, 'time': 2.4570980072021484, 'cx_gates': 22, 'num_gates': 23}","{'depth': 2.315, 'depth_ratio': 0.2899, 'time': 0.3196, 'cx_gates': 5.231, 'num_gates': 5.231}",sabre_v020_dive_500,sabre_v020,hex_127,6,500,0
"{'depth': 17, 'depth_ratio': 1.89, 'time': 2.9477880001068115, 'cx_gates': 29, 'num_gates': 30}","{'depth': 1.327, 'depth_ratio': 0.1459, 'time': 0.2093, 'cx_gates': 5.161, 'num_gates': 5.161}",sabre_v020_dive_500,sabre_v020,hex_127,7,500,0
"{'depth': 17, 'depth_ratio': 1.7, 'time': 3.711076259613037, 'cx_gates': 36, 'num_gates': 37}","{'depth': 3.007, 'depth_ratio': 0.3007, 'time': 0.2963, 'cx_gates': 4.409, 'num_gates': 4.409}",sabre_v020_dive_500,sabre_v020,hex_127,8,500,0
"{'depth': 23, 'depth_ratio': 2.09, 'time': 4.330164909362793, 'cx_gates': 55, 'num_gates': 56}","{'depth': 0.6325, 'depth_ratio': 0.05692, 'time': 0.6215, 'cx_gates': 8.612, 'num_gates': 8.612}",sabre_v020_dive_500,sabre_v020,hex_127,9,500,0
