best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.021502256393432617, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0004192, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_extended,sabre_v020,hex_127,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.017313003540039062, 'cx_gates': 2, 'num_gates': 3}","{'depth': 1.47, 'depth_ratio': 0.4899, 'time': 0.0003949, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_v020_extended,sabre_v020,hex_127,1
"{'depth': 4, 'depth_ratio': 1.0, 'time': 0.018692970275878906, 'cx_gates': 3, 'num_gates': 4}","{'depth': 0.9798, 'depth_ratio': 0.2449, 'time': 0.0004499, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_v020_extended,sabre_v020,hex_127,2
"{'depth': 6, 'depth_ratio': 1.2, 'time': 0.01831197738647461, 'cx_gates': 7, 'num_gates': 8}","{'depth': 1.673, 'depth_ratio': 0.3347, 'time': 0.000321, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_v020_extended,sabre_v020,hex_127,3
"{'depth': 15, 'depth_ratio': 2.5, 'time': 0.021075010299682617, 'cx_gates': 14, 'num_gates': 15}","{'depth': 2.939, 'depth_ratio': 0.4899, 'time': 0.001287, 'cx_gates': 3.6, 'num_gates': 3.6}",sabre_v020_extended,sabre_v020,hex_127,4
"{'depth': 16, 'depth_ratio': 2.29, 'time': 0.02015519142150879, 'cx_gates': 21, 'num_gates': 22}","{'depth': 12.64, 'depth_ratio': 1.805, 'time': 0.001123, 'cx_gates': 11.76, 'num_gates': 11.76}",sabre_v020_extended,sabre_v020,hex_127,5
"{'depth': 17, 'depth_ratio': 2.12, 'time': 0.020956993103027344, 'cx_gates': 19, 'num_gates': 20}","{'depth': 4.534, 'depth_ratio': 0.5656, 'time': 0.0008163, 'cx_gates': 5.02, 'num_gates': 5.02}",sabre_v020_extended,sabre_v020,hex_127,6
"{'depth': 16, 'depth_ratio': 1.78, 'time': 0.022947072982788086, 'cx_gates': 29, 'num_gates': 30}","{'depth': 5.463, 'depth_ratio': 0.6071, 'time': 0.0008004, 'cx_gates': 4.874, 'num_gates': 4.874}",sabre_v020_extended,sabre_v020,hex_127,7
"{'depth': 29, 'depth_ratio': 2.9, 'time': 0.024646997451782227, 'cx_gates': 39, 'num_gates': 40}","{'depth': 4.8, 'depth_ratio': 0.48, 'time': 0.0004124, 'cx_gates': 4.243, 'num_gates': 4.243}",sabre_v020_extended,sabre_v020,hex_127,8
"{'depth': 32, 'depth_ratio': 2.91, 'time': 0.024662017822265625, 'cx_gates': 31, 'num_gates': 32}","{'depth': 10.3, 'depth_ratio': 0.9345, 'time': 0.001528, 'cx_gates': 11.79, 'num_gates': 11.79}",sabre_v020_extended,sabre_v020,hex_127,9
