best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.0735161304473877, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.009255, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_010_beam_001,sabre_v020,hex_127,0,1,10
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.04199790954589844, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0009986, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_010_beam_001,sabre_v020,hex_127,1,1,10
"{'depth': 7, 'depth_ratio': 1.75, 'time': 0.0399937629699707, 'cx_gates': 6, 'num_gates': 7}","{'depth': 0.5, 'depth_ratio': 0.125, 'time': 0.001261, 'cx_gates': 3.0, 'num_gates': 3.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_127,2,1,10
"{'depth': 7, 'depth_ratio': 1.4, 'time': 0.04005551338195801, 'cx_gates': 7, 'num_gates': 8}","{'depth': 2.0, 'depth_ratio': 0.4, 'time': 0.0009693, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_127,3,1,10
"{'depth': 13, 'depth_ratio': 2.17, 'time': 0.04500389099121094, 'cx_gates': 20, 'num_gates': 21}","{'depth': 0.5, 'depth_ratio': 0.08, 'time': 0.0007259, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_010_beam_001,sabre_v020,hex_127,4,1,10
"{'depth': 14, 'depth_ratio': 2.0, 'time': 0.04373478889465332, 'cx_gates': 24, 'num_gates': 25}","{'depth': 1.5, 'depth_ratio': 0.215, 'time': 0.00263, 'cx_gates': 3.0, 'num_gates': 3.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_127,5,1,10
"{'depth': 18, 'depth_ratio': 2.25, 'time': 0.05308413505554199, 'cx_gates': 40, 'num_gates': 41}","{'depth': 2.0, 'depth_ratio': 0.25, 'time': 0.001041, 'cx_gates': 3.0, 'num_gates': 3.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_127,6,1,10
"{'depth': 25, 'depth_ratio': 2.78, 'time': 0.05513477325439453, 'cx_gates': 50, 'num_gates': 51}","{'depth': 0, 'depth_ratio': 0, 'time': 0.001063, 'cx_gates': 4.5, 'num_gates': 4.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_127,7,1,10
"{'depth': 21, 'depth_ratio': 2.1, 'time': 0.04600358009338379, 'cx_gates': 48, 'num_gates': 49}","{'depth': 4.5, 'depth_ratio': 0.45, 'time': 0.005525, 'cx_gates': 12.0, 'num_gates': 12.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_127,8,1,10
"{'depth': 31, 'depth_ratio': 2.82, 'time': 0.0640101432800293, 'cx_gates': 79, 'num_gates': 80}","{'depth': 0, 'depth_ratio': 0, 'time': 0.005981, 'cx_gates': 7.5, 'num_gates': 7.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_127,9,1,10
