best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.047265052795410156, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.00815, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.06273508071899414, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.01055, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,1
"{'depth': 6, 'depth_ratio': 1.5, 'time': 0.07903099060058594, 'cx_gates': 6, 'num_gates': 7}","{'depth': 0.4, 'depth_ratio': 0.1, 'time': 0.0108, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,2
"{'depth': 7, 'depth_ratio': 1.4, 'time': 0.1090240478515625, 'cx_gates': 10, 'num_gates': 11}","{'depth': 0.4899, 'depth_ratio': 0.09798, 'time': 0.0139, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,3
"{'depth': 8, 'depth_ratio': 1.33, 'time': 0.10563492774963379, 'cx_gates': 11, 'num_gates': 12}","{'depth': 1.549, 'depth_ratio': 0.2595, 'time': 0.01246, 'cx_gates': 2.4, 'num_gates': 2.4}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,4
"{'depth': 13, 'depth_ratio': 1.86, 'time': 0.11580395698547363, 'cx_gates': 18, 'num_gates': 19}","{'depth': 2.245, 'depth_ratio': 0.3186, 'time': 0.02993, 'cx_gates': 2.245, 'num_gates': 2.245}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,5
"{'depth': 17, 'depth_ratio': 2.12, 'time': 0.18549704551696777, 'cx_gates': 25, 'num_gates': 26}","{'depth': 0.9798, 'depth_ratio': 0.1274, 'time': 0.0298, 'cx_gates': 7.25, 'num_gates': 7.25}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,6
"{'depth': 20, 'depth_ratio': 2.22, 'time': 0.2041008472442627, 'cx_gates': 26, 'num_gates': 27}","{'depth': 1.166, 'depth_ratio': 0.1321, 'time': 0.01193, 'cx_gates': 2.683, 'num_gates': 2.683}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,7
"{'depth': 19, 'depth_ratio': 1.9, 'time': 0.21523189544677734, 'cx_gates': 24, 'num_gates': 25}","{'depth': 2.135, 'depth_ratio': 0.2135, 'time': 0.02279, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,8
"{'depth': 24, 'depth_ratio': 2.18, 'time': 0.3349628448486328, 'cx_gates': 49, 'num_gates': 50}","{'depth': 1.6, 'depth_ratio': 0.1468, 'time': 0.04945, 'cx_gates': 9.099, 'num_gates': 9.099}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,9
"{'depth': 24, 'depth_ratio': 2.0, 'time': 0.24225306510925293, 'cx_gates': 38, 'num_gates': 39}","{'depth': 2.926, 'depth_ratio': 0.244, 'time': 0.06883, 'cx_gates': 15.81, 'num_gates': 15.81}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,10
"{'depth': 33, 'depth_ratio': 2.54, 'time': 0.2998778820037842, 'cx_gates': 36, 'num_gates': 37}","{'depth': 2.871, 'depth_ratio': 0.2181, 'time': 0.03384, 'cx_gates': 3.286, 'num_gates': 3.286}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,11
"{'depth': 31, 'depth_ratio': 2.21, 'time': 0.35712695121765137, 'cx_gates': 61, 'num_gates': 62}","{'depth': 2.993, 'depth_ratio': 0.2168, 'time': 0.03751, 'cx_gates': 10.04, 'num_gates': 10.04}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,12
"{'depth': 37, 'depth_ratio': 2.47, 'time': 0.503803014755249, 'cx_gates': 80, 'num_gates': 81}","{'depth': 4.409, 'depth_ratio': 0.2916, 'time': 0.04946, 'cx_gates': 13.34, 'num_gates': 13.34}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,13
"{'depth': 45, 'depth_ratio': 2.81, 'time': 0.3543119430541992, 'cx_gates': 51, 'num_gates': 52}","{'depth': 2.315, 'depth_ratio': 0.1441, 'time': 0.0831, 'cx_gates': 16.65, 'num_gates': 16.65}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,14
"{'depth': 49, 'depth_ratio': 2.88, 'time': 0.603255033493042, 'cx_gates': 85, 'num_gates': 86}","{'depth': 1.6, 'depth_ratio': 0.096, 'time': 0.07161, 'cx_gates': 12.81, 'num_gates': 12.81}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,15
"{'depth': 47, 'depth_ratio': 2.61, 'time': 0.6945109367370605, 'cx_gates': 122, 'num_gates': 123}","{'depth': 3.847, 'depth_ratio': 0.2147, 'time': 0.0718, 'cx_gates': 40.59, 'num_gates': 40.59}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,16
"{'depth': 51, 'depth_ratio': 2.68, 'time': 0.6803550720214844, 'cx_gates': 123, 'num_gates': 124}","{'depth': 3.311, 'depth_ratio': 0.1756, 'time': 0.1002, 'cx_gates': 31.52, 'num_gates': 31.52}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,17
"{'depth': 55, 'depth_ratio': 2.75, 'time': 0.6573078632354736, 'cx_gates': 112, 'num_gates': 113}","{'depth': 4.956, 'depth_ratio': 0.2478, 'time': 0.1011, 'cx_gates': 28.1, 'num_gates': 28.1}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,18
"{'depth': 55, 'depth_ratio': 2.62, 'time': 0.7966561317443848, 'cx_gates': 104, 'num_gates': 105}","{'depth': 5.463, 'depth_ratio': 0.2607, 'time': 0.1075, 'cx_gates': 12.5, 'num_gates': 12.5}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,19
"{'depth': 62, 'depth_ratio': 2.82, 'time': 0.8923099040985107, 'cx_gates': 165, 'num_gates': 166}","{'depth': 4.648, 'depth_ratio': 0.2092, 'time': 0.0977, 'cx_gates': 31.6, 'num_gates': 31.6}",sabre_v020_look_5_beam_10,sabre_v020,hex_127,20
