best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 0.006474018096923828, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0006573, 'cx_gates': 0, 'num_gates': 0}",sabre_look_0_fdlg_v0.20,sabre_0.20,hex_27,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 0.005913257598876953, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 0.001044, 'cx_gates': 0, 'num_gates': 0}",sabre_look_0_fdlg_v0.20,sabre_0.20,hex_27,1
"{'depth': 4, 'depth_ratio': 1.0, 'time': 0.006807088851928711, 'cx_gates': 3, 'num_gates': 4}","{'depth': 0.9798, 'depth_ratio': 0.2449, 'time': 0.0003949, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_look_0_fdlg_v0.20,sabre_0.20,hex_27,2
"{'depth': 7, 'depth_ratio': 1.4, 'time': 0.008220195770263672, 'cx_gates': 7, 'num_gates': 8}","{'depth': 1.166, 'depth_ratio': 0.2332, 'time': 0.0005749, 'cx_gates': 1.897, 'num_gates': 1.897}",sabre_look_0_fdlg_v0.20,sabre_0.20,hex_27,3
"{'depth': 11, 'depth_ratio': 1.83, 'time': 0.00811910629272461, 'cx_gates': 14, 'num_gates': 15}","{'depth': 0.4899, 'depth_ratio': 0.08328, 'time': 0.0007488, 'cx_gates': 1.47, 'num_gates': 1.47}",sabre_look_0_fdlg_v0.20,sabre_0.20,hex_27,4
"{'depth': 9, 'depth_ratio': 1.29, 'time': 0.010573863983154297, 'cx_gates': 15, 'num_gates': 16}","{'depth': 2.926, 'depth_ratio': 0.4158, 'time': 0.0003733, 'cx_gates': 4.069, 'num_gates': 4.069}",sabre_look_0_fdlg_v0.20,sabre_0.20,hex_27,5
"{'depth': 16, 'depth_ratio': 2.0, 'time': 0.01320505142211914, 'cx_gates': 28, 'num_gates': 29}","{'depth': 1.897, 'depth_ratio': 0.2361, 'time': 0.0008142, 'cx_gates': 4.243, 'num_gates': 4.243}",sabre_look_0_fdlg_v0.20,sabre_0.20,hex_27,6
"{'depth': 20, 'depth_ratio': 2.22, 'time': 0.013818025588989258, 'cx_gates': 32, 'num_gates': 33}","{'depth': 0.9798, 'depth_ratio': 0.1078, 'time': 0.002886, 'cx_gates': 5.817, 'num_gates': 5.817}",sabre_look_0_fdlg_v0.20,sabre_0.20,hex_27,7
"{'depth': 14, 'depth_ratio': 1.4, 'time': 0.01709127426147461, 'cx_gates': 36, 'num_gates': 37}","{'depth': 4.147, 'depth_ratio': 0.4147, 'time': 0.009355, 'cx_gates': 4.409, 'num_gates': 4.409}",sabre_look_0_fdlg_v0.20,sabre_0.20,hex_27,8
"{'depth': 24, 'depth_ratio': 2.18, 'time': 0.02029275894165039, 'cx_gates': 49, 'num_gates': 50}","{'depth': 2.482, 'depth_ratio': 0.2277, 'time': 0.001988, 'cx_gates': 8.612, 'num_gates': 8.612}",sabre_look_0_fdlg_v0.20,sabre_0.20,hex_27,9
"{'depth': 24, 'depth_ratio': 2.0, 'time': 0.024507999420166016, 'cx_gates': 62, 'num_gates': 63}","{'depth': 2.871, 'depth_ratio': 0.2395, 'time': 0.001122, 'cx_gates': 5.02, 'num_gates': 5.02}",sabre_look_0_fdlg_v0.20,sabre_0.20,hex_27,10
"{'depth': 31, 'depth_ratio': 2.38, 'time': 0.02341604232788086, 'cx_gates': 57, 'num_gates': 58}","{'depth': 1.265, 'depth_ratio': 0.1012, 'time': 0.004794, 'cx_gates': 13.73, 'num_gates': 13.73}",sabre_look_0_fdlg_v0.20,sabre_0.20,hex_27,11
