best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 2, 'depth_ratio': 1.0, 'time': 1.460007905960083, 'cx_gates': 1, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 1.358, 'cx_gates': 0, 'num_gates': 0}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,0
"{'depth': 3, 'depth_ratio': 1.0, 'time': 7.683276891708374, 'cx_gates': 2, 'num_gates': 3}","{'depth': 0, 'depth_ratio': 0, 'time': 2.642, 'cx_gates': 0, 'num_gates': 0}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,1
"{'depth': 4, 'depth_ratio': 1.0, 'time': 13.252985000610352, 'cx_gates': 3, 'num_gates': 4}","{'depth': 0.8, 'depth_ratio': 0.2, 'time': 2.863, 'cx_gates': 1.2, 'num_gates': 1.2}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,2
"{'depth': 8, 'depth_ratio': 1.6, 'time': 32.44822406768799, 'cx_gates': 7, 'num_gates': 8}","{'depth': 2.245, 'depth_ratio': 0.449, 'time': 5.294, 'cx_gates': 4.49, 'num_gates': 4.49}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,3
"{'depth': 15, 'depth_ratio': 2.5, 'time': 26.35067915916443, 'cx_gates': 20, 'num_gates': 21}","{'depth': 1.897, 'depth_ratio': 0.3152, 'time': 6.579, 'cx_gates': 3.499, 'num_gates': 3.499}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,4
"{'depth': 16, 'depth_ratio': 2.29, 'time': 32.1644229888916, 'cx_gates': 27, 'num_gates': 28}","{'depth': 1.02, 'depth_ratio': 0.1428, 'time': 6.362, 'cx_gates': 4.49, 'num_gates': 4.49}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,5
"{'depth': 22, 'depth_ratio': 2.75, 'time': 44.91112399101257, 'cx_gates': 31, 'num_gates': 32}","{'depth': 2.332, 'depth_ratio': 0.2897, 'time': 4.42, 'cx_gates': 5.02, 'num_gates': 5.02}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,6
"{'depth': 21, 'depth_ratio': 2.33, 'time': 45.926559925079346, 'cx_gates': 29, 'num_gates': 30}","{'depth': 2.966, 'depth_ratio': 0.329, 'time': 19.24, 'cx_gates': 9.932, 'num_gates': 9.932}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,7
"{'depth': 25, 'depth_ratio': 2.5, 'time': 67.02143836021423, 'cx_gates': 33, 'num_gates': 34}","{'depth': 2.245, 'depth_ratio': 0.2245, 'time': 14.79, 'cx_gates': 6.177, 'num_gates': 6.177}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,8
"{'depth': 27, 'depth_ratio': 2.45, 'time': 81.98114514350891, 'cx_gates': 61, 'num_gates': 62}","{'depth': 4.0, 'depth_ratio': 0.363, 'time': 14.58, 'cx_gates': 7.25, 'num_gates': 7.25}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,9
"{'depth': 35, 'depth_ratio': 2.92, 'time': 104.59822511672974, 'cx_gates': 80, 'num_gates': 81}","{'depth': 4.409, 'depth_ratio': 0.3674, 'time': 23.19, 'cx_gates': 13.87, 'num_gates': 13.87}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,10
"{'depth': 37, 'depth_ratio': 2.85, 'time': 129.7214159965515, 'cx_gates': 66, 'num_gates': 67}","{'depth': 1.789, 'depth_ratio': 0.1353, 'time': 37.3, 'cx_gates': 15.06, 'num_gates': 15.06}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,11
"{'depth': 44, 'depth_ratio': 3.14, 'time': 200.14128589630127, 'cx_gates': 103, 'num_gates': 104}","{'depth': 1.265, 'depth_ratio': 0.09174, 'time': 11.2, 'cx_gates': 6.406, 'num_gates': 6.406}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,12
"{'depth': 47, 'depth_ratio': 3.13, 'time': 207.75425696372986, 'cx_gates': 119, 'num_gates': 120}","{'depth': 4.02, 'depth_ratio': 0.2699, 'time': 29.6, 'cx_gates': 16.26, 'num_gates': 16.26}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,13
"{'depth': 47, 'depth_ratio': 2.94, 'time': 255.58169531822205, 'cx_gates': 117, 'num_gates': 118}","{'depth': 0.8, 'depth_ratio': 0.048, 'time': 23.64, 'cx_gates': 11.45, 'num_gates': 11.45}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,14
"{'depth': 48, 'depth_ratio': 2.82, 'time': 282.83931374549866, 'cx_gates': 112, 'num_gates': 113}","{'depth': 2.417, 'depth_ratio': 0.145, 'time': 12.67, 'cx_gates': 8.695, 'num_gates': 8.695}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,15
"{'depth': 53, 'depth_ratio': 2.94, 'time': 287.72606205940247, 'cx_gates': 122, 'num_gates': 123}","{'depth': 4.261, 'depth_ratio': 0.2387, 'time': 24.0, 'cx_gates': 13.81, 'num_gates': 13.81}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,16
"{'depth': 57, 'depth_ratio': 3.0, 'time': 290.8424451351166, 'cx_gates': 120, 'num_gates': 121}","{'depth': 4.454, 'depth_ratio': 0.2342, 'time': 25.5, 'cx_gates': 19.41, 'num_gates': 19.41}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,17
"{'depth': 58, 'depth_ratio': 2.9, 'time': 428.0310459136963, 'cx_gates': 166, 'num_gates': 167}","{'depth': 4.118, 'depth_ratio': 0.2059, 'time': 34.71, 'cx_gates': 13.73, 'num_gates': 13.73}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,18
"{'depth': 67, 'depth_ratio': 3.19, 'time': 389.3058731555939, 'cx_gates': 158, 'num_gates': 159}","{'depth': 5.418, 'depth_ratio': 0.2584, 'time': 24.08, 'cx_gates': 13.36, 'num_gates': 13.36}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,19
"{'depth': 63, 'depth_ratio': 2.86, 'time': 395.8255910873413, 'cx_gates': 153, 'num_gates': 154}","{'depth': 5.269, 'depth_ratio': 0.2421, 'time': 19.97, 'cx_gates': 16.5, 'num_gates': 16.5}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,20
"{'depth': 71, 'depth_ratio': 3.09, 'time': 362.6925549507141, 'cx_gates': 160, 'num_gates': 161}","{'depth': 5.314, 'depth_ratio': 0.2314, 'time': 48.43, 'cx_gates': 19.86, 'num_gates': 19.86}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,21
"{'depth': 77, 'depth_ratio': 3.21, 'time': 492.8414649963379, 'cx_gates': 173, 'num_gates': 174}","{'depth': 1.72, 'depth_ratio': 0.07283, 'time': 71.88, 'cx_gates': 19.44, 'num_gates': 19.44}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,22
"{'depth': 75, 'depth_ratio': 3.0, 'time': 380.87904620170593, 'cx_gates': 144, 'num_gates': 145}","{'depth': 4.261, 'depth_ratio': 0.1705, 'time': 70.7, 'cx_gates': 32.79, 'num_gates': 32.79}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,23
"{'depth': 83, 'depth_ratio': 3.19, 'time': 471.03830218315125, 'cx_gates': 199, 'num_gates': 200}","{'depth': 4.604, 'depth_ratio': 0.1785, 'time': 67.82, 'cx_gates': 31.5, 'num_gates': 31.5}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,24
"{'depth': 80, 'depth_ratio': 2.96, 'time': 514.3456358909607, 'cx_gates': 188, 'num_gates': 189}","{'depth': 6.099, 'depth_ratio': 0.2269, 'time': 60.98, 'cx_gates': 24.18, 'num_gates': 24.18}",sabre_look_5_fdlg_test_v0.20,sabre_0.20,hex_27,25
