best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 61, 'depth_ratio': 2.44, 'time': 6.76124382019043, 'cx_gates': 180, 'num_gates': 181}","{'depth': 3.72, 'depth_ratio': 0.1488, 'time': 1.119, 'cx_gates': 34.44, 'num_gates': 34.44}",sabre_v020_dive_010,sabre_v020,hex_27,0,10,0
"{'depth': 59, 'depth_ratio': 2.36, 'time': 4.986933946609497, 'cx_gates': 138, 'num_gates': 139}","{'depth': 4.665, 'depth_ratio': 0.1866, 'time': 1.423, 'cx_gates': 35.63, 'num_gates': 35.63}",sabre_v020_dive_011,sabre_v020,hex_27,0,11,0
"{'depth': 59, 'depth_ratio': 2.36, 'time': 8.036508083343506, 'cx_gates': 207, 'num_gates': 208}","{'depth': 4.336, 'depth_ratio': 0.1734, 'time': 0.6043, 'cx_gates': 13.89, 'num_gates': 13.89}",sabre_v020_dive_012,sabre_v020,hex_27,0,12,0
"{'depth': 59, 'depth_ratio': 2.36, 'time': 8.536337852478027, 'cx_gates': 207, 'num_gates': 208}","{'depth': 7.111, 'depth_ratio': 0.2844, 'time': 1.244, 'cx_gates': 23.82, 'num_gates': 23.82}",sabre_v020_dive_013,sabre_v020,hex_27,0,13,0
"{'depth': 61, 'depth_ratio': 2.44, 'time': 9.666589260101318, 'cx_gates': 225, 'num_gates': 226}","{'depth': 4.354, 'depth_ratio': 0.1742, 'time': 1.405, 'cx_gates': 23.88, 'num_gates': 23.88}",sabre_v020_dive_014,sabre_v020,hex_27,0,14,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 10.028022050857544, 'cx_gates': 222, 'num_gates': 223}","{'depth': 1.673, 'depth_ratio': 0.06693, 'time': 0.2545, 'cx_gates': 13.34, 'num_gates': 13.34}",sabre_v020_dive_015,sabre_v020,hex_27,0,15,0
"{'depth': 51, 'depth_ratio': 2.04, 'time': 10.748120784759521, 'cx_gates': 210, 'num_gates': 211}","{'depth': 6.53, 'depth_ratio': 0.2612, 'time': 1.059, 'cx_gates': 24.62, 'num_gates': 24.62}",sabre_v020_dive_016,sabre_v020,hex_27,0,16,0
"{'depth': 55, 'depth_ratio': 2.2, 'time': 11.24399995803833, 'cx_gates': 189, 'num_gates': 190}","{'depth': 6.325, 'depth_ratio': 0.253, 'time': 1.585, 'cx_gates': 16.28, 'num_gates': 16.28}",sabre_v020_dive_017,sabre_v020,hex_27,0,17,0
"{'depth': 54, 'depth_ratio': 2.16, 'time': 11.929004907608032, 'cx_gates': 204, 'num_gates': 205}","{'depth': 3.72, 'depth_ratio': 0.1488, 'time': 1.54, 'cx_gates': 20.38, 'num_gates': 20.38}",sabre_v020_dive_018,sabre_v020,hex_27,0,18,0
"{'depth': 58, 'depth_ratio': 2.32, 'time': 11.113597869873047, 'cx_gates': 183, 'num_gates': 184}","{'depth': 4.454, 'depth_ratio': 0.1782, 'time': 0.8205, 'cx_gates': 15.83, 'num_gates': 15.83}",sabre_v020_dive_019,sabre_v020,hex_27,0,19,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 13.692535161972046, 'cx_gates': 198, 'num_gates': 199}","{'depth': 3.544, 'depth_ratio': 0.1418, 'time': 0.3067, 'cx_gates': 10.67, 'num_gates': 10.67}",sabre_v020_dive_020,sabre_v020,hex_27,0,20,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 14.405766010284424, 'cx_gates': 198, 'num_gates': 199}","{'depth': 3.033, 'depth_ratio': 0.1213, 'time': 2.249, 'cx_gates': 24.78, 'num_gates': 24.78}",sabre_v020_dive_021,sabre_v020,hex_27,0,21,0
"{'depth': 53, 'depth_ratio': 2.12, 'time': 15.370119094848633, 'cx_gates': 192, 'num_gates': 193}","{'depth': 4.956, 'depth_ratio': 0.1982, 'time': 65.02, 'cx_gates': 17.33, 'num_gates': 17.33}",sabre_v020_dive_022,sabre_v020,hex_27,0,22,0
