best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 59, 'depth_ratio': 2.36, 'time': 5.078573703765869, 'cx_gates': 312, 'num_gates': 313}","{'depth': 4.707, 'depth_ratio': 0.1883, 'time': 0.561, 'cx_gates': 45.87, 'num_gates': 45.87}",sabre_v020_dive_001,sabre_v020,hex_27,0,1,0
"{'depth': 55, 'depth_ratio': 2.2, 'time': 8.80104398727417, 'cx_gates': 312, 'num_gates': 313}","{'depth': 7.403, 'depth_ratio': 0.2961, 'time': 0.914, 'cx_gates': 45.24, 'num_gates': 45.24}",sabre_v020_dive_002,sabre_v020,hex_27,0,2,0
"{'depth': 56, 'depth_ratio': 2.24, 'time': 13.315037965774536, 'cx_gates': 303, 'num_gates': 304}","{'depth': 3.072, 'depth_ratio': 0.1229, 'time': 1.842, 'cx_gates': 32.95, 'num_gates': 32.95}",sabre_v020_dive_003,sabre_v020,hex_27,0,3,0
"{'depth': 56, 'depth_ratio': 2.24, 'time': 17.953983068466187, 'cx_gates': 297, 'num_gates': 298}","{'depth': 3.2, 'depth_ratio': 0.128, 'time': 1.364, 'cx_gates': 13.87, 'num_gates': 13.87}",sabre_v020_dive_004,sabre_v020,hex_27,0,4,0
"{'depth': 56, 'depth_ratio': 2.24, 'time': 22.591596126556396, 'cx_gates': 297, 'num_gates': 298}","{'depth': 2.577, 'depth_ratio': 0.1031, 'time': 1.676, 'cx_gates': 13.76, 'num_gates': 13.76}",sabre_v020_dive_005,sabre_v020,hex_27,0,5,0
"{'depth': 57, 'depth_ratio': 2.28, 'time': 27.550890922546387, 'cx_gates': 324, 'num_gates': 325}","{'depth': 1.327, 'depth_ratio': 0.05307, 'time': 1.353, 'cx_gates': 12.78, 'num_gates': 12.78}",sabre_v020_dive_006,sabre_v020,hex_27,0,6,0
"{'depth': 52, 'depth_ratio': 2.08, 'time': 33.38571524620056, 'cx_gates': 324, 'num_gates': 325}","{'depth': 3.382, 'depth_ratio': 0.1353, 'time': 1.106, 'cx_gates': 41.54, 'num_gates': 41.54}",sabre_v020_dive_007,sabre_v020,hex_27,0,7,0
"{'depth': 52, 'depth_ratio': 2.08, 'time': 37.98558521270752, 'cx_gates': 324, 'num_gates': 325}","{'depth': 3.187, 'depth_ratio': 0.1275, 'time': 1.373, 'cx_gates': 30.91, 'num_gates': 30.91}",sabre_v020_dive_008,sabre_v020,hex_27,0,8,0
"{'depth': 52, 'depth_ratio': 2.08, 'time': 38.857725858688354, 'cx_gates': 267, 'num_gates': 268}","{'depth': 3.059, 'depth_ratio': 0.1224, 'time': 1.911, 'cx_gates': 28.21, 'num_gates': 28.21}",sabre_v020_dive_009,sabre_v020,hex_27,0,9,0
"{'depth': 52, 'depth_ratio': 2.08, 'time': 42.68339395523071, 'cx_gates': 270, 'num_gates': 271}","{'depth': 3.059, 'depth_ratio': 0.1224, 'time': 2.057, 'cx_gates': 26.32, 'num_gates': 26.32}",sabre_v020_dive_010,sabre_v020,hex_27,0,10,0
"{'depth': 53, 'depth_ratio': 2.12, 'time': 79.83101105690002, 'cx_gates': 318, 'num_gates': 319}","{'depth': 3.072, 'depth_ratio': 0.1229, 'time': 5.547, 'cx_gates': 26.33, 'num_gates': 26.33}",sabre_v020_dive_020,sabre_v020,hex_27,0,20,0
"{'depth': 50, 'depth_ratio': 2.0, 'time': 218.21721410751343, 'cx_gates': 282, 'num_gates': 283}","{'depth': 2.366, 'depth_ratio': 0.09466, 'time': 3.306, 'cx_gates': 31.73, 'num_gates': 31.73}",sabre_v020_dive_050,sabre_v020,hex_27,0,50,0
