best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 60, 'depth_ratio': 2.4, 'time': 0.6106753349304199, 'cx_gates': 306, 'num_gates': 307}","{'depth': 4.317, 'depth_ratio': 0.1727, 'time': 0.1375, 'cx_gates': 19.95, 'num_gates': 19.95}",sabre_v020_dive_001,sabre_v020,hex_27,0,1,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 1.1928789615631104, 'cx_gates': 306, 'num_gates': 307}","{'depth': 3.742, 'depth_ratio': 0.1497, 'time': 0.2206, 'cx_gates': 30.89, 'num_gates': 30.89}",sabre_v020_dive_002,sabre_v020,hex_27,0,2,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 1.7050719261169434, 'cx_gates': 294, 'num_gates': 295}","{'depth': 3.441, 'depth_ratio': 0.1376, 'time': 0.3419, 'cx_gates': 25.36, 'num_gates': 25.36}",sabre_v020_dive_003,sabre_v020,hex_27,0,3,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 2.30525803565979, 'cx_gates': 300, 'num_gates': 301}","{'depth': 3.2, 'depth_ratio': 0.128, 'time': 0.5448, 'cx_gates': 36.64, 'num_gates': 36.64}",sabre_v020_dive_004,sabre_v020,hex_27,0,4,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 3.374962091445923, 'cx_gates': 318, 'num_gates': 319}","{'depth': 4.118, 'depth_ratio': 0.1647, 'time': 0.6676, 'cx_gates': 27.79, 'num_gates': 27.79}",sabre_v020_dive_005,sabre_v020,hex_27,0,5,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 4.078710079193115, 'cx_gates': 318, 'num_gates': 319}","{'depth': 4.118, 'depth_ratio': 0.1647, 'time': 0.8404, 'cx_gates': 29.23, 'num_gates': 29.23}",sabre_v020_dive_006,sabre_v020,hex_27,0,6,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 4.69638204574585, 'cx_gates': 318, 'num_gates': 319}","{'depth': 4.118, 'depth_ratio': 0.1647, 'time': 0.9399, 'cx_gates': 44.42, 'num_gates': 44.42}",sabre_v020_dive_007,sabre_v020,hex_27,0,7,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 4.326746225357056, 'cx_gates': 288, 'num_gates': 289}","{'depth': 3.441, 'depth_ratio': 0.1376, 'time': 1.2, 'cx_gates': 33.99, 'num_gates': 33.99}",sabre_v020_dive_008,sabre_v020,hex_27,0,8,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 5.955446004867554, 'cx_gates': 318, 'num_gates': 319}","{'depth': 4.118, 'depth_ratio': 0.1647, 'time': 1.241, 'cx_gates': 29.67, 'num_gates': 29.67}",sabre_v020_dive_009,sabre_v020,hex_27,0,9,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 5.382385969161987, 'cx_gates': 294, 'num_gates': 295}","{'depth': 3.441, 'depth_ratio': 0.1376, 'time': 1.562, 'cx_gates': 39.68, 'num_gates': 39.68}",sabre_v020_dive_010,sabre_v020,hex_27,0,10,0
"{'depth': 60, 'depth_ratio': 2.4, 'time': 10.995086908340454, 'cx_gates': 294, 'num_gates': 295}","{'depth': 2.757, 'depth_ratio': 0.1103, 'time': 2.441, 'cx_gates': 34.73, 'num_gates': 34.73}",sabre_v020_dive_020,sabre_v020,hex_27,0,20,0
"{'depth': 58, 'depth_ratio': 2.32, 'time': 25.36206817626953, 'cx_gates': 273, 'num_gates': 274}","{'depth': 3.382, 'depth_ratio': 0.1353, 'time': 6.521, 'cx_gates': 33.87, 'num_gates': 33.87}",sabre_v020_dive_050,sabre_v020,hex_27,0,50,0
"{'depth': 58, 'depth_ratio': 2.32, 'time': 50.034218311309814, 'cx_gates': 273, 'num_gates': 274}","{'depth': 3.441, 'depth_ratio': 0.1376, 'time': 12.11, 'cx_gates': 33.27, 'num_gates': 33.27}",sabre_v020_dive_100,sabre_v020,hex_27,0,100,0
"{'depth': 58, 'depth_ratio': 2.32, 'time': 249.05902981758118, 'cx_gates': 273, 'num_gates': 274}","{'depth': 3.25, 'depth_ratio': 0.13, 'time': 37.31, 'cx_gates': 19.48, 'num_gates': 19.48}",sabre_v020_dive_500,sabre_v020,hex_27,0,500,0
