best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 27, 'depth_ratio': 2.7, 'time': 0.029404163360595703, 'cx_gates': 30, 'num_gates': 31}","{'depth': 6.0, 'depth_ratio': 0.6, 'time': 0.01465, 'cx_gates': 13.89, 'num_gates': 13.89}",sabre_v020,sabre_v020,hex_127,0
"{'depth': 89, 'depth_ratio': 4.45, 'time': 0.04611992835998535, 'cx_gates': 145, 'num_gates': 146}","{'depth': 7.359, 'depth_ratio': 0.368, 'time': 0.002145, 'cx_gates': 15.81, 'num_gates': 15.81}",sabre_v020,sabre_v020,hex_127,1
"{'depth': 148, 'depth_ratio': 4.93, 'time': 0.06462287902832031, 'cx_gates': 266, 'num_gates': 267}","{'depth': 5.817, 'depth_ratio': 0.1957, 'time': 0.01032, 'cx_gates': 22.01, 'num_gates': 22.01}",sabre_v020,sabre_v020,hex_127,2
"{'depth': 195, 'depth_ratio': 4.88, 'time': 0.09079980850219727, 'cx_gates': 342, 'num_gates': 343}","{'depth': 21.1, 'depth_ratio': 0.5254, 'time': 0.002377, 'cx_gates': 18.45, 'num_gates': 18.45}",sabre_v020,sabre_v020,hex_127,3
"{'depth': 275, 'depth_ratio': 5.5, 'time': 0.1117548942565918, 'cx_gates': 457, 'num_gates': 458}","{'depth': 31.42, 'depth_ratio': 0.6283, 'time': 0.01305, 'cx_gates': 64.45, 'num_gates': 64.45}",sabre_v020,sabre_v020,hex_127,4
"{'depth': 312, 'depth_ratio': 5.2, 'time': 0.14087820053100586, 'cx_gates': 518, 'num_gates': 519}","{'depth': 32.65, 'depth_ratio': 0.5434, 'time': 0.00672, 'cx_gates': 50.83, 'num_gates': 50.83}",sabre_v020,sabre_v020,hex_127,5
"{'depth': 417, 'depth_ratio': 5.96, 'time': 0.18480801582336426, 'cx_gates': 729, 'num_gates': 730}","{'depth': 43.57, 'depth_ratio': 0.6225, 'time': 0.007356, 'cx_gates': 63.23, 'num_gates': 63.23}",sabre_v020,sabre_v020,hex_127,6
"{'depth': 532, 'depth_ratio': 6.65, 'time': 0.1840987205505371, 'cx_gates': 928, 'num_gates': 929}","{'depth': 37.38, 'depth_ratio': 0.4692, 'time': 0.01397, 'cx_gates': 92.69, 'num_gates': 92.69}",sabre_v020,sabre_v020,hex_127,7
"{'depth': 634, 'depth_ratio': 7.04, 'time': 0.23333406448364258, 'cx_gates': 1061, 'num_gates': 1062}","{'depth': 26.9, 'depth_ratio': 0.2995, 'time': 0.01794, 'cx_gates': 67.31, 'num_gates': 67.31}",sabre_v020,sabre_v020,hex_127,8
"{'depth': 648, 'depth_ratio': 6.48, 'time': 0.24106979370117188, 'cx_gates': 1068, 'num_gates': 1069}","{'depth': 38.62, 'depth_ratio': 0.3862, 'time': 0.02201, 'cx_gates': 100.4, 'num_gates': 100.4}",sabre_v020,sabre_v020,hex_127,9
