best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 20, 'depth_ratio': 2.0, 'time': 0.02759408950805664, 'cx_gates': 42, 'num_gates': 43}","{'depth': 1.02, 'depth_ratio': 0.102, 'time': 0.001075, 'cx_gates': 3.286, 'num_gates': 3.286}",sabre_v020_depth,sabre_v020,hex_127,0
"{'depth': 51, 'depth_ratio': 2.55, 'time': 0.04369997978210449, 'cx_gates': 166, 'num_gates': 167}","{'depth': 3.007, 'depth_ratio': 0.1503, 'time': 0.001452, 'cx_gates': 10.67, 'num_gates': 10.67}",sabre_v020_depth,sabre_v020,hex_127,1
"{'depth': 82, 'depth_ratio': 2.73, 'time': 0.05826997756958008, 'cx_gates': 281, 'num_gates': 282}","{'depth': 3.499, 'depth_ratio': 0.1183, 'time': 0.002018, 'cx_gates': 25.5, 'num_gates': 25.5}",sabre_v020_depth,sabre_v020,hex_127,2
"{'depth': 105, 'depth_ratio': 2.62, 'time': 0.09446001052856445, 'cx_gates': 477, 'num_gates': 478}","{'depth': 6.493, 'depth_ratio': 0.163, 'time': 0.00494, 'cx_gates': 40.45, 'num_gates': 40.45}",sabre_v020_depth,sabre_v020,hex_127,3
"{'depth': 140, 'depth_ratio': 2.8, 'time': 0.11145997047424316, 'cx_gates': 559, 'num_gates': 560}","{'depth': 4.883, 'depth_ratio': 0.09765, 'time': 0.004571, 'cx_gates': 39.96, 'num_gates': 39.96}",sabre_v020_depth,sabre_v020,hex_127,4
"{'depth': 170, 'depth_ratio': 2.83, 'time': 0.14090991020202637, 'cx_gates': 770, 'num_gates': 771}","{'depth': 6.337, 'depth_ratio': 0.1046, 'time': 0.01657, 'cx_gates': 77.85, 'num_gates': 77.85}",sabre_v020_depth,sabre_v020,hex_127,5
"{'depth': 198, 'depth_ratio': 2.83, 'time': 0.18044400215148926, 'cx_gates': 1107, 'num_gates': 1108}","{'depth': 8.28, 'depth_ratio': 0.1182, 'time': 0.01551, 'cx_gates': 91.57, 'num_gates': 91.57}",sabre_v020_depth,sabre_v020,hex_127,6
"{'depth': 228, 'depth_ratio': 2.85, 'time': 0.22552204132080078, 'cx_gates': 1510, 'num_gates': 1511}","{'depth': 6.957, 'depth_ratio': 0.08602, 'time': 0.01409, 'cx_gates': 227.4, 'num_gates': 227.4}",sabre_v020_depth,sabre_v020,hex_127,7
"{'depth': 264, 'depth_ratio': 2.93, 'time': 0.24990081787109375, 'cx_gates': 1226, 'num_gates': 1227}","{'depth': 4.792, 'depth_ratio': 0.05418, 'time': 0.01376, 'cx_gates': 132.7, 'num_gates': 132.7}",sabre_v020_depth,sabre_v020,hex_127,8
"{'depth': 290, 'depth_ratio': 2.9, 'time': 0.2937479019165039, 'cx_gates': 1815, 'num_gates': 1816}","{'depth': 9.912, 'depth_ratio': 0.09912, 'time': 0.008621, 'cx_gates': 228.8, 'num_gates': 228.8}",sabre_v020_depth,sabre_v020,hex_127,9
