best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 29, 'depth_ratio': 2.9, 'time': 0.02817988395690918, 'cx_gates': 39, 'num_gates': 40}","{'depth': 4.8, 'depth_ratio': 0.48, 'time': 0.0005388, 'cx_gates': 4.243, 'num_gates': 4.243}",sabre_v020_extended,sabre_v020,hex_127,0
"{'depth': 56, 'depth_ratio': 2.8, 'time': 0.03496217727661133, 'cx_gates': 82, 'num_gates': 83}","{'depth': 14.39, 'depth_ratio': 0.7193, 'time': 0.004216, 'cx_gates': 22.16, 'num_gates': 22.16}",sabre_v020_extended,sabre_v020,hex_127,1
"{'depth': 101, 'depth_ratio': 3.37, 'time': 0.05093502998352051, 'cx_gates': 128, 'num_gates': 129}","{'depth': 6.56, 'depth_ratio': 0.2182, 'time': 0.004288, 'cx_gates': 26.13, 'num_gates': 26.13}",sabre_v020_extended,sabre_v020,hex_127,2
"{'depth': 147, 'depth_ratio': 3.67, 'time': 0.1210029125213623, 'cx_gates': 306, 'num_gates': 307}","{'depth': 8.75, 'depth_ratio': 0.222, 'time': 0.01614, 'cx_gates': 45.2, 'num_gates': 45.2}",sabre_v020_extended,sabre_v020,hex_127,3
"{'depth': 183, 'depth_ratio': 3.66, 'time': 0.10674881935119629, 'cx_gates': 334, 'num_gates': 335}","{'depth': 20.82, 'depth_ratio': 0.4163, 'time': 0.01183, 'cx_gates': 71.94, 'num_gates': 71.94}",sabre_v020_extended,sabre_v020,hex_127,4
"{'depth': 241, 'depth_ratio': 4.02, 'time': 0.12308597564697266, 'cx_gates': 392, 'num_gates': 393}","{'depth': 16.28, 'depth_ratio': 0.2701, 'time': 0.01889, 'cx_gates': 43.37, 'num_gates': 43.37}",sabre_v020_extended,sabre_v020,hex_127,5
"{'depth': 266, 'depth_ratio': 3.8, 'time': 0.1540369987487793, 'cx_gates': 399, 'num_gates': 400}","{'depth': 20.75, 'depth_ratio': 0.2958, 'time': 0.01164, 'cx_gates': 47.27, 'num_gates': 47.27}",sabre_v020_extended,sabre_v020,hex_127,6
"{'depth': 292, 'depth_ratio': 3.65, 'time': 0.16386103630065918, 'cx_gates': 370, 'num_gates': 371}","{'depth': 34.54, 'depth_ratio': 0.4332, 'time': 0.01796, 'cx_gates': 153.4, 'num_gates': 153.4}",sabre_v020_extended,sabre_v020,hex_127,7
"{'depth': 357, 'depth_ratio': 3.97, 'time': 0.1834418773651123, 'cx_gates': 554, 'num_gates': 555}","{'depth': 13.02, 'depth_ratio': 0.1433, 'time': 0.02187, 'cx_gates': 54.33, 'num_gates': 54.33}",sabre_v020_extended,sabre_v020,hex_127,8
"{'depth': 391, 'depth_ratio': 3.91, 'time': 0.22712182998657227, 'cx_gates': 621, 'num_gates': 622}","{'depth': 12.58, 'depth_ratio': 0.1258, 'time': 0.02455, 'cx_gates': 110.4, 'num_gates': 110.4}",sabre_v020_extended,sabre_v020,hex_127,9
