best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 818, 'depth_ratio': 8.18, 'time': 2.013712167739868, 'cx_gates': 2274, 'num_gates': 2774}","{'depth': 9.5, 'depth_ratio': 0.095, 'time': 0.09747, 'cx_gates': 24.0, 'num_gates': 24.0}",sabre_v020_look_01_beam_010,sabre_v020,hex_27,0,10,1
"{'depth': 892, 'depth_ratio': 8.92, 'time': 2.0469541549682617, 'cx_gates': 2391, 'num_gates': 2891}","{'depth': 160.5, 'depth_ratio': 1.605, 'time': 0.2589, 'cx_gates': 217.5, 'num_gates': 217.5}",sabre_v020_look_01_beam_010,sabre_v020,hex_27,1,10,1
"{'depth': 879, 'depth_ratio': 8.79, 'time': 5.232791423797607, 'cx_gates': 2301, 'num_gates': 2801}","{'depth': 17.0, 'depth_ratio': 0.17, 'time': 0.3551, 'cx_gates': 21.0, 'num_gates': 21.0}",sabre_v020_look_02_beam_010,sabre_v020,hex_27,0,10,2
"{'depth': 907, 'depth_ratio': 9.07, 'time': 5.734924554824829, 'cx_gates': 2220, 'num_gates': 2720}","{'depth': 174.0, 'depth_ratio': 1.74, 'time': 0.997, 'cx_gates': 124.5, 'num_gates': 124.5}",sabre_v020_look_02_beam_010,sabre_v020,hex_27,1,10,2
"{'depth': 796, 'depth_ratio': 7.96, 'time': 14.302789449691772, 'cx_gates': 2190, 'num_gates': 2690}","{'depth': 13.5, 'depth_ratio': 0.135, 'time': 2.879, 'cx_gates': 12.0, 'num_gates': 12.0}",sabre_v020_look_03_beam_010,sabre_v020,hex_27,0,10,3
"{'depth': 820, 'depth_ratio': 8.2, 'time': 8.103128433227539, 'cx_gates': 2211, 'num_gates': 2711}","{'depth': 161.5, 'depth_ratio': 1.615, 'time': 1.219, 'cx_gates': 204.0, 'num_gates': 204.0}",sabre_v020_look_03_beam_010,sabre_v020,hex_27,1,10,3
"{'depth': 780, 'depth_ratio': 7.8, 'time': 11.583922147750854, 'cx_gates': 2151, 'num_gates': 2651}","{'depth': 44.0, 'depth_ratio': 0.44, 'time': 0.2135, 'cx_gates': 93.0, 'num_gates': 93.0}",sabre_v020_look_04_beam_010,sabre_v020,hex_27,0,10,4
"{'depth': 810, 'depth_ratio': 8.1, 'time': 11.844586372375488, 'cx_gates': 2178, 'num_gates': 2678}","{'depth': 185.5, 'depth_ratio': 1.855, 'time': 1.771, 'cx_gates': 192.0, 'num_gates': 192.0}",sabre_v020_look_04_beam_010,sabre_v020,hex_27,1,10,4
"{'depth': 822, 'depth_ratio': 8.22, 'time': 14.807017087936401, 'cx_gates': 2259, 'num_gates': 2759}","{'depth': 0, 'depth_ratio': 0, 'time': 5.003, 'cx_gates': 42.0, 'num_gates': 42.0}",sabre_v020_look_05_beam_010,sabre_v020,hex_27,0,10,5
"{'depth': 805, 'depth_ratio': 8.05, 'time': 23.635993003845215, 'cx_gates': 2130, 'num_gates': 2630}","{'depth': 192.5, 'depth_ratio': 1.925, 'time': 6.688, 'cx_gates': 207.0, 'num_gates': 207.0}",sabre_v020_look_05_beam_010,sabre_v020,hex_27,1,10,5
"{'depth': 821, 'depth_ratio': 8.21, 'time': 20.837889432907104, 'cx_gates': 2220, 'num_gates': 2720}","{'depth': 11.0, 'depth_ratio': 0.11, 'time': 0.1422, 'cx_gates': 24.0, 'num_gates': 24.0}",sabre_v020_look_06_beam_010,sabre_v020,hex_27,0,10,6
"{'depth': 830, 'depth_ratio': 8.3, 'time': 19.04755735397339, 'cx_gates': 2190, 'num_gates': 2690}","{'depth': 171.0, 'depth_ratio': 1.71, 'time': 2.808, 'cx_gates': 241.5, 'num_gates': 241.5}",sabre_v020_look_06_beam_010,sabre_v020,hex_27,1,10,6
"{'depth': 810, 'depth_ratio': 8.1, 'time': 24.726988315582275, 'cx_gates': 2196, 'num_gates': 2696}","{'depth': 24.5, 'depth_ratio': 0.245, 'time': 0.05154, 'cx_gates': 24.0, 'num_gates': 24.0}",sabre_v020_look_07_beam_010,sabre_v020,hex_27,0,10,7
"{'depth': 833, 'depth_ratio': 8.33, 'time': 22.663819074630737, 'cx_gates': 2196, 'num_gates': 2696}","{'depth': 187.0, 'depth_ratio': 1.87, 'time': 2.418, 'cx_gates': 187.5, 'num_gates': 187.5}",sabre_v020_look_07_beam_010,sabre_v020,hex_27,1,10,7
