best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 775, 'depth_ratio': 7.75, 'time': 1.5050129890441895, 'cx_gates': 2265, 'num_gates': 2765}","{'depth': 18.58, 'depth_ratio': 0.1858, 'time': 0.03634, 'cx_gates': 62.65, 'num_gates': 62.65}",sabre_v020_dive_001,sabre_v020,hex_27,0,1,0
"{'depth': 780, 'depth_ratio': 7.8, 'time': 1.4470200538635254, 'cx_gates': 2256, 'num_gates': 2756}","{'depth': 144.3, 'depth_ratio': 1.443, 'time': 0.12, 'cx_gates': 124.9, 'num_gates': 124.9}",sabre_v020_dive_001,sabre_v020,hex_27,1,1,0
"{'depth': 798, 'depth_ratio': 7.98, 'time': 2.2874722480773926, 'cx_gates': 2289, 'num_gates': 2789}","{'depth': 135.4, 'depth_ratio': 1.354, 'time': 0.1805, 'cx_gates': 176.2, 'num_gates': 176.2}",sabre_v020_dive_002,sabre_v020,hex_27,0,2,0
"{'depth': 778, 'depth_ratio': 7.78, 'time': 2.145885944366455, 'cx_gates': 2280, 'num_gates': 2780}","{'depth': 7.965, 'depth_ratio': 0.07965, 'time': 0.0992, 'cx_gates': 63.11, 'num_gates': 63.11}",sabre_v020_dive_002,sabre_v020,hex_27,1,2,0
"{'depth': 750, 'depth_ratio': 7.5, 'time': 2.7743661403656006, 'cx_gates': 2160, 'num_gates': 2660}","{'depth': 18.37, 'depth_ratio': 0.1837, 'time': 0.02829, 'cx_gates': 68.0, 'num_gates': 68.0}",sabre_v020_dive_003,sabre_v020,hex_27,0,3,0
"{'depth': 740, 'depth_ratio': 7.4, 'time': 2.675550937652588, 'cx_gates': 2214, 'num_gates': 2714}","{'depth': 23.74, 'depth_ratio': 0.2374, 'time': 0.07944, 'cx_gates': 60.64, 'num_gates': 60.64}",sabre_v020_dive_003,sabre_v020,hex_27,1,3,0
"{'depth': 750, 'depth_ratio': 7.5, 'time': 3.383524179458618, 'cx_gates': 2160, 'num_gates': 2660}","{'depth': 17.61, 'depth_ratio': 0.1761, 'time': 0.04429, 'cx_gates': 60.58, 'num_gates': 60.58}",sabre_v020_dive_004,sabre_v020,hex_27,0,4,0
"{'depth': 763, 'depth_ratio': 7.63, 'time': 3.2082271575927734, 'cx_gates': 2208, 'num_gates': 2708}","{'depth': 13.91, 'depth_ratio': 0.1391, 'time': 0.07303, 'cx_gates': 48.41, 'num_gates': 48.41}",sabre_v020_dive_004,sabre_v020,hex_27,1,4,0
"{'depth': 784, 'depth_ratio': 7.84, 'time': 3.9740240573883057, 'cx_gates': 2259, 'num_gates': 2759}","{'depth': 10.46, 'depth_ratio': 0.1046, 'time': 0.115, 'cx_gates': 52.29, 'num_gates': 52.29}",sabre_v020_dive_005,sabre_v020,hex_27,0,5,0
"{'depth': 754, 'depth_ratio': 7.54, 'time': 4.094535827636719, 'cx_gates': 2205, 'num_gates': 2705}","{'depth': 12.32, 'depth_ratio': 0.1232, 'time': 0.07421, 'cx_gates': 29.48, 'num_gates': 29.48}",sabre_v020_dive_005,sabre_v020,hex_27,1,5,0
"{'depth': 781, 'depth_ratio': 7.81, 'time': 4.86204719543457, 'cx_gates': 2205, 'num_gates': 2705}","{'depth': 10.57, 'depth_ratio': 0.1057, 'time': 0.1241, 'cx_gates': 66.61, 'num_gates': 66.61}",sabre_v020_dive_006,sabre_v020,hex_27,0,6,0
"{'depth': 754, 'depth_ratio': 7.54, 'time': 4.6623969078063965, 'cx_gates': 2205, 'num_gates': 2705}","{'depth': 11.26, 'depth_ratio': 0.1126, 'time': 0.1151, 'cx_gates': 30.91, 'num_gates': 30.91}",sabre_v020_dive_006,sabre_v020,hex_27,1,6,0
"{'depth': 781, 'depth_ratio': 7.81, 'time': 5.520092964172363, 'cx_gates': 2205, 'num_gates': 2705}","{'depth': 11.92, 'depth_ratio': 0.1192, 'time': 0.1075, 'cx_gates': 67.71, 'num_gates': 67.71}",sabre_v020_dive_007,sabre_v020,hex_27,0,7,0
"{'depth': 754, 'depth_ratio': 7.54, 'time': 5.278717994689941, 'cx_gates': 2205, 'num_gates': 2705}","{'depth': 12.89, 'depth_ratio': 0.1289, 'time': 0.06839, 'cx_gates': 37.02, 'num_gates': 37.02}",sabre_v020_dive_007,sabre_v020,hex_27,1,7,0
"{'depth': 768, 'depth_ratio': 7.68, 'time': 5.966768980026245, 'cx_gates': 2310, 'num_gates': 2810}","{'depth': 12.58, 'depth_ratio': 0.1258, 'time': 0.08339, 'cx_gates': 69.28, 'num_gates': 69.28}",sabre_v020_dive_008,sabre_v020,hex_27,0,8,0
"{'depth': 754, 'depth_ratio': 7.54, 'time': 5.92317271232605, 'cx_gates': 2205, 'num_gates': 2705}","{'depth': 12.89, 'depth_ratio': 0.1289, 'time': 0.07989, 'cx_gates': 37.02, 'num_gates': 37.02}",sabre_v020_dive_008,sabre_v020,hex_27,1,8,0
"{'depth': 780, 'depth_ratio': 7.8, 'time': 6.548681020736694, 'cx_gates': 2202, 'num_gates': 2702}","{'depth': 14.74, 'depth_ratio': 0.1474, 'time': 0.0649, 'cx_gates': 39.55, 'num_gates': 39.55}",sabre_v020_dive_009,sabre_v020,hex_27,0,9,0
"{'depth': 754, 'depth_ratio': 7.54, 'time': 6.616285085678101, 'cx_gates': 2205, 'num_gates': 2705}","{'depth': 11.89, 'depth_ratio': 0.1189, 'time': 0.1023, 'cx_gates': 46.61, 'num_gates': 46.61}",sabre_v020_dive_009,sabre_v020,hex_27,1,9,0
"{'depth': 780, 'depth_ratio': 7.8, 'time': 7.174182891845703, 'cx_gates': 2202, 'num_gates': 2702}","{'depth': 14.35, 'depth_ratio': 0.1435, 'time': 0.08484, 'cx_gates': 48.95, 'num_gates': 48.95}",sabre_v020_dive_010,sabre_v020,hex_27,0,10,0
"{'depth': 750, 'depth_ratio': 7.5, 'time': 7.1726908683776855, 'cx_gates': 2238, 'num_gates': 2738}","{'depth': 12.92, 'depth_ratio': 0.1292, 'time': 0.08825, 'cx_gates': 49.53, 'num_gates': 49.53}",sabre_v020_dive_010,sabre_v020,hex_27,1,10,0
"{'depth': 763, 'depth_ratio': 7.63, 'time': 7.8511340618133545, 'cx_gates': 2181, 'num_gates': 2681}","{'depth': 19.42, 'depth_ratio': 0.1942, 'time': 0.08461, 'cx_gates': 54.99, 'num_gates': 54.99}",sabre_v020_dive_011,sabre_v020,hex_27,0,11,0
"{'depth': 749, 'depth_ratio': 7.49, 'time': 7.784525156021118, 'cx_gates': 2109, 'num_gates': 2609}","{'depth': 9.411, 'depth_ratio': 0.09411, 'time': 0.09467, 'cx_gates': 78.63, 'num_gates': 78.63}",sabre_v020_dive_011,sabre_v020,hex_27,1,11,0
"{'depth': 775, 'depth_ratio': 7.75, 'time': 8.350812911987305, 'cx_gates': 2316, 'num_gates': 2816}","{'depth': 14.08, 'depth_ratio': 0.1408, 'time': 0.1255, 'cx_gates': 48.47, 'num_gates': 48.47}",sabre_v020_dive_012,sabre_v020,hex_27,0,12,0
"{'depth': 749, 'depth_ratio': 7.49, 'time': 8.418807029724121, 'cx_gates': 2109, 'num_gates': 2609}","{'depth': 14.48, 'depth_ratio': 0.1448, 'time': 0.09535, 'cx_gates': 73.86, 'num_gates': 73.86}",sabre_v020_dive_012,sabre_v020,hex_27,1,12,0
"{'depth': 766, 'depth_ratio': 7.66, 'time': 9.069203853607178, 'cx_gates': 2178, 'num_gates': 2678}","{'depth': 17.83, 'depth_ratio': 0.1783, 'time': 0.128, 'cx_gates': 61.32, 'num_gates': 61.32}",sabre_v020_dive_013,sabre_v020,hex_27,0,13,0
