best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead

"{'depth': 818, 'depth_ratio': 8.18, 'time': 3.688232421875, 'cx_gates': 2274, 'num_gates': 2774}","{'depth': 12.5, 'depth_ratio': 0.125, 'time': 0.00779, 'cx_gates': 30.0, 'num_gates': 30.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,0,1,10

"{'depth': 892, 'depth_ratio': 8.92, 'time': 4.0082314014434814, 'cx_gates': 2391, 'num_gates': 2891}","{'depth': 160.5, 'depth_ratio': 1.605, 'time': 1.008, 'cx_gates': 217.5, 'num_gates': 217.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,1,1,10

"{'depth': 836, 'depth_ratio': 8.36, 'time': 6.07723593711853, 'cx_gates': 2214, 'num_gates': 2714}","{'depth': 14.0, 'depth_ratio': 0.14, 'time': 0.08686, 'cx_gates': 21.0, 'num_gates': 21.0}",sabre_v020_look_010_beam_002,sabre_v020,hex_27,0,2,10

"{'depth': 875, 'depth_ratio': 8.75, 'time': 5.794776201248169, 'cx_gates': 2364, 'num_gates': 2864}","{'depth': 171.5, 'depth_ratio': 1.715, 'time': 1.396, 'cx_gates': 211.5, 'num_gates': 211.5}",sabre_v020_look_010_beam_002,sabre_v020,hex_27,1,2,10

"{'depth': 842, 'depth_ratio': 8.42, 'time': 7.875079154968262, 'cx_gates': 2190, 'num_gates': 2690}","{'depth': 10.5, 'depth_ratio': 0.105, 'time': 0.1902, 'cx_gates': 15.0, 'num_gates': 15.0}",sabre_v020_look_010_beam_003,sabre_v020,hex_27,0,3,10

"{'depth': 796, 'depth_ratio': 7.96, 'time': 8.22869348526001, 'cx_gates': 2127, 'num_gates': 2627}","{'depth': 221.0, 'depth_ratio': 2.21, 'time': 1.593, 'cx_gates': 67.5, 'num_gates': 67.5}",sabre_v020_look_010_beam_003,sabre_v020,hex_27,1,3,10

"{'depth': 825, 'depth_ratio': 8.25, 'time': 9.623186111450195, 'cx_gates': 2124, 'num_gates': 2624}","{'depth': 22.0, 'depth_ratio': 0.22, 'time': 0.1101, 'cx_gates': 25.5, 'num_gates': 25.5}",sabre_v020_look_010_beam_004,sabre_v020,hex_27,0,4,10

"{'depth': 863, 'depth_ratio': 8.63, 'time': 9.539689064025879, 'cx_gates': 2193, 'num_gates': 2693}","{'depth': 193.0, 'depth_ratio': 1.93, 'time': 5.586, 'cx_gates': 147.0, 'num_gates': 147.0}",sabre_v020_look_010_beam_004,sabre_v020,hex_27,1,4,10

"{'depth': 843, 'depth_ratio': 8.43, 'time': 13.193770408630371, 'cx_gates': 2157, 'num_gates': 2657}","{'depth': 15.0, 'depth_ratio': 0.15, 'time': 0.2117, 'cx_gates': 24.0, 'num_gates': 24.0}",sabre_v020_look_010_beam_005,sabre_v020,hex_27,0,5,10

"{'depth': 863, 'depth_ratio': 8.63, 'time': 13.424760103225708, 'cx_gates': 2238, 'num_gates': 2738}","{'depth': 167.5, 'depth_ratio': 1.675, 'time': 4.207, 'cx_gates': 175.5, 'num_gates': 175.5}",sabre_v020_look_010_beam_005,sabre_v020,hex_27,1,5,10

"{'depth': 800, 'depth_ratio': 8.0, 'time': 25.89917540550232, 'cx_gates': 2157, 'num_gates': 2657}","{'depth': 28.5, 'depth_ratio': 0.285, 'time': 3.905, 'cx_gates': 25.5, 'num_gates': 25.5}",sabre_v020_look_010_beam_006,sabre_v020,hex_27,0,6,10

"{'depth': 835, 'depth_ratio': 8.35, 'time': 17.361578702926636, 'cx_gates': 2202, 'num_gates': 2702}","{'depth': 182.5, 'depth_ratio': 1.825, 'time': 0.8637, 'cx_gates': 153.0, 'num_gates': 153.0}",sabre_v020_look_010_beam_006,sabre_v020,hex_27,1,6,10

