best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 33, 'depth_ratio': 6.6, 'time': 0.05642080307006836, 'cx_gates': 75, 'num_gates': 100}","{'depth': 13.21, 'depth_ratio': 2.642, 'time': 0.00101, 'cx_gates': 12.5, 'num_gates': 12.5}",sabre_v020,sabre_v020,hex_27,0
"{'depth': 48, 'depth_ratio': 9.6, 'time': 0.05719614028930664, 'cx_gates': 132, 'num_gates': 157}","{'depth': 8.795, 'depth_ratio': 1.759, 'time': 0.3421, 'cx_gates': 12.0, 'num_gates': 12.0}",sabre_v020,sabre_v020,hex_27,1
"{'depth': 39, 'depth_ratio': 7.8, 'time': 0.05894303321838379, 'cx_gates': 84, 'num_gates': 109}","{'depth': 7.111, 'depth_ratio': 1.422, 'time': 0.002135, 'cx_gates': 13.6, 'num_gates': 13.6}",sabre_v020,sabre_v020,hex_27,2
"{'depth': 29, 'depth_ratio': 5.8, 'time': 0.05537104606628418, 'cx_gates': 75, 'num_gates': 100}","{'depth': 11.43, 'depth_ratio': 2.285, 'time': 0.002798, 'cx_gates': 17.35, 'num_gates': 17.35}",sabre_v020,sabre_v020,hex_27,3
"{'depth': 46, 'depth_ratio': 9.2, 'time': 0.06455183029174805, 'cx_gates': 117, 'num_gates': 142}","{'depth': 9.222, 'depth_ratio': 1.844, 'time': 0.002934, 'cx_gates': 12.59, 'num_gates': 12.59}",sabre_v020,sabre_v020,hex_27,4
"{'depth': 78, 'depth_ratio': 7.8, 'time': 0.11406588554382324, 'cx_gates': 156, 'num_gates': 206}","{'depth': 15.66, 'depth_ratio': 1.566, 'time': 0.007511, 'cx_gates': 20.56, 'num_gates': 20.56}",sabre_v020,sabre_v020,hex_27,5
"{'depth': 98, 'depth_ratio': 9.8, 'time': 0.11239004135131836, 'cx_gates': 240, 'num_gates': 290}","{'depth': 2.638, 'depth_ratio': 0.2638, 'time': 0.005243, 'cx_gates': 34.62, 'num_gates': 34.62}",sabre_v020,sabre_v020,hex_27,6
"{'depth': 78, 'depth_ratio': 7.8, 'time': 0.1161489486694336, 'cx_gates': 183, 'num_gates': 233}","{'depth': 7.859, 'depth_ratio': 0.7859, 'time': 0.004317, 'cx_gates': 8.777, 'num_gates': 8.777}",sabre_v020,sabre_v020,hex_27,7
"{'depth': 81, 'depth_ratio': 8.1, 'time': 0.11777305603027344, 'cx_gates': 204, 'num_gates': 254}","{'depth': 14.09, 'depth_ratio': 1.409, 'time': 0.003744, 'cx_gates': 23.62, 'num_gates': 23.62}",sabre_v020,sabre_v020,hex_27,8
"{'depth': 83, 'depth_ratio': 8.3, 'time': 0.10897088050842285, 'cx_gates': 192, 'num_gates': 242}","{'depth': 9.261, 'depth_ratio': 0.9261, 'time': 0.3104, 'cx_gates': 11.54, 'num_gates': 11.54}",sabre_v020,sabre_v020,hex_27,9
