best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 33, 'depth_ratio': 6.6, 'time': 0.29611778259277344, 'cx_gates': 69, 'num_gates': 94}","{'depth': 6.0, 'depth_ratio': 1.2, 'time': 0.09575, 'cx_gates': 9.0, 'num_gates': 9.0}",sabre_v020_look_05_beam_010,sabre_v020,hex_27,0,10,5
"{'depth': 47, 'depth_ratio': 9.4, 'time': 0.5948541164398193, 'cx_gates': 114, 'num_gates': 139}","{'depth': 4.5, 'depth_ratio': 0.9, 'time': 0.01222, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_05_beam_010,sabre_v020,hex_27,1,10,5
"{'depth': 36, 'depth_ratio': 7.2, 'time': 0.39820241928100586, 'cx_gates': 72, 'num_gates': 97}","{'depth': 0, 'depth_ratio': 0, 'time': 0.02229, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_v020_look_05_beam_010,sabre_v020,hex_27,2,10,5
"{'depth': 37, 'depth_ratio': 7.4, 'time': 0.4856395721435547, 'cx_gates': 93, 'num_gates': 118}","{'depth': 7.0, 'depth_ratio': 1.4, 'time': 0.04099, 'cx_gates': 4.5, 'num_gates': 4.5}",sabre_v020_look_05_beam_010,sabre_v020,hex_27,3,10,5
"{'depth': 29, 'depth_ratio': 5.8, 'time': 0.4342498779296875, 'cx_gates': 63, 'num_gates': 88}","{'depth': 13.0, 'depth_ratio': 2.6, 'time': 0.01555, 'cx_gates': 39.0, 'num_gates': 39.0}",sabre_v020_look_05_beam_010,sabre_v020,hex_27,4,10,5
"{'depth': 62, 'depth_ratio': 6.2, 'time': 0.8907358646392822, 'cx_gates': 156, 'num_gates': 206}","{'depth': 2.5, 'depth_ratio': 0.25, 'time': 0.04609, 'cx_gates': 9.0, 'num_gates': 9.0}",sabre_v020_look_05_beam_010,sabre_v020,hex_27,5,10,5
"{'depth': 71, 'depth_ratio': 7.1, 'time': 0.9740350246429443, 'cx_gates': 183, 'num_gates': 233}","{'depth': 6.5, 'depth_ratio': 0.65, 'time': 0.05138, 'cx_gates': 13.5, 'num_gates': 13.5}",sabre_v020_look_05_beam_010,sabre_v020,hex_27,6,10,5
"{'depth': 83, 'depth_ratio': 8.3, 'time': 2.1341910362243652, 'cx_gates': 171, 'num_gates': 221}","{'depth': 10.0, 'depth_ratio': 1.0, 'time': 0.691, 'cx_gates': 21.0, 'num_gates': 21.0}",sabre_v020_look_05_beam_010,sabre_v020,hex_27,7,10,5
"{'depth': 70, 'depth_ratio': 7.0, 'time': 0.9912340641021729, 'cx_gates': 204, 'num_gates': 254}","{'depth': 20.0, 'depth_ratio': 2.0, 'time': 0.1504, 'cx_gates': 18.0, 'num_gates': 18.0}",sabre_v020_look_05_beam_010,sabre_v020,hex_27,8,10,5
"{'depth': 86, 'depth_ratio': 8.6, 'time': 1.120133876800537, 'cx_gates': 228, 'num_gates': 278}","{'depth': 5.5, 'depth_ratio': 0.55, 'time': 0.06642, 'cx_gates': 33.0, 'num_gates': 33.0}",sabre_v020_look_05_beam_010,sabre_v020,hex_27,9,10,5
