best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 33, 'depth_ratio': 6.6, 'time': 0.05734705924987793, 'cx_gates': 87, 'num_gates': 112}","{'depth': 10.55, 'depth_ratio': 2.111, 'time': 0.002929, 'cx_gates': 11.6, 'num_gates': 11.6}",sabre_v020_extended,sabre_v020,hex_27,0
"{'depth': 48, 'depth_ratio': 9.6, 'time': 0.0573272705078125, 'cx_gates': 72, 'num_gates': 97}","{'depth': 5.238, 'depth_ratio': 1.048, 'time': 0.002303, 'cx_gates': 6.177, 'num_gates': 6.177}",sabre_v020_extended,sabre_v020,hex_27,1
"{'depth': 34, 'depth_ratio': 6.8, 'time': 0.05426311492919922, 'cx_gates': 66, 'num_gates': 91}","{'depth': 6.406, 'depth_ratio': 1.281, 'time': 0.001627, 'cx_gates': 12.64, 'num_gates': 12.64}",sabre_v020_extended,sabre_v020,hex_27,2
"{'depth': 28, 'depth_ratio': 5.6, 'time': 0.043683767318725586, 'cx_gates': 36, 'num_gates': 61}","{'depth': 8.57, 'depth_ratio': 1.714, 'time': 0.003738, 'cx_gates': 5.879, 'num_gates': 5.879}",sabre_v020_extended,sabre_v020,hex_27,3
"{'depth': 50, 'depth_ratio': 10.0, 'time': 0.0605771541595459, 'cx_gates': 90, 'num_gates': 115}","{'depth': 2.828, 'depth_ratio': 0.5657, 'time': 0.303, 'cx_gates': 6.119, 'num_gates': 6.119}",sabre_v020_extended,sabre_v020,hex_27,4
"{'depth': 74, 'depth_ratio': 7.4, 'time': 0.11204123497009277, 'cx_gates': 159, 'num_gates': 209}","{'depth': 17.31, 'depth_ratio': 1.731, 'time': 0.002809, 'cx_gates': 10.29, 'num_gates': 10.29}",sabre_v020_extended,sabre_v020,hex_27,5
"{'depth': 76, 'depth_ratio': 7.6, 'time': 0.11394476890563965, 'cx_gates': 186, 'num_gates': 236}","{'depth': 11.64, 'depth_ratio': 1.164, 'time': 0.003508, 'cx_gates': 21.01, 'num_gates': 21.01}",sabre_v020_extended,sabre_v020,hex_27,6
"{'depth': 78, 'depth_ratio': 7.8, 'time': 0.1047520637512207, 'cx_gates': 123, 'num_gates': 173}","{'depth': 11.02, 'depth_ratio': 1.102, 'time': 0.00288, 'cx_gates': 14.62, 'num_gates': 14.62}",sabre_v020_extended,sabre_v020,hex_27,7
"{'depth': 95, 'depth_ratio': 9.5, 'time': 0.11580896377563477, 'cx_gates': 144, 'num_gates': 194}","{'depth': 3.816, 'depth_ratio': 0.3816, 'time': 0.002921, 'cx_gates': 24.1, 'num_gates': 24.1}",sabre_v020_extended,sabre_v020,hex_27,8
"{'depth': 75, 'depth_ratio': 7.5, 'time': 0.11233282089233398, 'cx_gates': 135, 'num_gates': 185}","{'depth': 10.76, 'depth_ratio': 1.076, 'time': 0.003037, 'cx_gates': 22.48, 'num_gates': 22.48}",sabre_v020_extended,sabre_v020,hex_27,9
