best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 37, 'depth_ratio': 7.4, 'time': 0.11252641677856445, 'cx_gates': 81, 'num_gates': 106}","{'depth': 11.0, 'depth_ratio': 2.2, 'time': 0.005789, 'cx_gates': 4.5, 'num_gates': 4.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,0,1,10
"{'depth': 26, 'depth_ratio': 5.2, 'time': 0.13753294944763184, 'cx_gates': 75, 'num_gates': 100}","{'depth': 15.5, 'depth_ratio': 3.1, 'time': 0.004008, 'cx_gates': 12.0, 'num_gates': 12.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,1,1,10
"{'depth': 29, 'depth_ratio': 5.8, 'time': 0.12751984596252441, 'cx_gates': 63, 'num_gates': 88}","{'depth': 0.5, 'depth_ratio': 0.1, 'time': 0.003002, 'cx_gates': 3.0, 'num_gates': 3.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,2,1,10
"{'depth': 42, 'depth_ratio': 8.4, 'time': 0.16402578353881836, 'cx_gates': 120, 'num_gates': 145}","{'depth': 12.0, 'depth_ratio': 2.4, 'time': 0.004188, 'cx_gates': 1.5, 'num_gates': 1.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,3,1,10
"{'depth': 30, 'depth_ratio': 6.0, 'time': 0.15481209754943848, 'cx_gates': 84, 'num_gates': 109}","{'depth': 9.0, 'depth_ratio': 1.8, 'time': 0.02443, 'cx_gates': 30.0, 'num_gates': 30.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,4,1,10
"{'depth': 64, 'depth_ratio': 6.4, 'time': 0.2491157054901123, 'cx_gates': 171, 'num_gates': 221}","{'depth': 6.0, 'depth_ratio': 0.6, 'time': 0.02054, 'cx_gates': 0, 'num_gates': 0}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,5,1,10
"{'depth': 81, 'depth_ratio': 8.1, 'time': 0.29770708084106445, 'cx_gates': 210, 'num_gates': 260}","{'depth': 12.0, 'depth_ratio': 1.2, 'time': 0.02015, 'cx_gates': 22.5, 'num_gates': 22.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,6,1,10
"{'depth': 73, 'depth_ratio': 7.3, 'time': 0.2756168842315674, 'cx_gates': 189, 'num_gates': 239}","{'depth': 12.5, 'depth_ratio': 1.25, 'time': 0.01248, 'cx_gates': 9.0, 'num_gates': 9.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,7,1,10
"{'depth': 80, 'depth_ratio': 8.0, 'time': 0.3072829246520996, 'cx_gates': 192, 'num_gates': 242}","{'depth': 17.5, 'depth_ratio': 1.75, 'time': 0.5273, 'cx_gates': 10.5, 'num_gates': 10.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,8,1,10
"{'depth': 69, 'depth_ratio': 6.9, 'time': 0.3254885673522949, 'cx_gates': 192, 'num_gates': 242}","{'depth': 21.5, 'depth_ratio': 2.15, 'time': 0.6168, 'cx_gates': 9.0, 'num_gates': 9.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,9,1,10
"{'depth': 106, 'depth_ratio': 7.07, 'time': 0.4711570739746094, 'cx_gates': 276, 'num_gates': 351}","{'depth': 29.0, 'depth_ratio': 1.93, 'time': 0.003534, 'cx_gates': 30.0, 'num_gates': 30.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,10,1,10
"{'depth': 125, 'depth_ratio': 8.33, 'time': 0.4490818977355957, 'cx_gates': 324, 'num_gates': 399}","{'depth': 15.5, 'depth_ratio': 1.035, 'time': 0.06203, 'cx_gates': 49.5, 'num_gates': 49.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,11,1,10
"{'depth': 108, 'depth_ratio': 7.2, 'time': 0.46337223052978516, 'cx_gates': 282, 'num_gates': 357}","{'depth': 14.0, 'depth_ratio': 0.935, 'time': 0.0184, 'cx_gates': 31.5, 'num_gates': 31.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,12,1,10
"{'depth': 126, 'depth_ratio': 8.4, 'time': 0.5096597671508789, 'cx_gates': 339, 'num_gates': 414}","{'depth': 33.0, 'depth_ratio': 2.2, 'time': 0.01303, 'cx_gates': 34.5, 'num_gates': 34.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,13,1,10
"{'depth': 114, 'depth_ratio': 7.6, 'time': 0.4311544895172119, 'cx_gates': 312, 'num_gates': 387}","{'depth': 18.5, 'depth_ratio': 1.235, 'time': 0.02878, 'cx_gates': 12.0, 'num_gates': 12.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,14,1,10
"{'depth': 140, 'depth_ratio': 7.0, 'time': 0.5786099433898926, 'cx_gates': 378, 'num_gates': 478}","{'depth': 20.5, 'depth_ratio': 1.025, 'time': 0.03633, 'cx_gates': 28.5, 'num_gates': 28.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,15,1,10
"{'depth': 142, 'depth_ratio': 7.1, 'time': 0.5650582313537598, 'cx_gates': 402, 'num_gates': 502}","{'depth': 12.0, 'depth_ratio': 0.6, 'time': 0.01324, 'cx_gates': 19.5, 'num_gates': 19.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,16,1,10
"{'depth': 161, 'depth_ratio': 8.05, 'time': 1.761206865310669, 'cx_gates': 399, 'num_gates': 499}","{'depth': 10.0, 'depth_ratio': 0.5, 'time': 0.5447, 'cx_gates': 67.5, 'num_gates': 67.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,17,1,10
"{'depth': 169, 'depth_ratio': 8.45, 'time': 0.7203190326690674, 'cx_gates': 516, 'num_gates': 616}","{'depth': 8.0, 'depth_ratio': 0.4, 'time': 0.02934, 'cx_gates': 34.5, 'num_gates': 34.5}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,18,1,10
"{'depth': 168, 'depth_ratio': 8.4, 'time': 0.6606316566467285, 'cx_gates': 471, 'num_gates': 571}","{'depth': 38.5, 'depth_ratio': 1.925, 'time': 0.06052, 'cx_gates': 18.0, 'num_gates': 18.0}",sabre_v020_look_010_beam_001,sabre_v020,hex_27,19,1,10
