best_data,std_dev,routing pass,layout pass,coupling map,circuit label,beam width,look ahead
"{'depth': 38, 'depth_ratio': 7.6, 'time': 0.03599715232849121, 'cx_gates': 102, 'num_gates': 127}","{'depth': 15.27, 'depth_ratio': 3.053, 'time': 0.0004413, 'cx_gates': 16.1, 'num_gates': 16.1}",sabre_v045,sabre_v045,hex_27,0,1,0
"{'depth': 34, 'depth_ratio': 6.8, 'time': 0.03635406494140625, 'cx_gates': 66, 'num_gates': 91}","{'depth': 17.3, 'depth_ratio': 3.461, 'time': 0.003375, 'cx_gates': 13.23, 'num_gates': 13.23}",sabre_v045,sabre_v045,hex_27,1,1,0
"{'depth': 30, 'depth_ratio': 6.0, 'time': 0.03596329689025879, 'cx_gates': 81, 'num_gates': 106}","{'depth': 18.24, 'depth_ratio': 3.647, 'time': 0.001442, 'cx_gates': 16.21, 'num_gates': 16.21}",sabre_v045,sabre_v045,hex_27,2,1,0
"{'depth': 31, 'depth_ratio': 6.2, 'time': 0.034449100494384766, 'cx_gates': 60, 'num_gates': 85}","{'depth': 11.43, 'depth_ratio': 2.286, 'time': 0.0024, 'cx_gates': 7.73, 'num_gates': 7.73}",sabre_v045,sabre_v045,hex_27,3,1,0
"{'depth': 37, 'depth_ratio': 7.4, 'time': 0.04062795639038086, 'cx_gates': 84, 'num_gates': 109}","{'depth': 10.56, 'depth_ratio': 2.113, 'time': 0.001006, 'cx_gates': 12.73, 'num_gates': 12.73}",sabre_v045,sabre_v045,hex_27,4,1,0
"{'depth': 89, 'depth_ratio': 8.9, 'time': 0.07384014129638672, 'cx_gates': 192, 'num_gates': 242}","{'depth': 11.98, 'depth_ratio': 1.198, 'time': 0.003758, 'cx_gates': 31.08, 'num_gates': 31.08}",sabre_v045,sabre_v045,hex_27,5,1,0
"{'depth': 83, 'depth_ratio': 8.3, 'time': 0.07686781883239746, 'cx_gates': 189, 'num_gates': 239}","{'depth': 7.014, 'depth_ratio': 0.7014, 'time': 0.001812, 'cx_gates': 22.89, 'num_gates': 22.89}",sabre_v045,sabre_v045,hex_27,6,1,0
"{'depth': 73, 'depth_ratio': 7.3, 'time': 0.06748414039611816, 'cx_gates': 162, 'num_gates': 212}","{'depth': 15.76, 'depth_ratio': 1.576, 'time': 0.003065, 'cx_gates': 27.17, 'num_gates': 27.17}",sabre_v045,sabre_v045,hex_27,7,1,0
"{'depth': 80, 'depth_ratio': 8.0, 'time': 0.06889820098876953, 'cx_gates': 192, 'num_gates': 242}","{'depth': 16.56, 'depth_ratio': 1.656, 'time': 0.3066, 'cx_gates': 22.34, 'num_gates': 22.34}",sabre_v045,sabre_v045,hex_27,8,1,0
"{'depth': 72, 'depth_ratio': 7.2, 'time': 0.06806707382202148, 'cx_gates': 168, 'num_gates': 218}","{'depth': 11.15, 'depth_ratio': 1.115, 'time': 0.001434, 'cx_gates': 16.65, 'num_gates': 16.65}",sabre_v045,sabre_v045,hex_27,9,1,0
