best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 3543, 'depth_ratio': 35.43, 'time': 4.152441740036011, 'cx_gates': 9738, 'num_gates': 17738}","{'depth': 137.6, 'depth_ratio': 1.376, 'time': 0.02354, 'cx_gates': 160.1, 'num_gates': 160.1}",sabre_v0.20,sabre_0.20,heavy_hex_27,0
"{'depth': 5332, 'depth_ratio': 35.55, 'time': 6.241819143295288, 'cx_gates': 14694, 'num_gates': 26694}","{'depth': 119.9, 'depth_ratio': 0.7997, 'time': 2.303, 'cx_gates': 168.1, 'num_gates': 168.1}",sabre_v0.20,sabre_0.20,heavy_hex_27,1
"{'depth': 7285, 'depth_ratio': 36.42, 'time': 14.068679094314575, 'cx_gates': 19911, 'num_gates': 35911}","{'depth': 69.5, 'depth_ratio': 0.3472, 'time': 2.844, 'cx_gates': 276.6, 'num_gates': 276.6}",sabre_v0.20,sabre_0.20,heavy_hex_27,2
"{'depth': 8941, 'depth_ratio': 35.76, 'time': 10.61533784866333, 'cx_gates': 24699, 'num_gates': 44699}","{'depth': 213.0, 'depth_ratio': 0.8528, 'time': 2.792, 'cx_gates': 257.5, 'num_gates': 257.5}",sabre_v0.20,sabre_0.20,heavy_hex_27,3
"{'depth': 11164, 'depth_ratio': 37.21, 'time': 12.76639723777771, 'cx_gates': 30129, 'num_gates': 54129}","{'depth': 102.8, 'depth_ratio': 0.343, 'time': 3.214, 'cx_gates': 191.0, 'num_gates': 191.0}",sabre_v0.20,sabre_0.20,heavy_hex_27,4
"{'depth': 12625, 'depth_ratio': 36.07, 'time': 14.668432712554932, 'cx_gates': 35151, 'num_gates': 63151}","{'depth': 312.6, 'depth_ratio': 0.8937, 'time': 2.328, 'cx_gates': 293.1, 'num_gates': 293.1}",sabre_v0.20,sabre_0.20,heavy_hex_27,5
"{'depth': 14500, 'depth_ratio': 36.25, 'time': 25.98589324951172, 'cx_gates': 40284, 'num_gates': 72284}","{'depth': 198.6, 'depth_ratio': 0.4974, 'time': 4.432, 'cx_gates': 115.2, 'num_gates': 115.2}",sabre_v0.20,sabre_0.20,heavy_hex_27,6
"{'depth': 16071, 'depth_ratio': 35.71, 'time': 18.900028228759766, 'cx_gates': 45054, 'num_gates': 81054}","{'depth': 310.3, 'depth_ratio': 0.6915, 'time': 5.471, 'cx_gates': 414.8, 'num_gates': 414.8}",sabre_v0.20,sabre_0.20,heavy_hex_27,7
"{'depth': 18202, 'depth_ratio': 36.4, 'time': 30.720546007156372, 'cx_gates': 50256, 'num_gates': 90256}","{'depth': 146.4, 'depth_ratio': 0.2948, 'time': 4.162, 'cx_gates': 90.61, 'num_gates': 90.61}",sabre_v0.20,sabre_0.20,heavy_hex_27,8
"{'depth': 19923, 'depth_ratio': 36.22, 'time': 33.22866487503052, 'cx_gates': 54798, 'num_gates': 98798}","{'depth': 206.8, 'depth_ratio': 0.3793, 'time': 4.28, 'cx_gates': 336.1, 'num_gates': 336.1}",sabre_v0.20,sabre_0.20,heavy_hex_27,9
"{'depth': 21658, 'depth_ratio': 36.1, 'time': 33.841472148895264, 'cx_gates': 60072, 'num_gates': 108072}","{'depth': 229.0, 'depth_ratio': 0.3788, 'time': 0.6405, 'cx_gates': 247.0, 'num_gates': 247.0}",sabre_v0.20,sabre_0.20,heavy_hex_27,10
"{'depth': 23713, 'depth_ratio': 36.48, 'time': 37.412750005722046, 'cx_gates': 65043, 'num_gates': 117043}","{'depth': 263.2, 'depth_ratio': 0.4073, 'time': 4.13, 'cx_gates': 345.4, 'num_gates': 345.4}",sabre_v0.20,sabre_0.20,heavy_hex_27,11
"{'depth': 25889, 'depth_ratio': 36.98, 'time': 40.98719310760498, 'cx_gates': 70923, 'num_gates': 126923}","{'depth': 81.94, 'depth_ratio': 0.1199, 'time': 4.57, 'cx_gates': 477.0, 'num_gates': 477.0}",sabre_v0.20,sabre_0.20,heavy_hex_27,12
"{'depth': 27321, 'depth_ratio': 36.43, 'time': 43.18706679344177, 'cx_gates': 74259, 'num_gates': 134259}","{'depth': 169.8, 'depth_ratio': 0.2268, 'time': 0.2184, 'cx_gates': 529.7, 'num_gates': 529.7}",sabre_v0.20,sabre_0.20,heavy_hex_27,13
"{'depth': 28963, 'depth_ratio': 36.2, 'time': 722.5405237674713, 'cx_gates': 79455, 'num_gates': 143455}","{'depth': 310.9, 'depth_ratio': 0.3886, 'time': 514.3, 'cx_gates': 319.5, 'num_gates': 319.5}",sabre_v0.20,sabre_0.20,heavy_hex_27,14
"{'depth': 31209, 'depth_ratio': 36.72, 'time': 3098.3515770435333, 'cx_gates': 84984, 'num_gates': 152984}","{'depth': 260.0, 'depth_ratio': 0.3037, 'time': 1219.0, 'cx_gates': 469.0, 'num_gates': 469.0}",sabre_v0.20,sabre_0.20,heavy_hex_27,15
"{'depth': 33106, 'depth_ratio': 36.78, 'time': 49.2856011390686, 'cx_gates': 90927, 'num_gates': 162927}","{'depth': 156.7, 'depth_ratio': 0.1749, 'time': 0.1215, 'cx_gates': 392.2, 'num_gates': 392.2}",sabre_v0.20,sabre_0.20,heavy_hex_27,16
"{'depth': 34810, 'depth_ratio': 36.64, 'time': 51.571327924728394, 'cx_gates': 95124, 'num_gates': 171124}","{'depth': 222.4, 'depth_ratio': 0.2362, 'time': 4.169, 'cx_gates': 572.9, 'num_gates': 572.9}",sabre_v0.20,sabre_0.20,heavy_hex_27,17
