best_data,std_dev,routing pass,layout pass,coupling map,circuit label
"{'depth': 1, 'depth_ratio': 1.0, 'time': 0.007959127426147461, 'cx_gates': 0, 'num_gates': 2}","{'depth': 0, 'depth_ratio': 0, 'time': 0.0005522, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,0
"{'depth': 29, 'depth_ratio': 2.64, 'time': 0.03151988983154297, 'cx_gates': 21, 'num_gates': 43}","{'depth': 3.868, 'depth_ratio': 0.3511, 'time': 0.000755, 'cx_gates': 2.245, 'num_gates': 2.245}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,1
"{'depth': 74, 'depth_ratio': 3.52, 'time': 0.058594703674316406, 'cx_gates': 63, 'num_gates': 105}","{'depth': 1.2, 'depth_ratio': 0.06, 'time': 0.04554, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,2
"{'depth': 114, 'depth_ratio': 3.68, 'time': 0.2365260124206543, 'cx_gates': 105, 'num_gates': 167}","{'depth': 3.763, 'depth_ratio': 0.1214, 'time': 0.05583, 'cx_gates': 5.879, 'num_gates': 5.879}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,3
"{'depth': 173, 'depth_ratio': 4.22, 'time': 0.13134407997131348, 'cx_gates': 162, 'num_gates': 244}","{'depth': 3.499, 'depth_ratio': 0.08462, 'time': 0.04186, 'cx_gates': 0, 'num_gates': 0}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,4
"{'depth': 187, 'depth_ratio': 3.67, 'time': 0.3047192096710205, 'cx_gates': 171, 'num_gates': 273}","{'depth': 4.354, 'depth_ratio': 0.08232, 'time': 0.0682, 'cx_gates': 2.939, 'num_gates': 2.939}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,5
"{'depth': 230, 'depth_ratio': 3.77, 'time': 0.19427204132080078, 'cx_gates': 204, 'num_gates': 326}","{'depth': 9.6, 'depth_ratio': 0.1555, 'time': 0.06559, 'cx_gates': 8.899, 'num_gates': 8.899}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,6
"{'depth': 269, 'depth_ratio': 3.79, 'time': 0.21893882751464844, 'cx_gates': 243, 'num_gates': 385}","{'depth': 5.307, 'depth_ratio': 0.07494, 'time': 0.07382, 'cx_gates': 5.817, 'num_gates': 5.817}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,7
"{'depth': 309, 'depth_ratio': 3.81, 'time': 0.25629210472106934, 'cx_gates': 282, 'num_gates': 444}","{'depth': 12.21, 'depth_ratio': 0.1534, 'time': 0.05203, 'cx_gates': 19.29, 'num_gates': 19.29}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,8
"{'depth': 335, 'depth_ratio': 3.68, 'time': 0.2850489616394043, 'cx_gates': 315, 'num_gates': 497}","{'depth': 17.47, 'depth_ratio': 0.1932, 'time': 0.06859, 'cx_gates': 21.43, 'num_gates': 21.43}",sabre_extended_v0.20,sabre_0.20,heavy_hex_27,9
